,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL10,O76074,IC50,=,11476.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,pde5a
1,CHEMBL100779,O76074,IC50,=,270.0,nM,n1c(sc(c1OC)C(=O)OCC)Nc1nc2c(c(n1)NCc1cc(c(cc1)OC)OC)n(cn2)CC,pde5a
2,CHEMBL102807,Q28156,IC50,=,1000.0,nM,N1=C(c2cc3c(c(ncn3)NCc3ccccc3)cc2)[C@H](CC(=O)N1)C,pde5a
3,CHEMBL103976,Q28156,IC50,=,10.0,nM,N1=C(c2cc3c(c(ncn3)NCc3ccccc3)cc2)[C@@H](CC(=O)N1)C,pde5a
4,CHEMBL106153,O76074,IC50,=,4.5,nM,c12c(n(c(n1)NC1CCCCC1)Cc1cc(c(cc1)O)C)c(=O)n(c(=O)n2CC)CC,pde5a
5,CHEMBL106180,O76074,IC50,=,0.58,nM,c12c(n(c(n1)NC1CCCCC1)Cc1cc(c(cc1)OC)Cl)c(=O)n(c(=O)n2CC)CC,pde5a
6,CHEMBL106205,O76074,IC50,=,19.0,nM,c12c(n(c(n1)NC1CCCCC1)Cc1cc(c(cc1)OC)C)c(=O)n(c(=O)n2CC)CC,pde5a
7,CHEMBL106410,O76074,Inhibition,=,11.0,%,c12c(n(c(n1)N[C@H](C(C)C)CO)Cc1ccccc1)c(=O)n(c(=O)n2C)C,pde5a
8,CHEMBL106447,O76074,IC50,=,1.8,nM,c12c(n(c(n1)NC1CCCC1)Cc1cc(c(cc1)O)Cl)c(=O)n(c(=O)n2CC)CC,pde5a
9,CHEMBL106480,O76074,IC50,=,1.5,nM,c12c(n(c(n1)NC1CCCC1)Cc1ccc(cc1)O)c(=O)n(c(=O)n2CC)CC,pde5a
10,CHEMBL106517,O76074,Inhibition,=,63.0,%,c12c(n(c(n2)NC2CCCCC2)Cc2ccccc2)c(=O)n(c(=O)n1CC(C)C)CC,pde5a
11,CHEMBL107028,O76074,Inhibition,=,5.0,%,c12c(n(c(n1)N[C@@H](c1ccccc1)CO)Cc1ccccc1)c(=O)n(c(=O)n2C)C,pde5a
12,CHEMBL107153,O76074,Inhibition,=,10.0,%,c12c(n(c(n1)NCC1(O)CCCCC1)Cc1ccccc1)c(=O)n(c(=O)n2C)C,pde5a
13,CHEMBL107156,O76074,IC50,=,0.6,nM,c12c(n(c(n1)NC1CCCCC1)Cc1ccc(cc1)O)c(=O)n(c(=O)n2CC)CC,pde5a
14,CHEMBL107349,O76074,IC50,=,0.3,nM,c12c(n(c(n1)NC1CCCCC1)Cc1cc(c(cc1)OC)F)c(=O)n(c(=O)n2CC)CC,pde5a
15,CHEMBL107843,O76074,Inhibition,=,62.0,%,c12c(n(c(n1)NC1CCCC1)Cc1ccccc1)c(=O)n(c(=O)n2C)C,pde5a
16,CHEMBL1079947,O76074,IC50,=,12600.0,nM,c1cc(cc(c1/C=C/CC(=O)O)/C=C/CCCC)C,pde5a
17,CHEMBL1079948,O76074,IC50,=,87100.0,nM,c1cc(cc(c1/C=C/CC(=O)O)C(CCCCC)O)C,pde5a
18,CHEMBL108491,O76074,IC50,=,0.33,nM,c12c(n(c(n1)NC1CCCCC1)Cc1cc(c(cc1)O)F)c(=O)n(c(=O)n2CC)CC,pde5a
19,CHEMBL1085374,O76074,IC50,=,561.0,nM,c1c(nc2c(c1)nc(c1c(nc(n21)CCC)C)NS(=O)(=O)C)OC,pde5a
20,CHEMBL1086110,O76074,IC50,=,920.0,nM,c1(c2n(c3c(n1)ccc(n3)OC)c(nc2C)CCC)C,pde5a
21,CHEMBL1086110,O76074,IC50,=,919.0,nM,c1(c2n(c3c(n1)ccc(n3)OC)c(nc2C)CCC)C,pde5a
22,CHEMBL108844,O76074,IC50,=,0.69,nM,c12c(n(c(n1)NC1CCCC1)Cc1cc(c(cc1)OC)F)c(=O)n(c(=O)n2CC)CC,pde5a
23,CHEMBL1094098,O76074,IC50,=,9.79,nM,n1c(nc(c2c1c(nn2CCOCC(F)(F)F)C)Nc1ncncc1)N1CCCNCC1,pde5a
