,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL10,P23219,IC50,>,5000.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,pgh1
1,CHEMBL10,P23219,IC50,=,2000.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,pgh1
2,CHEMBL100091,P05979,IC50,>,66000.0,nM,n1(c(c(c2c1ccc(c2)OC)CC(=O)OCCOCCCC)C)C(=O)c1ccc(cc1)Cl,pgh1
3,CHEMBL100092,P05979,IC50,>,66000.0,nM,n1(c(c(c2c1ccc(c2)OC)CC(=O)OCCCCCC)C)C(=O)c1ccc(cc1)Cl,pgh1
4,CHEMBL100156,P05979,IC50,>,1000000.0,nM,S(=O)(=O)(c1ccc(c2c(csc2)c2ccccc2)cc1)C,pgh1
5,CHEMBL100250,P05979,IC50,>,1000000.0,nM,S(=O)(=O)(c1ccc(c2c(scc2)c2ccccc2)cc1)C,pgh1
6,CHEMBL100331,P05979,IC50,=,66000.0,nM,n1(c(c(c2c1ccc(c2)OC)CC(=O)NCCCCCCCC)C)C(=O)c1ccc(cc1)Cl,pgh1
7,CHEMBL10042,P23219,IC50,>,100000.0,nM,S(=O)(=O)(c1ccc(c2c(ncc(c2)Cl)c2cnc(cc2)CO)cc1)C,pgh1
8,CHEMBL100422,P23219,IC50,>,100000.0,nM,S(=O)(=O)(c1ccc(c2c(c3cc(c(cc3)OC)F)csc2)cc1)C,pgh1
9,CHEMBL101,P05979,Inhibition,<,50.0,%,c1cc(ccc1)N1C(=O)C(CCCC)C(=O)N1c1ccccc1,pgh1
10,CHEMBL101,P05979,IC50,=,384000.0,nM,c1cc(ccc1)N1C(=O)C(CCCC)C(=O)N1c1ccccc1,pgh1
11,CHEMBL101,P23219,IC50,=,3000.0,nM,c1cc(ccc1)N1C(=O)C(CCCC)C(=O)N1c1ccccc1,pgh1
12,CHEMBL101,Q63921,IC50,=,15000.0,nM,c1cc(ccc1)N1C(=O)C(CCCC)C(=O)N1c1ccccc1,pgh1
13,CHEMBL101152,P05979,Inhibition,=,82.0,%,n1(c2c(c(nc3c2cccc3)O)c(n1)C)c1ccccc1,pgh1
14,CHEMBL101459,P05979,IC50,>,300000.0,nM,c1(c(cc(s1)CC#N)c1ccc(S(=O)(=O)C)cc1)c1ccc(cc1)F,pgh1
15,CHEMBL101503,P05979,IC50,>,1000000.0,nM,S(=O)(=O)(c1ccc(c2c(c3ccccc3)cccc2)cc1)C,pgh1
16,CHEMBL101503,P05979,IC50,>,1000000.0,nM,S(=O)(=O)(c1ccc(c2c(c3ccccc3)cccc2)cc1)C,pgh1
17,CHEMBL1020,P23219,IC50,=,41.0,nM,O=C(c1n(c(cc1)CC(=O)O)C)c1ccc(cc1)C,pgh1
18,CHEMBL1021,Q63921,Change,=,-39.0,%,c1(C(=O)c2ccccc2)c(c(CC(=O)N)ccc1)N,pgh1
