,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL10,P53350,Thermal melting change,=,0.2,degrees C,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,plk1
1,CHEMBL10,P53350,Residual Activity,=,99.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,plk1
2,CHEMBL10,P53350,Residual Activity,=,117.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,plk1
3,CHEMBL10,P53350,Ki,>,7943.28,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,plk1
4,CHEMBL10,P53350,Kd,>,10000.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,plk1
5,CHEMBL10,P53350,Activity,=,97.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,plk1
6,CHEMBL10,P53350,Kd,>,10000.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,plk1
7,CHEMBL100473,P53350,Thermal melting change,=,-0.2,degrees C,C(=C(\Sc1c(N)cccc1)/N)(/C(=C(\Sc1c(N)cccc1)/N)/C#N)\C#N,plk1
8,CHEMBL101253,P53350,Ki,>,7943.28,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,plk1
9,CHEMBL101253,P53350,Kd,>,10000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,plk1
10,CHEMBL101253,P53350,Kd,>,10000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,plk1
11,CHEMBL101683,P53350,Residual Activity,=,79.0,%,Clc1ccc(cc1)NC(=O)c1c(cccc1)NCc1ccncc1,plk1
12,CHEMBL101683,P53350,Residual Activity,=,110.0,%,Clc1ccc(cc1)NC(=O)c1c(cccc1)NCc1ccncc1,plk1
13,CHEMBL101797,P53350,Thermal melting change,=,-0.6,degrees C,C\1(=C\c2[nH]ccc2)/C(=O)Nc2c1cccc2,plk1
14,CHEMBL101804,P53350,Inhibition,=,0.82,%,O=C(Nc1n[nH]c2nc(ccc12)c1ccco1)C1CC1,plk1
15,CHEMBL101804,P53350,Inhibition,=,1.81,%,O=C(Nc1n[nH]c2nc(ccc12)c1ccco1)C1CC1,plk1
16,CHEMBL102346,P53350,Residual Activity,=,61.0,%,c12c(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)ncnc1cc(c(c2)OC)OC,plk1
17,CHEMBL102346,P53350,Residual Activity,=,63.0,%,c12c(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)ncnc1cc(c(c2)OC)OC,plk1
18,CHEMBL102714,P53350,Potency,Unspecified,33587.5,nM,C1(=C(C(=O)NC1=O)c1ccc(cc1Cl)Cl)c1cn(c2c1cccc2)C,plk1
19,CHEMBL102714,P53350,Activity,=,62.0,%,C1(=C(C(=O)NC1=O)c1ccc(cc1Cl)Cl)c1cn(c2c1cccc2)C,plk1
20,CHEMBL102936,P53350,Inhibition,=,4.87,%,CS(=O)(=O)Nc1ccc(cc1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,plk1
21,CHEMBL102936,P53350,Inhibition,=,4.12,%,CS(=O)(=O)Nc1ccc(cc1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,plk1
22,CHEMBL103080,P53350,Inhibition,=,2.1,%,CS(=O)(=O)Nc1cccc(c1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,plk1
23,CHEMBL103080,P53350,Inhibition,=,0.09,%,CS(=O)(=O)Nc1cccc(c1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,plk1
24,CHEMBL103098,P53350,Inhibition,=,2.23,%,NS(=O)(=O)c1ccc(cc1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,plk1
25,CHEMBL103098,P53350,Inhibition,=,2.16,%,NS(=O)(=O)c1ccc(cc1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,plk1
26,CHEMBL103104,P53350,Inhibition,=,4.69,%,NS(=O)(=O)c1ccc(Nc2cc(n[nH]2)c2cccc(O)c2)cc1,plk1
27,CHEMBL103104,P53350,Inhibition,=,5.76,%,NS(=O)(=O)c1ccc(Nc2cc(n[nH]2)c2cccc(O)c2)cc1,plk1
28,CHEMBL103115,P53350,Inhibition,=,-3.09,%,NS(=O)(=O)c1ccc(Nc2cc(n[nH]2)c2ccc(O)c(F)c2)cc1,plk1
29,CHEMBL103115,P53350,Inhibition,=,-1.16,%,NS(=O)(=O)c1ccc(Nc2cc(n[nH]2)c2ccc(O)c(F)c2)cc1,plk1
30,CHEMBL103552,P53350,Thermal melting change,=,0.9,degrees C,c1(cc(N(Cc2c(ccc(c2)O)O)Cc2c(O)cccc2)ccc1O)C(=O)O,plk1
31,CHEMBL103583,P53350,Potency,Unspecified,9466.2,nM,c12c3c(c4c1cccc4)cccc3c(cc2)N,plk1
32,CHEMBL103667,P53350,IC50,>,30000.0,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,plk1
33,CHEMBL103667,P53350,Ki,>,7943.28,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,plk1
34,CHEMBL103667,P53350,Kd,>,10000.0,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,plk1
35,CHEMBL103667,P53350,Activity,=,86.0,%,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,plk1
36,CHEMBL103667,P53350,Kd,>,10000.0,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,plk1
37,CHEMBL104264,P53350,Thermal melting change,=,1.0,degrees C,c1nccc2c(cccc12)S(=O)(=O)NCCNC/C=C/c1ccc(cc1)Br,plk1
