,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL114003,P00491,Ki,=,10.1,nM,c1(c2c(nc1C)c([nH]cn2)O)[C@@H]1N[C@@H]([C@@H](C1O)O)CO,pnph
1,CHEMBL114781,P00491,Ki,=,0.22,nM,c12c(c(nc(n2)N)O)[nH]cc1[C@@H]1N[C@@H]([C@@H](C1)O)CO,pnph
2,CHEMBL115146,P00491,Ki,=,0.25,nM,c12c(c([C@@H]3N[C@@H]([C@@H](C3)O)CO)c[nH]1)ncnc2O,pnph
3,CHEMBL1161032,P00491,Ki,=,1.8,nM,c12c(ncn2Cc2c(/C=C(/P(=O)(O)O)\F)cccc2)c(nc(n1)N)O,pnph
4,CHEMBL1161032,P00491,IC50,=,77.0,nM,c12c(ncn2Cc2c(/C=C(/P(=O)(O)O)\F)cccc2)c(nc(n1)N)O,pnph
5,CHEMBL1161032,P55859,Ki,=,0.8,nM,c12c(ncn2Cc2c(/C=C(/P(=O)(O)O)\F)cccc2)c(nc(n1)N)O,pnph
6,CHEMBL1161032,P55859,IC50,=,60.0,nM,c12c(ncn2Cc2c(/C=C(/P(=O)(O)O)\F)cccc2)c(nc(n1)N)O,pnph
7,CHEMBL1161033,P00491,Ki,=,3.2,nM,c12c(ncn2Cc2c(/C=C/P(=O)(O)O)cccc2)c(nc(n1)N)O,pnph
8,CHEMBL1161033,P00491,IC50,=,155.0,nM,c12c(ncn2Cc2c(/C=C/P(=O)(O)O)cccc2)c(nc(n1)N)O,pnph
9,CHEMBL1161033,P55859,Ki,=,0.8,nM,c12c(ncn2Cc2c(/C=C/P(=O)(O)O)cccc2)c(nc(n1)N)O,pnph
10,CHEMBL1161033,P55859,IC50,=,85.0,nM,c12c(ncn2Cc2c(/C=C/P(=O)(O)O)cccc2)c(nc(n1)N)O,pnph
11,CHEMBL1161034,P00491,Ki,=,13.0,nM,c12c(ncn2Cc2c(CC(P(=O)(O)O)(F)F)cccc2)c(nc(n1)N)O,pnph
12,CHEMBL1161034,P00491,IC50,=,300.0,nM,c12c(ncn2Cc2c(CC(P(=O)(O)O)(F)F)cccc2)c(nc(n1)N)O,pnph
13,CHEMBL1161034,P55859,Ki,=,4.0,nM,c12c(ncn2Cc2c(CC(P(=O)(O)O)(F)F)cccc2)c(nc(n1)N)O,pnph
14,CHEMBL1161034,P55859,IC50,=,200.0,nM,c12c(ncn2Cc2c(CC(P(=O)(O)O)(F)F)cccc2)c(nc(n1)N)O,pnph
15,CHEMBL1161035,P00491,Ki,=,1.3,nM,c12c(ncn2Cc2c(C(C(P(=O)(O)O)(F)F)F)cccc2)c(nc(n1)N)O,pnph
16,CHEMBL1161035,P00491,IC50,=,85.0,nM,c12c(ncn2Cc2c(C(C(P(=O)(O)O)(F)F)F)cccc2)c(nc(n1)N)O,pnph
17,CHEMBL1161035,P55859,Ki,=,0.6,nM,c12c(ncn2Cc2c(C(C(P(=O)(O)O)(F)F)F)cccc2)c(nc(n1)N)O,pnph
18,CHEMBL1161035,P55859,IC50,=,100.0,nM,c12c(ncn2Cc2c(C(C(P(=O)(O)O)(F)F)F)cccc2)c(nc(n1)N)O,pnph
19,CHEMBL1161895,P00491,IC50,=,4.0,nM,n1c(nc(c2c1c(c[nH]2)CN1[C@@H](CCC1)CO)O)N.CC(=O)O,pnph
20,CHEMBL1161895,P00491,Ki,=,2.0,nM,n1c(nc(c2c1c(c[nH]2)CN1[C@@H](CCC1)CO)O)N.CC(=O)O,pnph
21,CHEMBL1161896,P00491,Ki,=,316.3,nM,n1c(nc(c2c1c(c[nH]2)CN1[C@H](CCC1)CO)O)N.CC(=O)O,pnph
22,CHEMBL1161896,P00491,IC50,=,620.0,nM,n1c(nc(c2c1c(c[nH]2)CN1[C@H](CCC1)CO)O)N.CC(=O)O,pnph
23,CHEMBL1161897,P00491,IC50,=,600.0,nM,n1c(nc(c2c1c(c[nH]2)CN1[C@@H](CCC1)CN)O)N.CC(=O)O,pnph
24,CHEMBL1161897,P00491,Ki,=,306.1,nM,n1c(nc(c2c1c(c[nH]2)CN1[C@@H](CCC1)CN)O)N.CC(=O)O,pnph
25,CHEMBL1161898,P00491,IC50,=,60.0,nM,n1c(nc(c2c1c(c[nH]2)CN(C)CCO)O)N.CC(=O)O,pnph
26,CHEMBL1161898,P00491,Ki,=,30.6,nM,n1c(nc(c2c1c(c[nH]2)CN(C)CCO)O)N.CC(=O)O,pnph
27,CHEMBL1161899,P00491,IC50,=,220.0,nM,n1c(nc(c2c1c(c[nH]2)CN(CC)CCO)O)N.CC(=O)O,pnph
28,CHEMBL1161899,P00491,Ki,=,112.2,nM,n1c(nc(c2c1c(c[nH]2)CN(CC)CCO)O)N.CC(=O)O,pnph
29,CHEMBL1161900,P00491,Ki,=,2.5,nM,n1c(nc(c2c1c(c[nH]2)CN(CCO)CCO)O)N.CC(=O)O,pnph
30,CHEMBL1161900,P00491,IC50,=,5.0,nM,n1c(nc(c2c1c(c[nH]2)CN(CCO)CCO)O)N.CC(=O)O,pnph
31,CHEMBL1161901,P00491,IC50,=,20.0,nM,n1c(nc(c2c1c(c[nH]2)CNCCO)O)N.CC(=O)O,pnph
32,CHEMBL1161901,P00491,Ki,=,10.2,nM,n1c(nc(c2c1c(c[nH]2)CNCCO)O)N.CC(=O)O,pnph
33,CHEMBL1161902,P00491,Ki,=,2040.8,nM,n1c(nc(c2c1c(c[nH]2)CN1CC(CCC1)CO)O)N.CC(=O)O,pnph
34,CHEMBL1161902,P00491,IC50,=,4000.0,nM,n1c(nc(c2c1c(c[nH]2)CN1CC(CCC1)CO)O)N.CC(=O)O,pnph
35,CHEMBL116580,P00491,Ki,=,600.0,nM,c12c(ncn2Cc2cc(OCP(=O)(O)O)ccc2)c(nc(n1)N)O,pnph
36,CHEMBL117065,P00491,Ki,=,25.0,nM,c1(c2c([nH]c1)c(ncn2)O)[C@@H]1N[C@@H]([C@@H](C1O)O)C,pnph
37,CHEMBL117127,P00491,Ki,=,13.0,nM,c12c(ncn2Cc2cc(CCCP(=O)(O)O)ccc2)c(nc(n1)N)O,pnph
38,CHEMBL117383,P00491,Ki,=,7.0,nM,c1(c2c([nH]c1)c(ncn2)O)[C@@H]1N[C@@H]([C@@H](C1O)O)CF,pnph
39,CHEMBL117383,P00491,Ki,=,81.0,nM,c1(c2c([nH]c1)c(ncn2)O)[C@@H]1N[C@@H]([C@@H](C1O)O)CF,pnph
40,CHEMBL117417,P00491,Ki,=,1.1,nM,c12c(ncn2Cc2cc(CSCP(=O)(O)O)ccc2)c(nc(n1)N)O,pnph
41,CHEMBL117588,P00491,Ki,=,3500.0,nM,c12c(ncn2Cc2ccc(cc2)COCP(=O)(O)O)c(nc(n1)N)O,pnph
42,CHEMBL119243,P00491,Ki,=,69.0,nM,c12c(ncn2Cc2cc(COCCP(=O)(O)O)ccc2)c(nc(n1)N)O,pnph
43,CHEMBL1213651,P00491,Activity,=,1.5,%,n1(c2c(nc1)c(=O)[nH]cn2)[C@H]1[C@@H]([C@@H]([C@H](O1)C([3H])O)O)O,pnph
44,CHEMBL1213651,P00491,Activity,=,4.7,%,n1(c2c(nc1)c(=O)[nH]cn2)[C@H]1[C@@H]([C@@H]([C@H](O1)C([3H])O)O)O,pnph
45,CHEMBL1213651,P00491,Km,=,40000.0,nM,n1(c2c(nc1)c(=O)[nH]cn2)[C@H]1[C@@H]([C@@H]([C@H](O1)C([3H])O)O)O,pnph
46,CHEMBL1213652,P00491,Activity,=,12.6,%,c1(c2c([nH]c1)c(=O)[nH]cn2)[C@@H]1N[C@@H]([C@H]([C@H]1O)O)C([3H])O,pnph
47,CHEMBL1213652,P00491,Kd,=,0.058,nM,c1(c2c([nH]c1)c(=O)[nH]cn2)[C@@H]1N[C@@H]([C@H]([C@H]1O)O)C([3H])O,pnph
48,CHEMBL1213653,P00491,Activity,=,29.2,%,c12c(c(c[nH]1)CN1C[C@@H]([C@H](C1)O)C([3H])O)nc[nH]c2=O,pnph
49,CHEMBL1213653,P00491,Kd,=,0.0085,nM,c12c(c(c[nH]1)CN1C[C@@H]([C@H](C1)O)C([3H])O)nc[nH]c2=O,pnph
50,CHEMBL1230674,P00491,Inhibition,=,18.0,%,Cn1cnc2c(O)nc(N)nc12,pnph
51,CHEMBL1234254,P00491,Drug metabolism,=,35.0,nmol/mg/hr,Cc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,pnph
52,CHEMBL1236184,P00491,Drug metabolism,<,1.0,nmol/mg/hr,O[C@@H](C)[C@H]1O[C@@H](n2cnc3c2ncnc3C)[C@H](O)[C@@H]1O,pnph
53,CHEMBL124428,P00491,Ratio,=,33.0,Unspecified,c12c(c(nc(n2)N)O)[nH]cc1C(CC(=O)N)c1ccccc1,pnph
54,CHEMBL124428,P00491,IC50,=,6600.0,nM,c12c(c(nc(n2)N)O)[nH]cc1C(CC(=O)N)c1ccccc1,pnph
55,CHEMBL124428,P00491,IC50,=,200.0,nM,c12c(c(nc(n2)N)O)[nH]cc1C(CC(=O)N)c1ccccc1,pnph
56,CHEMBL124429,P00491,Ratio,=,204.0,Unspecified,c12c(c(nc(n2)N)O)[nH]cc1C(c1ccccc1)CC#N,pnph
57,CHEMBL124429,P00491,IC50,=,4700.0,nM,c12c(c(nc(n2)N)O)[nH]cc1C(c1ccccc1)CC#N,pnph
58,CHEMBL124429,P00491,IC50,=,23.0,nM,c12c(c(nc(n2)N)O)[nH]cc1C(c1ccccc1)CC#N,pnph
59,CHEMBL124882,P00491,Ratio,=,940.0,Unspecified,c12c(c(nc(n2)N)O)[nH]cc1C(c1cc(Cl)ccc1)CC(=O)OC,pnph
60,CHEMBL124882,P00491,IC50,=,80000.0,nM,c12c(c(nc(n2)N)O)[nH]cc1C(c1cc(Cl)ccc1)CC(=O)OC,pnph
61,CHEMBL124882,P00491,IC50,=,85.0,nM,c12c(c(nc(n2)N)O)[nH]cc1C(c1cc(Cl)ccc1)CC(=O)OC,pnph
62,CHEMBL125508,P00491,Ratio,=,20.0,Unspecified,c12c(ncn2Cc2c(CCCP(=O)(O)O)cccc2)c(nc(n1)N)O,pnph
63,CHEMBL125508,P00491,IC50,=,12500.0,nM,c12c(ncn2Cc2c(CCCP(=O)(O)O)cccc2)c(nc(n1)N)O,pnph
64,CHEMBL125508,P00491,IC50,=,620.0,nM,c12c(ncn2Cc2c(CCCP(=O)(O)O)cccc2)c(nc(n1)N)O,pnph
65,CHEMBL126109,P00491,Ratio,=,10.0,Unspecified,c12c(c(nc(n2)N)O)[nH]cc1C(CC(=O)O)C1CCCCC1,pnph
66,CHEMBL126109,P00491,IC50,=,1000.0,nM,c12c(c(nc(n2)N)O)[nH]cc1C(CC(=O)O)C1CCCCC1,pnph
67,CHEMBL126109,P00491,IC50,=,97.0,nM,c12c(c(nc(n2)N)O)[nH]cc1C(CC(=O)O)C1CCCCC1,pnph
68,CHEMBL1269736,P00491,Drug metabolism,=,12.0,nmol/mg/hr,n1cn(c2ncnc(c12)C)[C@H]1[C@H](O)[C@H](O)[C@H](O1)CO,pnph
69,CHEMBL1275659,P00491,Ki,=,303.0,nM,[C@@H]1([C@H]([C@@H](N[C@@H]1SC)c1cc2c([nH]1)c(=O)[nH]cn2)O)O,pnph
70,CHEMBL1275660,P00491,Kd,=,5.5,nM,c1c(c2c([nH]1)c(=O)[nH]cn2)CN1CCCC1,pnph
71,CHEMBL13115,P85973,IC50,=,260000.0,nM,c12c(ncn2CCC(CCC#N)(C)C)c(nc(n1)N)O,pnph
72,CHEMBL13115,P85973,IC50,>,300000.0,nM,c12c(ncn2CCC(CCC#N)(C)C)c(nc(n1)N)O,pnph
73,CHEMBL13130,P00491,Ki,=,1100.0,nM,c12c(n(cn1)CCCCCP(=O)(O)O)ncnc2O,pnph
74,CHEMBL13130,P85973,Ratio,=,6.0,Unspecified,c12c(n(cn1)CCCCCP(=O)(O)O)ncnc2O,pnph
75,CHEMBL13130,P85973,Ki,=,1000.0,nM,c12c(n(cn1)CCCCCP(=O)(O)O)ncnc2O,pnph
76,CHEMBL13159,P00491,Ki,=,110000.0,nM,c12c(n(cn1)CCC(CC)(C)C)ncnc2O,pnph
77,CHEMBL13195,P85973,IC50,=,8000.0,nM,c12c(ncn2CCC(CCC(=O)O)(C)C)c(nc(n1)N)O,pnph
78,CHEMBL13195,P85973,IC50,=,290000.0,nM,c12c(ncn2CCC(CCC(=O)O)(C)C)c(nc(n1)N)O,pnph
79,CHEMBL13415,P85973,IC50,=,180.0,nM,c12c(ncn2CCC(CCS(=O)(=O)O)(C)C)c(nc(n1)N)O,pnph
80,CHEMBL13415,P85973,IC50,=,9000.0,nM,c12c(ncn2CCC(CCS(=O)(=O)O)(C)C)c(nc(n1)N)O,pnph
81,CHEMBL13448,P85973,Ratio,=,5.0,Unspecified,c12c(ncn2CCC(CCP(=O)(O)O)(C)C)c(nc(n1)N)O,pnph
82,CHEMBL13448,P85973,IC50,=,44.0,nM,c12c(ncn2CCC(CCP(=O)(O)O)(C)C)c(nc(n1)N)O,pnph
83,CHEMBL13448,P85973,Ki,=,45.0,nM,c12c(ncn2CCC(CCP(=O)(O)O)(C)C)c(nc(n1)N)O,pnph
84,CHEMBL13448,P85973,IC50,=,2000.0,nM,c12c(ncn2CCC(CCP(=O)(O)O)(C)C)c(nc(n1)N)O,pnph
85,CHEMBL1427,P00491,Inhibition,=,78.0,%,[nH]1cnc2c(c1=O)[nH]cn2,pnph
86,CHEMBL1427,P55859,Kd,=,680.0,nM,[nH]1cnc2c(c1=O)[nH]cn2,pnph
87,CHEMBL1427,P55859,Kieq,=,2500.0,nM,[nH]1cnc2c(c1=O)[nH]cn2,pnph
88,CHEMBL1427,P85973,Ratio,=,3.4,Unspecified,[nH]1cnc2c(c1=O)[nH]cn2,pnph
89,CHEMBL1427,P85973,Ki,=,17000.0,nM,[nH]1cnc2c(c1=O)[nH]cn2,pnph
90,CHEMBL1556,P00491,Drug metabolism,=,391000.0,nmol/mg/hr,n1(c2c(nc1)c(=O)[nH]cn2)[C@H]1[C@@H]([C@@H]([C@H](O1)CO)O)O,pnph
91,CHEMBL1556,P00491,Activity,=,100.0,%,n1(c2c(nc1)c(=O)[nH]cn2)[C@H]1[C@@H]([C@@H]([C@H](O1)CO)O)O,pnph
92,CHEMBL1556,P00491,Km,=,40000.0,nM,n1(c2c(nc1)c(=O)[nH]cn2)[C@H]1[C@@H]([C@@H]([C@H](O1)CO)O)O,pnph
93,CHEMBL158599,P55859,IC50,=,10000.0,nM,c12c(c(c[nH]2)Cc2c(c(cc(c2)Cl)Cl)Cl)nc(nc1O)N,pnph
94,CHEMBL158599,P55859,IC50,=,240.0,nM,c12c(c(c[nH]2)Cc2c(c(cc(c2)Cl)Cl)Cl)nc(nc1O)N,pnph
95,CHEMBL159266,P00491,IC50,=,21.9,nM,c12c(c(nc(n1)N)O)[nH]c(n2)Nc1cnccc1,pnph
96,CHEMBL159271,P00491,IC50,=,0.067,nM,c12c(nc(nc1O)N)CC(=N2)Cc1cscc1,pnph
97,CHEMBL159316,P00491,IC50,=,0.63,nM,c12c(nc(nc1O)N)CC(=N2)NCc1cscc1,pnph
98,CHEMBL159409,P00491,IC50,=,47.6,nM,c12c(nc(nc1O)N)CC(=N2)Cc1c(ccs1)C,pnph
99,CHEMBL159471,P00491,Ratio,=,5.0,Unspecified,c12c(nc(nc1O)N)c(c[nH]2)Cc1cc(Oc2ccccc2)ccc1,pnph
100,CHEMBL159471,P55859,IC50,=,740.0,nM,c12c(nc(nc1O)N)c(c[nH]2)Cc1cc(Oc2ccccc2)ccc1,pnph
101,CHEMBL159471,P55859,IC50,=,147.0,nM,c12c(nc(nc1O)N)c(c[nH]2)Cc1cc(Oc2ccccc2)ccc1,pnph
102,CHEMBL159514,P00491,IC50,=,1.0,nM,c12c(nc(nc1O)N)CC(=N2)NCc1sccc1,pnph
103,CHEMBL159515,P00491,IC50,=,0.75,nM,c12c(nc(nc1O)N)CC(=N2)NCc1occc1,pnph
104,CHEMBL159525,P00491,IC50,=,11.0,nM,c12c(c(nc(n1)N)O)[nH]c(n2)Cc1cscc1,pnph
105,CHEMBL159555,P00491,IC50,=,17.9,nM,c12c(c(nc(n1)N)O)[nH]c(n2)Cc1occc1,pnph
106,CHEMBL159556,P00491,IC50,=,47.6,nM,c12c(c(nc([nH]1)N)O)nc(n2)Cc1c(ccs1)C,pnph
107,CHEMBL159640,P55859,Ki,=,15.0,nM,N1=C(NC2C(C1=O)NC=C2Cc1cscc1)N,pnph
108,CHEMBL159640,P55859,IC50,=,0.067,nM,N1=C(NC2C(C1=O)NC=C2Cc1cscc1)N,pnph
109,CHEMBL159747,P00491,IC50,=,0.085,nM,c12c(nc(nc1O)N)CC(=N2)Cc1ccccc1,pnph
110,CHEMBL159758,P55859,IC50,=,0.63,nM,C1(=C(NC2C1NC(=NC2=O)N)N)Cc1cscc1,pnph
111,CHEMBL159889,P00491,IC50,=,11.0,nM,c12c(c(nc(n1)N)O)[nH]c(n2)Cc1sccc1,pnph
112,CHEMBL159908,P00491,Ratio,=,9.0,Unspecified,c12c(nc(nc1O)N)c(c[nH]2)Cc1cc(F)ccc1,pnph
113,CHEMBL159908,P55859,IC50,=,220.0,nM,c12c(nc(nc1O)N)c(c[nH]2)Cc1cc(F)ccc1,pnph
114,CHEMBL159908,P55859,IC50,=,24.0,nM,c12c(nc(nc1O)N)c(c[nH]2)Cc1cc(F)ccc1,pnph
115,CHEMBL159960,P00491,Ratio,=,5.0,Unspecified,c12c(nc(nc1O)N)c(c[nH]2)Cc1cc(ccc1)C,pnph
116,CHEMBL159960,P55859,IC50,=,270.0,nM,c12c(nc(nc1O)N)c(c[nH]2)Cc1cc(ccc1)C,pnph
117,CHEMBL159960,P55859,IC50,=,57.0,nM,c12c(nc(nc1O)N)c(c[nH]2)Cc1cc(ccc1)C,pnph
118,CHEMBL160043,P00491,Ratio,=,15.0,Unspecified,c12c(nc(nc1O)N)c(c[nH]2)Cc1cc(c(cc1)Cl)Cl,pnph
119,CHEMBL160043,P55859,IC50,=,250.0,nM,c12c(nc(nc1O)N)c(c[nH]2)Cc1cc(c(cc1)Cl)Cl,pnph
120,CHEMBL160043,P55859,IC50,=,17.0,nM,c12c(nc(nc1O)N)c(c[nH]2)Cc1cc(c(cc1)Cl)Cl,pnph
121,CHEMBL161609,P55859,Ki,=,100.0,nM,N1=C(NC2C(C1=O)NC=C2Cc1ccccc1)N,pnph
122,CHEMBL161609,P55859,Ki,=,12.0,nM,N1=C(NC2C(C1=O)NC=C2Cc1ccccc1)N,pnph
123,CHEMBL161692,P00491,IC50,=,29.6,nM,c12c(c(nc(n1)N)O)[nH]c(n2)Cc1ccccc1,pnph
124,CHEMBL162255,P55859,Ki,=,90.0,nM,c12c(NC(N1Cc1sccc1)N)c(nc(n2)N)O,pnph
125,CHEMBL162255,P55859,Ki,=,45.0,nM,c12c(NC(N1Cc1sccc1)N)c(nc(n2)N)O,pnph
126,CHEMBL162255,P55859,IC50,=,0.16,nM,c12c(NC(N1Cc1sccc1)N)c(nc(n2)N)O,pnph
127,CHEMBL162751,P00491,Ratio,=,8.0,Unspecified,c12c(nc(nc1O)N)c(c[nH]2)Cc1cc(OC)ccc1,pnph
128,CHEMBL162751,P55859,IC50,=,660.0,nM,c12c(nc(nc1O)N)c(c[nH]2)Cc1cc(OC)ccc1,pnph
129,CHEMBL162751,P55859,IC50,=,82.0,nM,c12c(nc(nc1O)N)c(c[nH]2)Cc1cc(OC)ccc1,pnph
130,CHEMBL1688966,P00491,Ki,=,2000000.0,nM,n1c[nH]c(=O)c2c1n(nc2)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)CO,pnph
131,CHEMBL1688966,P00491,Ki,=,1800000.0,nM,n1c[nH]c(=O)c2c1n(nc2)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)CO,pnph
132,CHEMBL1688966,P00491,Inhibition,=,28.0,%,n1c[nH]c(=O)c2c1n(nc2)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)CO,pnph
133,CHEMBL1688966,P00491,Inhibition,=,8.0,%,n1c[nH]c(=O)c2c1n(nc2)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)CO,pnph
134,CHEMBL1688966,P00491,Inhibition,=,22.0,%,n1c[nH]c(=O)c2c1n(nc2)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)CO,pnph
135,CHEMBL1688966,P00491,Inhibition,=,11.0,%,n1c[nH]c(=O)c2c1n(nc2)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)CO,pnph
136,CHEMBL172306,P00491,Ki,=,550.0,nM,c12c(c(nc(n1)N)O)nn(n2)COCCCCCP(=O)(O)O,pnph
137,CHEMBL172316,P00491,Ki,=,51.0,nM,c12c(ncn2COCCCCOP(=O)(O)O)c(nc(n1)N)O,pnph
138,CHEMBL172844,P00491,Ki,=,530.0,nM,c12c(ncn2CCCCCCCP(=O)(O)O)c(nc(n1)N)O,pnph
139,CHEMBL173083,P00491,Ki,=,630.0,nM,c12c(c(=O)[nH]c(n1)N)cnn2COCCCCCCP(=O)(O)O,pnph
140,CHEMBL173142,P00491,Ki,=,96.0,nM,c12c(nnn2COCCCCCP(=O)(O)O)c(nc(n1)N)O,pnph
141,CHEMBL1743674,P00491,Ki,>,30000.0,nM,Cl.c12ncc(c1nc[nH]c2N)C[C@@H]1N[C@@H]([C@@H](C1O)O)CO,pnph
