,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL101123,Q07869,EC50,=,59.0,nM,c1(N(C(=O)c2cc(C(F)(F)F)c(C(F)(F)F)cc2)CCCc2cc(OC(C(=O)O)(C)C)ccc2)c(c(c2ncon2)ccc1)C1CC1,ppara
1,CHEMBL1017,P23204,EC50,>,10000.0,nM,c1(nc2c(n1C)cccc2)c1cc2n(c(nc2c(c1)C)CCC)Cc1ccc(c2c(C(=O)O)cccc2)cc1,ppara
2,CHEMBL1017,Q07869,IC50,>,10000.0,nM,c1(nc2c(n1C)cccc2)c1cc2n(c(nc2c(c1)C)CCC)Cc1ccc(c2c(C(=O)O)cccc2)cc1,ppara
3,CHEMBL1017,Q07869,EC50,>,10000.0,nM,c1(nc2c(n1C)cccc2)c1cc2n(c(nc2c(c1)C)CCC)Cc1ccc(c2c(C(=O)O)cccc2)cc1,ppara
4,CHEMBL102004,P23204,EC50,>,1000.0,nM,C(c1c(CN(C(=O)Cc2ccc(C(F)(F)F)cc2)CCCc2cc(OC(C(=O)O)(C)C)ccc2)ccc(C(F)(F)F)c1)(F)(F)F,ppara
5,CHEMBL102004,Q07869,EC50,=,620.0,nM,C(c1c(CN(C(=O)Cc2ccc(C(F)(F)F)cc2)CCCc2cc(OC(C(=O)O)(C)C)ccc2)ccc(C(F)(F)F)c1)(F)(F)F,ppara
6,CHEMBL104246,Q07869,EC50,=,6918.31,nM,n1c(oc(c1CCOc1ccc(C[C@H](N2CCOCC2)C(=O)O)cc1)C)c1ccccc1,ppara
7,CHEMBL104246,Q07869,EC50,=,6900.0,nM,n1c(oc(c1CCOc1ccc(C[C@H](N2CCOCC2)C(=O)O)cc1)C)c1ccccc1,ppara
8,CHEMBL104494,Q07869,Ki,=,1200.0,nM,n1c(oc(c1CCOc1ccc(C[C@H](Nc2ncccn2)C(=O)O)cc1)C)c1ccccc1,ppara
9,CHEMBL104850,Q07869,EC50,=,3630.78,nM,c1c(ccc(c1)OCCc1c(oc(n1)c1ccccc1)C)C[C@H](n1cccc1)C(=O)O,ppara
10,CHEMBL104850,Q07869,EC50,=,684.0,nM,c1c(ccc(c1)OCCc1c(oc(n1)c1ccccc1)C)C[C@H](n1cccc1)C(=O)O,ppara
11,CHEMBL104850,Q07869,IC50,=,697.0,nM,c1c(ccc(c1)OCCc1c(oc(n1)c1ccccc1)C)C[C@H](n1cccc1)C(=O)O,ppara
12,CHEMBL104850,Q07869,Activity,=,64.0,%,c1c(ccc(c1)OCCc1c(oc(n1)c1ccccc1)C)C[C@H](n1cccc1)C(=O)O,ppara
13,CHEMBL104850,Q07869,EC50,=,3600.0,nM,c1c(ccc(c1)OCCc1c(oc(n1)c1ccccc1)C)C[C@H](n1cccc1)C(=O)O,ppara
14,CHEMBL104850,Q07869,Ki,=,560.0,nM,c1c(ccc(c1)OCCc1c(oc(n1)c1ccccc1)C)C[C@H](n1cccc1)C(=O)O,ppara
15,CHEMBL104850,Q07869,Ki,=,560.0,nM,c1c(ccc(c1)OCCc1c(oc(n1)c1ccccc1)C)C[C@H](n1cccc1)C(=O)O,ppara
16,CHEMBL104850,Q07869,Ki,=,2600.0,nM,c1c(ccc(c1)OCCc1c(oc(n1)c1ccccc1)C)C[C@H](n1cccc1)C(=O)O,ppara
17,CHEMBL104850,Q07869,EC50,=,1300.0,nM,c1c(ccc(c1)OCCc1c(oc(n1)c1ccccc1)C)C[C@H](n1cccc1)C(=O)O,ppara
18,CHEMBL104850,Q07869,EC50,=,3600.0,nM,c1c(ccc(c1)OCCc1c(oc(n1)c1ccccc1)C)C[C@H](n1cccc1)C(=O)O,ppara
19,CHEMBL106256,Q07869,Ki,=,293.0,nM,c1(c(c(c(OC(C(=O)O)c2ccccc2)c(c1)Cl)CCC)O)C(=O)CC,ppara
20,CHEMBL106256,Q07869,Ki,=,804.0,nM,c1(c(c(c(OC(C(=O)O)c2ccccc2)c(c1)Cl)CCC)O)C(=O)CC,ppara
21,CHEMBL106666,Q07869,EC50,=,3467.37,nM,n1c(oc(c1CCOc1ccc(C[C@H](Nc2c(C(=O)OC)cccc2)C(=O)O)cc1)C)c1ccccc1,ppara
22,CHEMBL106666,Q07869,Ki,=,1100.0,nM,n1c(oc(c1CCOc1ccc(C[C@H](Nc2c(C(=O)OC)cccc2)C(=O)O)cc1)C)c1ccccc1,ppara
23,CHEMBL106666,Q07869,EC50,=,3500.0,nM,n1c(oc(c1CCOc1ccc(C[C@H](Nc2c(C(=O)OC)cccc2)C(=O)O)cc1)C)c1ccccc1,ppara
24,CHEMBL106666,Q07869,EC50,=,3500.0,nM,n1c(oc(c1CCOc1ccc(C[C@H](Nc2c(C(=O)OC)cccc2)C(=O)O)cc1)C)c1ccccc1,ppara
