,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL1017,P35396,EC50,>,10000.0,nM,c1(nc2c(n1C)cccc2)c1cc2n(c(nc2c(c1)C)CCC)Cc1ccc(c2c(C(=O)O)cccc2)cc1,ppard
1,CHEMBL102004,P35396,EC50,=,19.0,nM,C(c1c(CN(C(=O)Cc2ccc(C(F)(F)F)cc2)CCCc2cc(OC(C(=O)O)(C)C)ccc2)ccc(C(F)(F)F)c1)(F)(F)F,ppard
2,CHEMBL1075682,P35396,EC50,=,31.0,nM,c1(ccc(cc1C)OCc1sc(c(n1)c1ccc(cc1)OC1CCCC1)c1ccc(cc1)OC(F)(F)F)OCC(=O)O,ppard
3,CHEMBL1075682,P35396,Efficacy,=,88.0,%,c1(ccc(cc1C)OCc1sc(c(n1)c1ccc(cc1)OC1CCCC1)c1ccc(cc1)OC(F)(F)F)OCC(=O)O,ppard
4,CHEMBL1075683,P35396,EC50,=,9.0,nM,c1(ccc(cc1C)OCc1oc(c(n1)c1ccc(cc1)OC1CCCC1)c1ccc(cc1)OC(F)(F)F)OCC(=O)O,ppard
5,CHEMBL1075683,P35396,Efficacy,=,97.0,%,c1(ccc(cc1C)OCc1oc(c(n1)c1ccc(cc1)OC1CCCC1)c1ccc(cc1)OC(F)(F)F)OCC(=O)O,ppard
6,CHEMBL1075894,P35396,EC50,=,5.0,nM,c1(ccc(cc1C)OCc1oc(c(n1)c1ccc(nc1)N1CCOCC1)c1ccc(cc1)OC(F)(F)F)OCC(=O)O,ppard
7,CHEMBL1075894,P35396,Efficacy,=,100.0,%,c1(ccc(cc1C)OCc1oc(c(n1)c1ccc(nc1)N1CCOCC1)c1ccc(cc1)OC(F)(F)F)OCC(=O)O,ppard
8,CHEMBL1076162,P35396,EC50,=,29.0,nM,c1(ccc(cc1C)OCc1sc(c(n1)c1ccc(cc1)OC(C)C)c1ccc(cc1)c1ccccc1)OCC(=O)O,ppard
9,CHEMBL1076162,P35396,Efficacy,=,87.0,%,c1(ccc(cc1C)OCc1sc(c(n1)c1ccc(cc1)OC(C)C)c1ccc(cc1)c1ccccc1)OCC(=O)O,ppard
10,CHEMBL1076163,P35396,EC50,=,72.0,nM,c1(ccc(cc1C)OCc1sc(c(n1)c1ccc(cc1)N1CCOCC1)c1ccc(cc1)c1ccccc1)OCC(=O)O,ppard
11,CHEMBL1076163,P35396,Efficacy,=,77.0,%,c1(ccc(cc1C)OCc1sc(c(n1)c1ccc(cc1)N1CCOCC1)c1ccc(cc1)c1ccccc1)OCC(=O)O,ppard
12,CHEMBL1079505,P35396,EC50,=,13.0,nM,c1(ccc(cc1C)OCc1sc(c(n1)c1ccc(nc1)OC(C)C)c1ccc(cc1)OC(F)(F)F)OCC(=O)O,ppard
13,CHEMBL1079505,P35396,Efficacy,=,86.0,%,c1(ccc(cc1C)OCc1sc(c(n1)c1ccc(nc1)OC(C)C)c1ccc(cc1)OC(F)(F)F)OCC(=O)O,ppard
14,CHEMBL1079752,P35396,EC50,=,30.0,nM,c1(ccc(cc1C)OCc1oc(c(n1)c1cnccc1)c1ccc(cc1)c1ccccc1)OCC(=O)O,ppard
15,CHEMBL1079752,P35396,Efficacy,=,83.0,%,c1(ccc(cc1C)OCc1oc(c(n1)c1cnccc1)c1ccc(cc1)c1ccccc1)OCC(=O)O,ppard
16,CHEMBL1079983,P35396,EC50,=,90.0,nM,c1(ccc(cc1C)OCc1sc(c(n1)c1ccc(nc1)OC)c1ccc(cc1)OC(F)(F)F)OCC(=O)O,ppard
17,CHEMBL1079983,P35396,Efficacy,=,79.0,%,c1(ccc(cc1C)OCc1sc(c(n1)c1ccc(nc1)OC)c1ccc(cc1)OC(F)(F)F)OCC(=O)O,ppard
18,CHEMBL1080109,P35396,EC50,=,30.0,nM,c1(ccc(cc1C)OCc1oc(c(n1)c1cnc(nc1)OC)c1ccc(cc1)CCC)OCC(=O)O,ppard
19,CHEMBL1080109,P35396,Efficacy,=,87.0,%,c1(ccc(cc1C)OCc1oc(c(n1)c1cnc(nc1)OC)c1ccc(cc1)CCC)OCC(=O)O,ppard
20,CHEMBL1080172,P35396,EC50,=,10.0,nM,c1(ccc(cc1C)OCc1sc(c(n1)c1cnc(nc1)OC(C)C)c1ccc(cc1)OC(F)(F)F)OCC(=O)O,ppard
21,CHEMBL1080172,P35396,Efficacy,=,85.0,%,c1(ccc(cc1C)OCc1sc(c(n1)c1cnc(nc1)OC(C)C)c1ccc(cc1)OC(F)(F)F)OCC(=O)O,ppard
22,CHEMBL1080349,P35396,EC50,=,26.0,nM,c1(ccc(cc1C)OCc1sc(c(n1)c1ccc(cc1)OC(C)C)c1ccc(cc1)OC(F)(F)F)OCC(=O)O,ppard
23,CHEMBL1080349,P35396,Efficacy,=,82.0,%,c1(ccc(cc1C)OCc1sc(c(n1)c1ccc(cc1)OC(C)C)c1ccc(cc1)OC(F)(F)F)OCC(=O)O,ppard
24,CHEMBL1080368,P35396,EC50,=,9.0,nM,c1(ccc(cc1C)OCc1oc(c(n1)c1ccc(cc1)OC(C)C)c1ccc(cc1)OC(F)(F)F)OCC(=O)O,ppard
25,CHEMBL1080368,P35396,Efficacy,=,88.0,%,c1(ccc(cc1C)OCc1oc(c(n1)c1ccc(cc1)OC(C)C)c1ccc(cc1)OC(F)(F)F)OCC(=O)O,ppard
26,CHEMBL1080699,P35396,EC50,=,7.0,nM,c1(ccc(cc1C)OCc1oc(c(n1)c1ccc(nc1)OC(C)C)c1ccc(cc1)OC(F)(F)F)OCC(=O)O,ppard
27,CHEMBL1080699,P35396,Efficacy,=,99.0,%,c1(ccc(cc1C)OCc1oc(c(n1)c1ccc(nc1)OC(C)C)c1ccc(cc1)OC(F)(F)F)OCC(=O)O,ppard
28,CHEMBL1080822,P35396,EC50,=,46.0,nM,O(C(F)(F)F)c1cc(c2sc(COc3ccc(c(c3)C)OCC(=O)O)nc2c2ccc(cc2)OC(C)C)ccc1,ppard
29,CHEMBL1080822,P35396,Efficacy,=,71.0,%,O(C(F)(F)F)c1cc(c2sc(COc3ccc(c(c3)C)OCC(=O)O)nc2c2ccc(cc2)OC(C)C)ccc1,ppard
30,CHEMBL1080823,P35396,EC50,=,17.0,nM,c1(ccc(cc1C)OCc1sc(c(n1)c1ccc(cc1)OC(C)C)c1ccc(cc1)CCC)OCC(=O)O,ppard
31,CHEMBL1080823,P35396,Efficacy,=,89.0,%,c1(ccc(cc1C)OCc1sc(c(n1)c1ccc(cc1)OC(C)C)c1ccc(cc1)CCC)OCC(=O)O,ppard
32,CHEMBL1081546,P35396,EC50,=,20.0,nM,c1(ccc(cc1C)OCc1sc(c(n1)c1ccc(cc1)OC(C)C)c1ccc(cc1)C(F)(F)F)OCC(=O)O,ppard
33,CHEMBL1081546,P35396,Efficacy,=,83.0,%,c1(ccc(cc1C)OCc1sc(c(n1)c1ccc(cc1)OC(C)C)c1ccc(cc1)C(F)(F)F)OCC(=O)O,ppard
34,CHEMBL1082118,P35396,EC50,=,97.0,nM,c1(ccc(cc1C)OCc1oc(c(n1)c1ccc(nc1)OC)c1ccc(cc1)OC(F)(F)F)OCC(=O)O,ppard
35,CHEMBL1082118,P35396,Efficacy,=,85.0,%,c1(ccc(cc1C)OCc1oc(c(n1)c1ccc(nc1)OC)c1ccc(cc1)OC(F)(F)F)OCC(=O)O,ppard
36,CHEMBL1085795,P35396,EC50,=,2000.0,nM,c1(ccc(c(c1)C)NC(=O)CN(Cc1ccc(cc1)OC(C(=O)O)(C)C)Cc1occc1)C,ppard
37,CHEMBL1169827,P35396,EC50,=,2.3,nM,c1(ccc(cc1C)[Se]Cc1c(nc(s1)c1ccc(cc1)C(F)(F)F)C)OCC(=O)O,ppard
38,CHEMBL124079,P35396,EC50,=,1400.0,nM,C(=O)(Nc1c(cc(cc1)F)F)N(CCc1ccc(OC(C(=O)O)(C)C)cc1)C1CCCCCC1,ppard
39,CHEMBL124842,P35396,EC50,=,3200.0,nM,C(=O)(Nc1c(cc(cc1)F)F)N(CCc1ccc(OC(C(=O)O)(C)C)cc1)CCCCCCC,ppard
40,CHEMBL125230,P35396,EC50,=,23000.0,nM,C(=O)(Nc1ccc(F)cc1)N(CCc1ccc(OC(C(=O)O)(C)C)cc1)CCCCCC1CCCCC1,ppard
41,CHEMBL1257776,P35396,EC50,=,16000.0,nM,c1cccc(c1)CCCCCCCCCCCC[C@@]1(OC(=O)[C@H](C1)C)C,ppard
42,CHEMBL1257776,P35396,EC50,=,24000.0,nM,c1cccc(c1)CCCCCCCCCCCC[C@@]1(OC(=O)[C@H](C1)C)C,ppard
43,CHEMBL1257895,P35396,EC50,=,34000.0,nM,c1cccc(c1)CCCCCCCCCCCC[C@@]1(OC(=O)[C@@H](C1)C)C,ppard
44,CHEMBL1258004,P35396,EC50,=,9000.0,nM,c1cccc(c1)CCCCCCCCCCCC[C@]1(OC(=O)[C@@H](C1)C)C,ppard
45,CHEMBL153057,P35396,EC50,=,3800.0,nM,c1(c(ccc(c1O)C(=O)C)OCCCOc1ccc(cc1)OCC(=O)O)CCC,ppard
