,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL10041,P37231,Potency,Unspecified,44668.4,nM,C(=C(\c1ccc(cc1)O)/CC)(\c1ccc(cc1)OCCN(C)C)/c1ccccc1,pparg
1,CHEMBL101123,P37231,EC50,=,320.0,nM,c1(N(C(=O)c2cc(C(F)(F)F)c(C(F)(F)F)cc2)CCCc2cc(OC(C(=O)O)(C)C)ccc2)c(c(c2ncon2)ccc1)C1CC1,pparg
2,CHEMBL101263,P37231,Potency,Unspecified,44668.4,nM,c1cc(ccc1C(=O)O)[N+](=O)[O-],pparg
3,CHEMBL1017,P37231,%max,=,30.0,%,c1(nc2c(n1C)cccc2)c1cc2n(c(nc2c(c1)C)CCC)Cc1ccc(c2c(C(=O)O)cccc2)cc1,pparg
4,CHEMBL1017,P37231,EC50,=,4500.0,nM,c1(nc2c(n1C)cccc2)c1cc2n(c(nc2c(c1)C)CCC)Cc1ccc(c2c(C(=O)O)cccc2)cc1,pparg
5,CHEMBL1017,P37231,EC50,=,2020.0,nM,c1(nc2c(n1C)cccc2)c1cc2n(c(nc2c(c1)C)CCC)Cc1ccc(c2c(C(=O)O)cccc2)cc1,pparg
6,CHEMBL1017,P37231,max activation,=,49.0,%,c1(nc2c(n1C)cccc2)c1cc2n(c(nc2c(c1)C)CCC)Cc1ccc(c2c(C(=O)O)cccc2)cc1,pparg
7,CHEMBL1017,P37231,%max,=,21.2,%,c1(nc2c(n1C)cccc2)c1cc2n(c(nc2c(c1)C)CCC)Cc1ccc(c2c(C(=O)O)cccc2)cc1,pparg
8,CHEMBL1017,P37231,EC50,=,1520.0,nM,c1(nc2c(n1C)cccc2)c1cc2n(c(nc2c(c1)C)CCC)Cc1ccc(c2c(C(=O)O)cccc2)cc1,pparg
9,CHEMBL1017,P37231,%max,=,33.0,%,c1(nc2c(n1C)cccc2)c1cc2n(c(nc2c(c1)C)CCC)Cc1ccc(c2c(C(=O)O)cccc2)cc1,pparg
10,CHEMBL1017,P37231,Emax,=,33.0,%,c1(nc2c(n1C)cccc2)c1cc2n(c(nc2c(c1)C)CCC)Cc1ccc(c2c(C(=O)O)cccc2)cc1,pparg
11,CHEMBL1017,P37231,EC50,=,1520.0,nM,c1(nc2c(n1C)cccc2)c1cc2n(c(nc2c(c1)C)CCC)Cc1ccc(c2c(C(=O)O)cccc2)cc1,pparg
12,CHEMBL1017,P37231,Activity,=,47.0,%,c1(nc2c(n1C)cccc2)c1cc2n(c(nc2c(c1)C)CCC)Cc1ccc(c2c(C(=O)O)cccc2)cc1,pparg
13,CHEMBL1017,P37231,EC50,=,3400.0,nM,c1(nc2c(n1C)cccc2)c1cc2n(c(nc2c(c1)C)CCC)Cc1ccc(c2c(C(=O)O)cccc2)cc1,pparg
14,CHEMBL1017,P37231,IC50,=,12200.0,nM,c1(nc2c(n1C)cccc2)c1cc2n(c(nc2c(c1)C)CCC)Cc1ccc(c2c(C(=O)O)cccc2)cc1,pparg
15,CHEMBL1017,P37231,Activity,=,49.0,%,c1(nc2c(n1C)cccc2)c1cc2n(c(nc2c(c1)C)CCC)Cc1ccc(c2c(C(=O)O)cccc2)cc1,pparg
16,CHEMBL1017,P37231,EC50,=,2020.0,nM,c1(nc2c(n1C)cccc2)c1cc2n(c(nc2c(c1)C)CCC)Cc1ccc(c2c(C(=O)O)cccc2)cc1,pparg
17,CHEMBL1017,P37231,Activity,=,21.9,%,c1(nc2c(n1C)cccc2)c1cc2n(c(nc2c(c1)C)CCC)Cc1ccc(c2c(C(=O)O)cccc2)cc1,pparg
18,CHEMBL1017,P37238,%max,=,21.2,%,c1(nc2c(n1C)cccc2)c1cc2n(c(nc2c(c1)C)CCC)Cc1ccc(c2c(C(=O)O)cccc2)cc1,pparg
19,CHEMBL1017,P37238,Activity,=,45.0,%,c1(nc2c(n1C)cccc2)c1cc2n(c(nc2c(c1)C)CCC)Cc1ccc(c2c(C(=O)O)cccc2)cc1,pparg
20,CHEMBL1017,P37238,EC50,=,4060.0,nM,c1(nc2c(n1C)cccc2)c1cc2n(c(nc2c(c1)C)CCC)Cc1ccc(c2c(C(=O)O)cccc2)cc1,pparg
21,CHEMBL102004,P37231,EC50,=,4.0,nM,C(c1c(CN(C(=O)Cc2ccc(C(F)(F)F)cc2)CCCc2cc(OC(C(=O)O)(C)C)ccc2)ccc(C(F)(F)F)c1)(F)(F)F,pparg
22,CHEMBL102004,P37238,EC50,=,28.0,nM,C(c1c(CN(C(=O)Cc2ccc(C(F)(F)F)cc2)CCCc2cc(OC(C(=O)O)(C)C)ccc2)ccc(C(F)(F)F)c1)(F)(F)F,pparg
23,CHEMBL103,P37231,Potency,Unspecified,44668.4,nM,C1CC(=O)C=C2CC[C@@H]3[C@@H]([C@@]12C)CC[C@]1([C@H]3CC[C@@H]1C(=O)C)C,pparg
24,CHEMBL103,P37231,Potency,Unspecified,39810.7,nM,C1CC(=O)C=C2CC[C@@H]3[C@@H]([C@@]12C)CC[C@]1([C@H]3CC[C@@H]1C(=O)C)C,pparg
25,CHEMBL1042,P37231,Potency,Unspecified,44668.4,nM,C(=C\1/C[C@H](CCC1=C)O)\C=C\1/CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@@H](CCCC(C)C)C,pparg
26,CHEMBL104246,P37231,EC50,=,23.99,nM,n1c(oc(c1CCOc1ccc(C[C@H](N2CCOCC2)C(=O)O)cc1)C)c1ccccc1,pparg
27,CHEMBL104246,P37231,EC50,=,24.0,nM,n1c(oc(c1CCOc1ccc(C[C@H](N2CCOCC2)C(=O)O)cc1)C)c1ccccc1,pparg
28,CHEMBL104246,P37231,Ki,=,158.0,nM,n1c(oc(c1CCOc1ccc(C[C@H](N2CCOCC2)C(=O)O)cc1)C)c1ccccc1,pparg
29,CHEMBL104458,P37231,EC50,=,5000.0,nM,n1c(oc(c1CCOc1ccc(C[C@@H](C(=O)O)NC)cc1)C)c1ccccc1,pparg
30,CHEMBL104458,P37231,Ki,=,2100.0,nM,n1c(oc(c1CCOc1ccc(C[C@@H](C(=O)O)NC)cc1)C)c1ccccc1,pparg
31,CHEMBL104494,P37231,EC50,=,590.0,nM,n1c(oc(c1CCOc1ccc(C[C@H](Nc2ncccn2)C(=O)O)cc1)C)c1ccccc1,pparg
32,CHEMBL104494,P37231,Ki,=,280.0,nM,n1c(oc(c1CCOc1ccc(C[C@H](Nc2ncccn2)C(=O)O)cc1)C)c1ccccc1,pparg
33,CHEMBL1045,P37231,Potency,Unspecified,44668.4,nM,OC(=O)c1c(C(=O)O)cccc1,pparg
34,CHEMBL104850,P37231,EC50,=,4.677,nM,c1c(ccc(c1)OCCc1c(oc(n1)c1ccccc1)C)C[C@H](n1cccc1)C(=O)O,pparg
35,CHEMBL104850,P37231,IC50,=,29.0,nM,c1c(ccc(c1)OCCc1c(oc(n1)c1ccccc1)C)C[C@H](n1cccc1)C(=O)O,pparg
36,CHEMBL104850,P37231,Activity,=,115.0,%,c1c(ccc(c1)OCCc1c(oc(n1)c1ccccc1)C)C[C@H](n1cccc1)C(=O)O,pparg
37,CHEMBL104850,P37231,EC50,=,26.0,nM,c1c(ccc(c1)OCCc1c(oc(n1)c1ccccc1)C)C[C@H](n1cccc1)C(=O)O,pparg
38,CHEMBL104850,P37231,EC50,=,4.7,nM,c1c(ccc(c1)OCCc1c(oc(n1)c1ccccc1)C)C[C@H](n1cccc1)C(=O)O,pparg
39,CHEMBL104850,P37231,Ki,=,6.9,nM,c1c(ccc(c1)OCCc1c(oc(n1)c1ccccc1)C)C[C@H](n1cccc1)C(=O)O,pparg
40,CHEMBL104850,P37231,EC50,=,4.7,nM,c1c(ccc(c1)OCCc1c(oc(n1)c1ccccc1)C)C[C@H](n1cccc1)C(=O)O,pparg
41,CHEMBL104850,P37231,EC50,=,20.0,nM,c1c(ccc(c1)OCCc1c(oc(n1)c1ccccc1)C)C[C@H](n1cccc1)C(=O)O,pparg
42,CHEMBL104850,P37231,Ki,=,51.0,nM,c1c(ccc(c1)OCCc1c(oc(n1)c1ccccc1)C)C[C@H](n1cccc1)C(=O)O,pparg
43,CHEMBL104850,P37231,Ki,=,6.9,nM,c1c(ccc(c1)OCCc1c(oc(n1)c1ccccc1)C)C[C@H](n1cccc1)C(=O)O,pparg
44,CHEMBL105088,P37231,EC50,=,2600.0,nM,n1c(oc(c1CCOc1ccc(C[C@H](NS(=O)(=O)C)C(=O)O)cc1)C)c1ccccc1,pparg
45,CHEMBL105088,P37231,Ki,=,620.0,nM,n1c(oc(c1CCOc1ccc(C[C@H](NS(=O)(=O)C)C(=O)O)cc1)C)c1ccccc1,pparg
46,CHEMBL105712,P37231,Potency,Unspecified,44668.4,nM,C(=O)(c1ccccc1)CCl,pparg
47,CHEMBL106256,P37231,Ki,=,3760.0,nM,c1(c(c(c(OC(C(=O)O)c2ccccc2)c(c1)Cl)CCC)O)C(=O)CC,pparg
48,CHEMBL106256,P37231,Ki,=,985.0,nM,c1(c(c(c(OC(C(=O)O)c2ccccc2)c(c1)Cl)CCC)O)C(=O)CC,pparg
49,CHEMBL106666,P37231,EC50,=,0.7079,nM,n1c(oc(c1CCOc1ccc(C[C@H](Nc2c(C(=O)OC)cccc2)C(=O)O)cc1)C)c1ccccc1,pparg
50,CHEMBL106666,P37231,IC50,<,10000.0,nM,n1c(oc(c1CCOc1ccc(C[C@H](Nc2c(C(=O)OC)cccc2)C(=O)O)cc1)C)c1ccccc1,pparg
51,CHEMBL106666,P37231,EC50,=,0.631,nM,n1c(oc(c1CCOc1ccc(C[C@H](Nc2c(C(=O)OC)cccc2)C(=O)O)cc1)C)c1ccccc1,pparg
52,CHEMBL106666,P37231,Activity,=,92.0,%,n1c(oc(c1CCOc1ccc(C[C@H](Nc2c(C(=O)OC)cccc2)C(=O)O)cc1)C)c1ccccc1,pparg
53,CHEMBL106666,P37231,EC50,=,0.71,nM,n1c(oc(c1CCOc1ccc(C[C@H](Nc2c(C(=O)OC)cccc2)C(=O)O)cc1)C)c1ccccc1,pparg
54,CHEMBL106666,P37231,Ki,=,3.715,nM,n1c(oc(c1CCOc1ccc(C[C@H](Nc2c(C(=O)OC)cccc2)C(=O)O)cc1)C)c1ccccc1,pparg
55,CHEMBL106666,P37231,Ki,=,3.7,nM,n1c(oc(c1CCOc1ccc(C[C@H](Nc2c(C(=O)OC)cccc2)C(=O)O)cc1)C)c1ccccc1,pparg
56,CHEMBL106666,P37231,EC50,=,0.7079,nM,n1c(oc(c1CCOc1ccc(C[C@H](Nc2c(C(=O)OC)cccc2)C(=O)O)cc1)C)c1ccccc1,pparg
57,CHEMBL106666,P37231,EC50,=,0.6166,nM,n1c(oc(c1CCOc1ccc(C[C@H](Nc2c(C(=O)OC)cccc2)C(=O)O)cc1)C)c1ccccc1,pparg
58,CHEMBL106666,P37231,EC50,=,0.71,nM,n1c(oc(c1CCOc1ccc(C[C@H](Nc2c(C(=O)OC)cccc2)C(=O)O)cc1)C)c1ccccc1,pparg
59,CHEMBL106666,P37238,EC50,=,1.2,nM,n1c(oc(c1CCOc1ccc(C[C@H](Nc2c(C(=O)OC)cccc2)C(=O)O)cc1)C)c1ccccc1,pparg
60,CHEMBL107,P37231,Potency,Unspecified,70.8,nM,O=C(C)N[C@@H]1c2cc(=O)c(ccc2c2c(CC1)cc(c(c2OC)OC)OC)OC,pparg
61,CHEMBL107,P37231,Potency,Unspecified,10.0,nM,O=C(C)N[C@@H]1c2cc(=O)c(ccc2c2c(CC1)cc(c(c2OC)OC)OC)OC,pparg
