,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL101094,P06401,RBA,=,180.0,Unspecified,C12(C(C3C(C4C(=CC(=O)CC4)CC3)CC2)C=C[C@]1(C#C)O)CC,prgr
1,CHEMBL101244,P06401,RBA,=,24.0,Unspecified,[C@@]123C(C4C([C@H](C2)CC1=C)C1C(=CC(=O)CC1)CC4)CC[C@]3(C#C)O,prgr
2,CHEMBL101320,P06401,RBA,~,100.0,Unspecified,C12(C(C3C(C4C(=CC(=O)CC4)CC3)[C@H](C1)C)CC[C@]2(C#C)O)C,prgr
3,CHEMBL101356,P06401,RBA,=,50.0,Unspecified,[C@@]123C(C4C(C5C(=CC(=O)CC5)CC4)[C@H](C1)CCC3)CC[C@]2(C#C)O,prgr
4,CHEMBL101833,P06401,RBA,=,186.0,Unspecified,[C@]123C(C4C([C@H](C1)C[C@@H]2C)C1C(=CC(=O)CC1)CC4)CC[C@]3(C#C)O,prgr
5,CHEMBL101852,P06401,IC50,=,71.0,nM,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1nc(Br)ccc1,prgr
6,CHEMBL101852,P06401,Ki,=,13.8,nM,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1nc(Br)ccc1,prgr
7,CHEMBL101852,P06401,Efficacy,=,86.0,%,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1nc(Br)ccc1,prgr
8,CHEMBL101852,P06401,Efficacy,=,21.0,%,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1nc(Br)ccc1,prgr
9,CHEMBL101852,P06401,EC50,=,1700.0,nM,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1nc(Br)ccc1,prgr
10,CHEMBL101907,P06401,IC50,=,1100.0,nM,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cc(cc(c1)C)Br,prgr
11,CHEMBL101907,P06401,Ki,=,0.87,nM,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cc(cc(c1)C)Br,prgr
12,CHEMBL101907,P06401,Efficacy,=,31.0,%,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cc(cc(c1)C)Br,prgr
13,CHEMBL101907,P06401,Efficacy,=,65.0,%,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cc(cc(c1)C)Br,prgr
14,CHEMBL101907,P06401,EC50,=,17.0,nM,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cc(cc(c1)C)Br,prgr
15,CHEMBL101914,P06401,IC50,=,290.0,nM,c12c(c3c(OC1c1ccccc1)cccc3)ccc1c2C(=CC(N1)(C)C)C,prgr
16,CHEMBL101914,P06401,Ki,=,3.6,nM,c12c(c3c(OC1c1ccccc1)cccc3)ccc1c2C(=CC(N1)(C)C)C,prgr
17,CHEMBL101914,P06401,Ki,=,3.6,nM,c12c(c3c(OC1c1ccccc1)cccc3)ccc1c2C(=CC(N1)(C)C)C,prgr
18,CHEMBL101914,P06401,Efficacy,=,75.0,%,c12c(c3c(OC1c1ccccc1)cccc3)ccc1c2C(=CC(N1)(C)C)C,prgr
19,CHEMBL101914,P06401,Efficacy,=,75.0,%,c12c(c3c(OC1c1ccccc1)cccc3)ccc1c2C(=CC(N1)(C)C)C,prgr
20,CHEMBL101914,P06401,Efficacy,=,42.0,%,c12c(c3c(OC1c1ccccc1)cccc3)ccc1c2C(=CC(N1)(C)C)C,prgr
21,CHEMBL101914,P06401,Efficacy,=,42.0,%,c12c(c3c(OC1c1ccccc1)cccc3)ccc1c2C(=CC(N1)(C)C)C,prgr
22,CHEMBL101914,P06401,EC50,=,156.0,nM,c12c(c3c(OC1c1ccccc1)cccc3)ccc1c2C(=CC(N1)(C)C)C,prgr
23,CHEMBL101914,P06401,EC50,=,156.0,nM,c12c(c3c(OC1c1ccccc1)cccc3)ccc1c2C(=CC(N1)(C)C)C,prgr
24,CHEMBL102179,P06401,IC50,=,54.0,nM,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cnc(cc1)Br,prgr
25,CHEMBL102179,P06401,Ki,=,3.9,nM,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cnc(cc1)Br,prgr
26,CHEMBL102179,P06401,Efficacy,=,86.0,%,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cnc(cc1)Br,prgr
27,CHEMBL102179,P06401,Efficacy,=,24.0,%,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cnc(cc1)Br,prgr
28,CHEMBL102179,P06401,EC50,=,3900.0,nM,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cnc(cc1)Br,prgr
29,CHEMBL102403,P06401,IC50,=,250.0,nM,c12c(c3c(OC1c1ccc(cc1)C)cccc3)ccc1c2C(=CC(N1)(C)C)C,prgr
30,CHEMBL102403,P06401,Ki,=,2.3,nM,c12c(c3c(OC1c1ccc(cc1)C)cccc3)ccc1c2C(=CC(N1)(C)C)C,prgr
31,CHEMBL102403,P06401,Efficacy,=,38.0,%,c12c(c3c(OC1c1ccc(cc1)C)cccc3)ccc1c2C(=CC(N1)(C)C)C,prgr
32,CHEMBL102403,P06401,Efficacy,=,59.0,%,c12c(c3c(OC1c1ccc(cc1)C)cccc3)ccc1c2C(=CC(N1)(C)C)C,prgr
33,CHEMBL102403,P06401,EC50,=,37.0,nM,c12c(c3c(OC1c1ccc(cc1)C)cccc3)ccc1c2C(=CC(N1)(C)C)C,prgr
34,CHEMBL102541,P06401,IC50,>,10000.0,nM,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cc(cc(c1)Cl)Cl,prgr
35,CHEMBL102541,P06401,Ki,=,1.7,nM,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cc(cc(c1)Cl)Cl,prgr
36,CHEMBL102541,P06401,Efficacy,<,20.0,%,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cc(cc(c1)Cl)Cl,prgr
37,CHEMBL102541,P06401,Efficacy,=,57.0,%,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cc(cc(c1)Cl)Cl,prgr
38,CHEMBL102541,P06401,EC50,=,50.0,nM,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cc(cc(c1)Cl)Cl,prgr
39,CHEMBL102602,P06401,IC50,=,1207.0,nM,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cc(cc(c1)F)Br,prgr
40,CHEMBL102602,P06401,Ki,=,2.4,nM,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cc(cc(c1)F)Br,prgr
41,CHEMBL102602,P06401,Efficacy,=,65.0,%,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cc(cc(c1)F)Br,prgr
42,CHEMBL102602,P06401,Efficacy,=,49.0,%,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cc(cc(c1)F)Br,prgr
43,CHEMBL102602,P06401,EC50,=,27.0,nM,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cc(cc(c1)F)Br,prgr
44,CHEMBL102720,P06401,IC50,>,10000.0,nM,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cc(c(cc1)Cl)C,prgr
45,CHEMBL102720,P06401,Ki,=,1.2,nM,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cc(c(cc1)Cl)C,prgr
46,CHEMBL102720,P06401,Efficacy,<,20.0,%,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cc(c(cc1)Cl)C,prgr
47,CHEMBL102720,P06401,Efficacy,=,68.0,%,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cc(c(cc1)Cl)C,prgr
48,CHEMBL102720,P06401,EC50,=,14.0,nM,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cc(c(cc1)Cl)C,prgr
49,CHEMBL102754,P06401,IC50,>,10000.0,nM,c12C(Oc3c(c1ccc1c2C(=CC(N1)(C)C)C)cccc3)c1cc(c(cc1)Cl)F,prgr
