,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL100031,P18031,IC50,>,100000.0,nM,c12nc(nc(c1nc(nn2)CN1CCN(CC1)c1ccccc1)N)N,ptn1
1,CHEMBL100031,P18031,IC50,>,100000.0,nM,c12nc(nc(c1nc(nn2)CN1CCN(CC1)c1ccccc1)N)N,ptn1
2,CHEMBL100267,P18031,IC50,=,20000000.0,nM,c1(c2c(cc(C(=O)O)cc2)ccc1OC)C(=O)O,ptn1
3,CHEMBL101423,P18031,Ratio,=,20000.0,M-1 min-1,c1(cc2c(cc1)cccc2)C(=O)CBr,ptn1
4,CHEMBL101423,P18031,Ki,=,25000.0,nM,c1(cc2c(cc1)cccc2)C(=O)CBr,ptn1
5,CHEMBL101423,P18031,kinact,=,0.48,min-1,c1(cc2c(cc1)cccc2)C(=O)CBr,ptn1
6,CHEMBL101427,P18031,IC50,=,19000.0,nM,S(=O)(=O)(c1cc(C(=O)NN2[C@H](CCC[C@H]2C)C)ccc1Cl)NC(=O)c1cc2c(cc(C(P(=O)(O)O)(F)F)cc2)cc1,ptn1
7,CHEMBL102015,P18031,IC50,=,24000.0,nM,S(=O)(=O)(NC(=O)c1cc2c(cc(C(P(=O)(O)O)(F)F)cc2)cc1)Cc1ccccc1,ptn1
8,CHEMBL102443,P18031,Ratio,=,7500.0,M-1 min-1,C(=O)(c1ncccc1)CBr,ptn1
9,CHEMBL102443,P18031,Ki,=,173000.0,nM,C(=O)(c1ncccc1)CBr,ptn1
10,CHEMBL102443,P18031,kinact,=,1.3,min-1,C(=O)(c1ncccc1)CBr,ptn1
11,CHEMBL102756,P18031,Ratio,=,36000.0,M-1 min-1,C(=O)(NC(C(=O)O)CCC(=O)O)[C@@H](NC(=O)CNC(=O)c1c(c2ccc(C(=O)CBr)cc2)cccc1)CCC(=O)O,ptn1
12,CHEMBL102756,P18031,Ki,=,9900.0,nM,C(=O)(NC(C(=O)O)CCC(=O)O)[C@@H](NC(=O)CNC(=O)c1c(c2ccc(C(=O)CBr)cc2)cccc1)CCC(=O)O,ptn1
13,CHEMBL102756,P18031,kinact,=,0.36,min-1,C(=O)(NC(C(=O)O)CCC(=O)O)[C@@H](NC(=O)CNC(=O)c1c(c2ccc(C(=O)CBr)cc2)cccc1)CCC(=O)O,ptn1
14,CHEMBL102952,P18031,Ratio,=,9300.0,M-1 min-1,C(=O)(c1ccc(cc1)O)CBr,ptn1
15,CHEMBL102952,P18031,Ki,=,43000.0,nM,C(=O)(c1ccc(cc1)O)CBr,ptn1
16,CHEMBL102952,P18031,kinact,=,0.4,min-1,C(=O)(c1ccc(cc1)O)CBr,ptn1
17,CHEMBL102953,P18031,Ratio,=,7100.0,M-1 min-1,C(=O)(c1ccccc1)CBr,ptn1
18,CHEMBL102953,P18031,Ki,=,81000.0,nM,C(=O)(c1ccccc1)CBr,ptn1
19,CHEMBL102953,P18031,kinact,=,0.58,min-1,C(=O)(c1ccccc1)CBr,ptn1
20,CHEMBL103009,P18031,Ratio,=,18000.0,M-1 min-1,C(=O)(c1ccc(cc1)OC)CBr,ptn1
21,CHEMBL103009,P18031,Ki,=,128000.0,nM,C(=O)(c1ccc(cc1)OC)CBr,ptn1
22,CHEMBL103009,P18031,kinact,=,2.4,min-1,C(=O)(c1ccc(cc1)OC)CBr,ptn1
23,CHEMBL103130,P18031,kinact,=,1.0,min-1,c1(c(c2ccc(C(=O)CBr)cc2)cccc1)C(=O)O,ptn1
24,CHEMBL103130,P18031,Ratio,=,4550.0,M-1 min-1,c1(c(c2ccc(C(=O)CBr)cc2)cccc1)C(=O)O,ptn1
25,CHEMBL103130,P18031,Ki,=,220000.0,nM,c1(c(c2ccc(C(=O)CBr)cc2)cccc1)C(=O)O,ptn1
26,CHEMBL103709,P18031,IC50,=,25000.0,nM,S(=O)(=O)(c1cc(C2(NC(=O)c3c2cccc3)O)ccc1Cl)NC(=O)c1cc2c(cc(C(P(=O)(O)O)(F)F)cc2)cc1,ptn1
27,CHEMBL103942,P18031,IC50,=,30000.0,nM,S(=O)(=O)(NC(=O)c1cc2c(cc(C(P(=O)(O)O)(F)F)cc2)cc1)c1ccccc1,ptn1
28,CHEMBL104371,P18031,Ratio,=,7.7,Unspecified,C(C(=O)O)(C(=O)O)Oc1ccc(CC(NC(=O)OC(C)(C)C)C(=O)NCCCCOc2c(C(=O)OC)c(O)ccc2)cc1,ptn1
29,CHEMBL104371,P18031,Ki,=,3200.0,nM,C(C(=O)O)(C(=O)O)Oc1ccc(CC(NC(=O)OC(C)(C)C)C(=O)NCCCCOc2c(C(=O)OC)c(O)ccc2)cc1,ptn1
30,CHEMBL104821,P18031,Ki,>,200000.0,nM,C(=O)(N(CCC(=O)O)c1ccc(C[C@H](NC(=O)OC(C)(C)C)C(=O)NCCCCOc2c(C(=O)OC)c(O)ccc2)cc1)C(=O)O,ptn1
31,CHEMBL104927,P18031,kinact,=,1.8,min-1,C(=O)(COc1ccc(C(=O)CBr)cc1)O,ptn1
32,CHEMBL104927,P18031,Ratio,=,9300.0,M-1 min-1,C(=O)(COc1ccc(C(=O)CBr)cc1)O,ptn1
33,CHEMBL104927,P18031,Ki,=,193000.0,nM,C(=O)(COc1ccc(C(=O)CBr)cc1)O,ptn1
34,CHEMBL105037,P18031,Ratio,=,580.0,M-1 min-1,C(=O)(c1ccc(cc1)F)CCl,ptn1
35,CHEMBL105037,P18031,Ki,=,380000.0,nM,C(=O)(c1ccc(cc1)F)CCl,ptn1
36,CHEMBL105037,P18031,kinact,=,0.22,min-1,C(=O)(c1ccc(cc1)F)CCl,ptn1
37,CHEMBL105348,P18031,Ratio,=,26000.0,M-1 min-1,C(c1ccc(C(=O)CBr)cc1)(F)(F)F,ptn1
38,CHEMBL105348,P18031,Ki,=,14000.0,nM,C(c1ccc(C(=O)CBr)cc1)(F)(F)F,ptn1
39,CHEMBL105348,P18031,kinact,=,0.37,min-1,C(c1ccc(C(=O)CBr)cc1)(F)(F)F,ptn1
40,CHEMBL105349,P18031,Ratio,=,120.0,M-1 min-1,c1(c(cc(cc1)F)F)C(=O)CCl,ptn1
41,CHEMBL105349,P18031,Ki,=,17500000.0,nM,c1(c(cc(cc1)F)F)C(=O)CCl,ptn1
42,CHEMBL105349,P18031,kinact,=,2.1,min-1,c1(c(cc(cc1)F)F)C(=O)CCl,ptn1
43,CHEMBL105609,P18031,Ratio,=,420.0,M-1 min-1,c1(cc(c(cc1)O)O)C(=O)CCl,ptn1
44,CHEMBL105609,P18031,Ki,=,1400000.0,nM,c1(cc(c(cc1)O)O)C(=O)CCl,ptn1
45,CHEMBL105609,P18031,kinact,=,0.59,min-1,c1(cc(c(cc1)O)O)C(=O)CCl,ptn1
46,CHEMBL105712,P18031,Ratio,=,430.0,M-1 min-1,C(=O)(c1ccccc1)CCl,ptn1
47,CHEMBL105712,P18031,Ki,=,480000.0,nM,C(=O)(c1ccccc1)CCl,ptn1
48,CHEMBL105712,P18031,kinact,=,0.21,min-1,C(=O)(c1ccccc1)CCl,ptn1
