,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL117353,Q64737,Ki,=,1.9e-05,nM,c12nc(nc(c1CC(CN2)CCCc1ccc(C(=O)N[C@@H](C(=O)O)CCC(=O)O)cc1)O)N,pur2
1,CHEMBL122959,Q64737,IC50,>,95000.0,nM,c12c3c(nc(nc3O)N)ncc1c(n(c2C)C)C,pur2
2,CHEMBL123231,Q64737,IC50,>,40000.0,nM,c12c(nc(nc1O)N)NCC1C2CN(C1)c1ccc(C(=O)NC(C(=O)O)CCC(=O)O)cc1,pur2
3,CHEMBL13659,P22102,IC50,=,3000.0,nM,n1c(c(c(nc1N)O)CCCNc1ccc(C(=O)N[C@H](C(=O)O)CCC(=O)O)cc1)N,pur2
4,CHEMBL13659,P22102,IC50,=,3000.0,nM,n1c(c(c(nc1N)O)CCCNc1ccc(C(=O)N[C@H](C(=O)O)CCC(=O)O)cc1)N,pur2
5,CHEMBL13659,P22102,IC50,=,3000.0,nM,n1c(c(c(nc1N)O)CCCNc1ccc(C(=O)N[C@H](C(=O)O)CCC(=O)O)cc1)N,pur2
6,CHEMBL13705,P22102,Ki,=,1700.0,nM,c1(ccc(cc1)C(=O)N[C@H](C(=O)O)CCC(=O)O)CCCCc1c(=O)[nH]c(nc1N)N,pur2
7,CHEMBL13705,P22102,IC50,=,1600.0,nM,c1(ccc(cc1)C(=O)N[C@H](C(=O)O)CCC(=O)O)CCCCc1c(=O)[nH]c(nc1N)N,pur2
8,CHEMBL140448,P22102,Ki,=,4000.0,nM,n1c(c2c(nc1N)ccc(c2)CN(C=O)c1ccc(C(=O)NC(C(=O)O)CCC(=O)O)cc1)O,pur2
9,CHEMBL152172,P22102,IC50,=,7600.0,nM,n1c(c(c(nc1N)O)CCCN(C=O)c1ccc(C(=O)NC(C(=O)O)CCC(=O)O)cc1)N,pur2
10,CHEMBL152172,P22102,IC50,=,18000.0,nM,n1c(c(c(nc1N)O)CCCN(C=O)c1ccc(C(=O)NC(C(=O)O)CCC(=O)O)cc1)N,pur2
11,CHEMBL153550,P22102,IC50,=,4300.0,nM,n1c(c(c(nc1N)O)CCCN(c1ccc(C(=O)NC(C(=O)O)CCC(=O)O)cc1)C)N,pur2
12,CHEMBL156308,P22102,IC50,=,26000.0,nM,c12c(nc(nc1O)N)NCC(C2)N(Cc1ccc(C(=O)NC(C(=O)O)CCC(=O)O)cc1)C,pur2
13,CHEMBL156551,P22102,IC50,>,100000.0,nM,n1c2c(c(nc1N)O)cc(N(Cc1ccc(C(=O)NC(C(=O)O)CCC(=O)O)cc1)C)cn2,pur2
14,CHEMBL157230,P22102,IC50,=,5300.0,nM,c12nc(nc(c1CC(NCc1ccc(C(=O)NC(C(=O)O)CCC(=O)O)cc1)CN2)O)N,pur2
