,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL1077648,P00489,IC50,=,22300.0,nM,[C@H]1(CC([C@H]2[C@](C1)([C@@H]1[C@@](CC2)([C@]2(C(=CC1)[C@H]1[C@@](CC2)(CCC([C@@H]1C)C)C(=O)OCc1ccccc1)C)C)C)(C)C)O,pygm
1,CHEMBL1077649,P00489,IC50,=,55800.0,nM,[C@@H]1(CC([C@H]2[C@](C1)([C@@H]1[C@@](CC2)([C@]2(C(=CC1)[C@H]1[C@@](CC2)(CC[C@H]([C@@H]1C)C)C(=O)OCc1ccccc1)C)C)C)(C)C)O,pygm
2,CHEMBL1077650,P00489,IC50,=,121300.0,nM,c1cc(COC(=O)[C@@]23CC[C@]4([C@@]5(CC[C@H]6C(C[C@@H](C[C@@]6([C@H]5CC=C4[C@@H]2CC(CC3)(C)C)C)OC(=O)CC)(C)C)C)C)ccc1,pygm
3,CHEMBL1077651,P00489,IC50,=,107900.0,nM,c1cc(COC(=O)[C@@]23CC[C@]4([C@@]5(CC[C@H]6C(C[C@@H](C[C@@]6([C@H]5CC=C4[C@@H]2CC(CC3)(C)C)C)OC(=O)CCC)(C)C)C)C)ccc1,pygm
4,CHEMBL1077652,P00489,IC50,=,75600.0,nM,[C@@H]1(CC([C@H]2[C@](C1)([C@@H]1[C@@](CC2)([C@]2(C(=CC1)[C@H]1[C@@](CC2)(CCC(C1)(C)C)C(=O)O)C)C)C)(C)C)OC(=O)CCC,pygm
5,CHEMBL1077653,P00489,IC50,=,48400.0,nM,c1cc(COC(=O)[C@@]23CC[C@]4([C@@]5(CC[C@H]6C(C[C@@H](C[C@@]6([C@H]5CC=C4[C@@H]2CC(CC3)(C)C)C)OC(=O)c2ccccc2)(C)C)C)C)ccc1,pygm
6,CHEMBL1077654,P00489,IC50,=,40700.0,nM,[C@@H]1(CC([C@H]2[C@](C1)([C@@H]1[C@@](CC2)([C@]2(C(=CC1)[C@H]1[C@@](CC2)(CCC(C1)(C)C)C(=O)O)C)C)C)(C)C)OC(=O)c1ccccc1,pygm
7,CHEMBL1077655,P00489,IC50,=,80900.0,nM,c1cc(COC(=O)[C@@]23CC[C@]4([C@@]5(CC[C@H]6C(C[C@@H](C[C@@]6([C@H]5CC=C4[C@@H]2CC(CC3)(C)C)C)OC(=O)CCC(=O)O)(C)C)C)C)ccc1,pygm
8,CHEMBL1077656,P00489,IC50,=,48700.0,nM,[C@H]1(CC([C@H]2[C@](C1)([C@@H]1[C@@](CC2)([C@]2(C(=CC1)[C@H]1[C@@](CC2)(CCC(C1)(C)C)C(=O)OCCCCBr)C)C)C)(C)C)O,pygm
9,CHEMBL1077658,P00489,IC50,=,5600.0,nM,[C@@H]1(CC([C@H]2[C@](C1)([C@@H]1[C@@](CC2)([C@]2(C(=CC1)[C@H]1[C@@](CC2)(CCC([C@@H]1C)(C)C)C(=O)OCc1ccccc1)C)C)C)(C)C)O,pygm
10,CHEMBL1077660,P00489,IC50,=,20417.38,nM,C\1(=N\O)/CC([C@H]2[C@](C1)([C@@H]1[C@@](CC2)([C@]2(C(=CC1)[C@H]1[C@@](CC2)(CC[C@H]([C@@H]1C)C)C(=O)OCc1ccccc1)C)C)C)(C)C,pygm
11,CHEMBL1077660,P00489,IC50,=,20200.0,nM,C\1(=N\O)/CC([C@H]2[C@](C1)([C@@H]1[C@@](CC2)([C@]2(C(=CC1)[C@H]1[C@@](CC2)(CC[C@H]([C@@H]1C)C)C(=O)OCc1ccccc1)C)C)C)(C)C,pygm
12,CHEMBL1077660,P00489,IC50,=,20200.0,nM,C\1(=N\O)/CC([C@H]2[C@](C1)([C@@H]1[C@@](CC2)([C@]2(C(=CC1)[C@H]1[C@@](CC2)(CC[C@H]([C@@H]1C)C)C(=O)OCc1ccccc1)C)C)C)(C)C,pygm
13,CHEMBL1077661,P00489,IC50,=,4200.0,nM,[C@H]1(CC([C@H]2[C@](C1)([C@@H]1[C@@](CC2)([C@]2(C(=CC1)[C@H]1[C@@](CC2)(CCC(C1)(C)C)C(=O)OCc1ccccc1)C)C)C)(C)C)O,pygm
14,CHEMBL1077661,P00489,IC50,=,4168.69,nM,[C@H]1(CC([C@H]2[C@](C1)([C@@H]1[C@@](CC2)([C@]2(C(=CC1)[C@H]1[C@@](CC2)(CCC(C1)(C)C)C(=O)OCc1ccccc1)C)C)C)(C)C)O,pygm
15,CHEMBL1077661,P00489,IC50,=,4200.0,nM,[C@H]1(CC([C@H]2[C@](C1)([C@@H]1[C@@](CC2)([C@]2(C(=CC1)[C@H]1[C@@](CC2)(CCC(C1)(C)C)C(=O)OCc1ccccc1)C)C)C)(C)C)O,pygm
16,CHEMBL1077726,P00489,IC50,=,16218.1,nM,[C@@H]1(CC([C@H]2[C@](C1)([C@@H]1[C@@](CC2)([C@]2(C(=CC1)[C@H]1[C@@](CC2)(CCC(C1)(C)C)C(=O)O)C)C)C)(C)C)O,pygm
17,CHEMBL1077726,P00489,IC50,=,16100.0,nM,[C@@H]1(CC([C@H]2[C@](C1)([C@@H]1[C@@](CC2)([C@]2(C(=CC1)[C@H]1[C@@](CC2)(CCC(C1)(C)C)C(=O)O)C)C)C)(C)C)O,pygm
18,CHEMBL1077726,P00489,IC50,=,8500.0,nM,[C@@H]1(CC([C@H]2[C@](C1)([C@@H]1[C@@](CC2)([C@]2(C(=CC1)[C@H]1[C@@](CC2)(CCC(C1)(C)C)C(=O)O)C)C)C)(C)C)O,pygm
