,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL104001,Q02127,Ki,=,409.0,nM,c12c(c(c3c(n1)ccc(c3)F)C(=O)[O-])CCc1c2ccc(n1)c1ccccc1.[Na+],pyrd
1,CHEMBL104136,Q02127,Ki,=,37.0,nM,c12c(c(c3c(n1)ccc(c3)F)C(=O)[O-])CSc1c2ccc(c1)c1cc(ccc1)C.[Na+],pyrd
2,CHEMBL104146,Q02127,Ki,=,25.0,nM,c12c(c3c(nc1c1c(cc(c4c(C)cccc4)cc1)CS2)ccc(c3)F)C(=O)[O-].[Na+],pyrd
3,CHEMBL104167,Q02127,Ki,=,81.0,nM,c12c(c(c3c(n1)ccc(c3)F)C(=O)[O-])CCc1c2ccc(n1)c1cc(ccc1)C.[Na+],pyrd
4,CHEMBL104209,Q02127,Ki,=,8.3,nM,c12c(c(c3c(n1)ccc(c3)F)C(=O)[O-])CCc1c2ccc(c1)c1ccccc1.[Na+],pyrd
5,CHEMBL104302,Q02127,Ki,=,17.0,nM,c12c(c(c3c(n1)ccc(c3)F)C(=O)[O-])CSc1c2ccc(c1)c1ccccc1.[Na+],pyrd
6,CHEMBL104712,Q02127,Ki,>,1000.0,nM,c12c(c(c3c(n1)ccc(c3)F)C(=O)[O-])CCc1c2cc(cc1)c1ccccc1.[Na+],pyrd
7,CHEMBL104766,Q02127,Ki,=,59.0,nM,c12c(c(c3c(n1)ccc(c3)F)C(=O)[O-])CCc1c2ccc(c1)c1cc(ccc1)C.[Na+],pyrd
8,CHEMBL104824,Q02127,Ki,=,43.0,nM,c12c(c(c3c(n1)ccc(c3)F)C(=O)[O-])CCc1c2ccc(c1)c1cc(C(F)(F)F)ccc1.[Na+],pyrd
9,CHEMBL105175,Q02127,Ki,=,31.0,nM,c12c(c(c3c(n1)ccc(C(F)(F)F)c3)C(=O)[O-])CCc1c2ccc(c1)c1ccccc1.[Na+],pyrd
10,CHEMBL106467,Q02127,Ki,=,13.0,nM,c12c(c(c3c(n1)ccc(c3)F)C(=O)[O-])CSc1c2ccc(c1)c1ccc(cc1)C.[Na+],pyrd
11,CHEMBL106515,Q02127,Ki,=,20.0,nM,c12c(c(c3c(n1)ccc(c3)F)C(=O)[O-])CCc1c2ccc(c1)c1c(OC)cccc1.[Na+],pyrd
12,CHEMBL106529,Q02127,Ki,=,160.0,nM,c12c(c(c3c(n1)ccc(c3)F)C(=O)[O-])CCc1c2ccc(n1)c1cc(OC)ccc1.[Na+],pyrd
13,CHEMBL106674,Q02127,Ki,=,218.0,nM,c12c(c3c(nc1c1c(cc(c4ccc(cc4)C)cc1)CS2)ccc(c3)F)C(=O)[O-].[Na+],pyrd
14,CHEMBL106865,Q02127,Ki,=,40.0,nM,c12c(c(c3c(n1)ccc(c3)F)C(=O)[O-])CCc1c2ccc(c1)c1ccc(cc1)C.[Na+],pyrd
15,CHEMBL106930,Q02127,Ki,=,300.0,nM,c12c(c(c3c(n1)ccc(c3)F)C(=O)[O-])CCc1c2cccc1c1ccccc1.[Na+],pyrd
16,CHEMBL107209,Q02127,Ki,=,25.0,nM,c12c(c(c3c(n1)ccc(c3)F)C(=O)[O-])CCc1c2ccc(c1)c1cc(OC)ccc1.[Na+],pyrd
17,CHEMBL107224,Q02127,Ki,=,52.0,nM,c12c(c(c3c(n1)ccc(c3)F)C(=O)[O-])CCc1c2ccc(c2cscc2)c1.[Na+],pyrd
18,CHEMBL107362,Q02127,Ki,=,370.0,nM,c12c(c(c3c(n1)ccc(c3)F)C(=O)[O-])CCc1c2ccc(c1)c1ccc(C(F)(F)F)cc1.[Na+],pyrd
19,CHEMBL107417,Q02127,Ki,>,180.0,nM,c12c(c(c3c(n1)ccc(c3)F)C(=O)[O-])CCc1c2ccc(c2nccs2)c1.[Na+],pyrd
20,CHEMBL107642,Q02127,Ki,=,48.0,nM,c12c(c(c3c(n1)ccc(c3)F)C(=O)[O-])COc1c2ccc(c1)c1ccccc1.[Na+],pyrd
21,CHEMBL1076869,Q02127,IC50,=,3300.0,nM,c1(ccc(cc1)c1csc(n1)N/N=C/c1ccccc1)Br,pyrd
22,CHEMBL108213,Q02127,Ki,=,135.0,nM,c12c(c3c(nc1c1c(cc(c4cc(ccc4)C)cc1)CS2)ccc(c3)F)C(=O)[O-].[Na+],pyrd
