,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL100420,P00797,Affinity,=,74.0,nM,C(=O)(N[C@H]([C@H]([C@H](CC(C)C)O)O)CC1CCCCC1)[C@@H](NC(=O)/C=C/C(=O)N1CCOCC1)CC=C,reni
1,CHEMBL100431,P00797,Affinity,=,5.0,nM,C(=O)(N[C@H]([C@H]([C@H](CC(C)C)O)O)CC1CCCCC1)[C@@H](N(C(=O)/C=C/C(=O)N1CCOCC1)C)CC=C,reni
2,CHEMBL100605,P00797,IC50,=,6.3,nM,C(=O)(N1CCC(CC1)OCOC)[C@@H](N[C@H](C(=O)N[C@H]([C@H](C[C@H](C(=O)NCC(NCCO)(C)C)C(C)C)O)CC1CCCCC1)CCCC)Cc1ccccc1,reni
3,CHEMBL100647,P00797,IC50,=,6.8,nM,C(=O)(N1CCC(CC1)OCOC)[C@@H](O[C@H](C(=O)N[C@H]([C@H](C[C@H](C(=O)NCCC(=O)O)C(C)C)O)CC1CCCCC1)CCCC)Cc1ccccc1,reni
4,CHEMBL100800,P00797,IC50,=,8.4,nM,C(=O)(N1CCC(CC1)OCOC)[C@@H](N[C@H](C(=O)N[C@H]([C@H](C[C@H](C(=O)NCCC(=O)O)C(C)C)O)CC1CCCCC1)CCCC)Cc1ccccc1,reni
5,CHEMBL100924,P00797,IC50,=,3.8,nM,N1(C(=O)[C@H](Cc2cn(c3c2cccc3)C=O)NC(=O)C)[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NC(C(CC(=O)N)O)CC(C)C)Cc2nc[nH]c2)Cc2ccccc2)CCC1,reni
6,CHEMBL100924,P08424,IC50,=,2400.0,nM,N1(C(=O)[C@H](Cc2cn(c3c2cccc3)C=O)NC(=O)C)[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NC(C(CC(=O)N)O)CC(C)C)Cc2nc[nH]c2)Cc2ccccc2)CCC1,reni
7,CHEMBL100946,P00797,IC50,=,6.0,nM,C(=O)(N1CCC(CC1)OCOC)[C@@H](O[C@H](C(=O)N[C@H]([C@H](C[C@H](C(=O)NCCCNCCO)C(C)C)O)CC1CCCCC1)CCCC)Cc1ccccc1,reni
8,CHEMBL100949,P00797,IC50,=,4.3,nM,C(=O)(N1CCC(CC1)OCOC)[C@@H](O[C@H](C(=O)N[C@H]([C@H](C[C@H](C(=O)NCCCNC(=O)OCc1ccccc1)C(C)C)O)CC1CCCCC1)CCCC)Cc1ccccc1,reni
9,CHEMBL100965,P00797,IC50,=,1300.0,nM,C(=O)(NC(C(CC(=O)N[C@H](C(=O)N[C@H](C(=O)N)Cc1ccccc1)CC(C)C)O)CC(C)C)[C@@H](NC(=O)[C@H](Cc1ccccc1)N)Cc1nc[nH]c1,reni
10,CHEMBL101074,P00797,IC50,=,12.0,nM,C(=O)(N1CCC(CC1)OCOC)[C@@H](O[C@H](C(=O)N[C@H]([C@H](C[C@H](C(=O)NCCC(=O)OCC)C(C)C)O)CC1CCCCC1)CCCC)Cc1ccccc1,reni
11,CHEMBL101075,P00797,IC50,=,9.4,nM,C(=O)(N1CCC(CC1)OCOC)[C@@H](N[C@H](C(=O)N[C@H]([C@H](C[C@H](C(=O)NCCc1ncccc1)C(C)C)O)CC1CCCCC1)CCCC)Cc1ccccc1,reni
12,CHEMBL101075,P00797,IC50,=,33.0,nM,C(=O)(N1CCC(CC1)OCOC)[C@@H](N[C@H](C(=O)N[C@H]([C@H](C[C@H](C(=O)NCCc1ncccc1)C(C)C)O)CC1CCCCC1)CCCC)Cc1ccccc1,reni
