,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL10,Q13464,Residual Activity,=,74.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,rock1
1,CHEMBL10,Q13464,Residual Activity,=,70.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,rock1
2,CHEMBL10,Q13464,Ki,>,3981.07,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,rock1
3,CHEMBL10,Q13464,Kd,>,10000.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,rock1
4,CHEMBL101253,Q13464,Ki,>,6309.57,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,rock1
5,CHEMBL101253,Q13464,Kd,>,10000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,rock1
6,CHEMBL101311,Q13464,Ki,=,1258.93,nM,n1c(nccc1Nc1cc(ccc1Cl)Cl)Nc1ccc(OCC(CN(C)C)O)cc1,rock1
7,CHEMBL101683,Q13464,Residual Activity,=,111.0,%,Clc1ccc(cc1)NC(=O)c1c(cccc1)NCc1ccncc1,rock1
8,CHEMBL101683,Q13464,Residual Activity,=,105.0,%,Clc1ccc(cc1)NC(=O)c1c(cccc1)NCc1ccncc1,rock1
9,CHEMBL101804,Q13464,Inhibition,=,1.29,%,O=C(Nc1n[nH]c2nc(ccc12)c1ccco1)C1CC1,rock1
10,CHEMBL101804,Q13464,Inhibition,=,3.74,%,O=C(Nc1n[nH]c2nc(ccc12)c1ccco1)C1CC1,rock1
11,CHEMBL102346,Q13464,Residual Activity,=,137.0,%,c12c(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)ncnc1cc(c(c2)OC)OC,rock1
12,CHEMBL102346,Q13464,Residual Activity,=,124.0,%,c12c(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)ncnc1cc(c(c2)OC)OC,rock1
13,CHEMBL102936,Q13464,Inhibition,=,0.87,%,CS(=O)(=O)Nc1ccc(cc1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,rock1
14,CHEMBL102936,Q13464,Inhibition,=,1.98,%,CS(=O)(=O)Nc1ccc(cc1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,rock1
15,CHEMBL103080,Q13464,Inhibition,=,0.24,%,CS(=O)(=O)Nc1cccc(c1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,rock1
16,CHEMBL103080,Q13464,Inhibition,=,0.09,%,CS(=O)(=O)Nc1cccc(c1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,rock1
17,CHEMBL103098,Q13464,Inhibition,=,1.11,%,NS(=O)(=O)c1ccc(cc1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,rock1
18,CHEMBL103098,Q13464,Inhibition,=,2.34,%,NS(=O)(=O)c1ccc(cc1)c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,rock1
19,CHEMBL103104,Q13464,Inhibition,=,1.47,%,NS(=O)(=O)c1ccc(Nc2cc(n[nH]2)c2cccc(O)c2)cc1,rock1
20,CHEMBL103104,Q13464,Inhibition,=,2.17,%,NS(=O)(=O)c1ccc(Nc2cc(n[nH]2)c2cccc(O)c2)cc1,rock1
21,CHEMBL103115,Q13464,Inhibition,=,-0.2,%,NS(=O)(=O)c1ccc(Nc2cc(n[nH]2)c2ccc(O)c(F)c2)cc1,rock1
22,CHEMBL103115,Q13464,Inhibition,=,1.73,%,NS(=O)(=O)c1ccc(Nc2cc(n[nH]2)c2ccc(O)c(F)c2)cc1,rock1
23,CHEMBL103667,Q13464,Ki,>,3981.07,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,rock1
24,CHEMBL103667,Q13464,Kd,>,10000.0,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,rock1
25,CHEMBL103667,Q13464,IC50,>,30000.0,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,rock1
26,CHEMBL104264,Q13464,Residual Activity,=,29.0,%,c1nccc2c(cccc12)S(=O)(=O)NCCNC/C=C/c1ccc(cc1)Br,rock1
