,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL1023,P28700,EC50,=,40.0,nM,O=C(O)c1ccc(cc1)C(=C)c1c(C)cc2c(c1)C(C)(C)CCC2(C)C,rxra
1,CHEMBL1023,Q05343,EC50,=,40.0,nM,O=C(O)c1ccc(cc1)C(=C)c1c(C)cc2c(c1)C(C)(C)CCC2(C)C,rxra
2,CHEMBL116886,P28700,Kd,=,32.0,nM,c12c(cc(c(c1)Sc1ncc(C(=O)O)cc1)C)C(CCC2(C)C)(C)C,rxra
3,CHEMBL118268,P28700,Kd,=,1000.0,nM,c1(sc(nc1)Sc1cc2c(cc1C)C(CCC2(C)C)(C)C)C(=O)O,rxra
4,CHEMBL118307,P28700,Kd,=,2518.0,nM,S(=O)(=O)(c1cc2c(cc1C)C(CCC2(C)C)(C)C)c1ccc(C(=O)O)cc1,rxra
5,CHEMBL118693,P28700,Kd,=,296.0,nM,c12c(cc(c(c1)Sc1ccc(C(=O)O)cc1)C)C(CCC2(C)C)(C)C,rxra
6,CHEMBL119781,P28700,Kd,=,3868.0,nM,c12c(C(CCC1(C)C)(C)C)ccc(c2)Sc1ccc(C(=O)O)cc1,rxra
7,CHEMBL121659,P28700,IC50,>,2000.0,nM,C(=C(\C=C\C=C(\C=C/1\C=CCCC1)/C)/C)/C(=O)O,rxra
8,CHEMBL121659,P28700,Inhibition,=,5.0,%,C(=C(\C=C\C=C(\C=C/1\C=CCCC1)/C)/C)/C(=O)O,rxra
9,CHEMBL122823,P28700,IC50,>,2000.0,nM,C\1(=C\C(=C\C=C\C(=C\C(=O)O)\C)\C)/C(=C(CCC1)C)C,rxra
10,CHEMBL129887,Q05343,Synergy,=,3.1,fold,c1(c2c(/C=C/C(=C/C(=O)O)/C)scc2)c(c(C(C)(C)C)cc(c1)CC)OCC(F)F,rxra
11,CHEMBL129887,Q05343,Ki,=,3.2,nM,c1(c2c(/C=C/C(=C/C(=O)O)/C)scc2)c(c(C(C)(C)C)cc(c1)CC)OCC(F)F,rxra
12,CHEMBL129887,Q05343,IC50,=,15.5,nM,c1(c2c(/C=C/C(=C/C(=O)O)/C)scc2)c(c(C(C)(C)C)cc(c1)CC)OCC(F)F,rxra
13,CHEMBL129887,Q05343,Efficacy,=,61.0,%,c1(c2c(/C=C/C(=C/C(=O)O)/C)scc2)c(c(C(C)(C)C)cc(c1)CC)OCC(F)F,rxra
14,CHEMBL129887,Q05343,Efficacy,=,8.0,%,c1(c2c(/C=C/C(=C/C(=O)O)/C)scc2)c(c(C(C)(C)C)cc(c1)CC)OCC(F)F,rxra
15,CHEMBL129976,Q05343,Synergy,=,1.5,fold,c1(c(c(cc(c1)C(C)(C)C)C(C)(C)C)OCCCF)c1c(/C=C/C(=C/C(=O)O)/C)cccc1,rxra
16,CHEMBL129976,Q05343,Ki,=,20.9,nM,c1(c(c(cc(c1)C(C)(C)C)C(C)(C)C)OCCCF)c1c(/C=C/C(=C/C(=O)O)/C)cccc1,rxra
17,CHEMBL129976,Q05343,IC50,=,46.3,nM,c1(c(c(cc(c1)C(C)(C)C)C(C)(C)C)OCCCF)c1c(/C=C/C(=C/C(=O)O)/C)cccc1,rxra
18,CHEMBL129976,Q05343,Efficacy,=,88.0,%,c1(c(c(cc(c1)C(C)(C)C)C(C)(C)C)OCCCF)c1c(/C=C/C(=C/C(=O)O)/C)cccc1,rxra
19,CHEMBL130230,Q05343,Synergy,=,1.6,fold,c1(c(c(cc(c1)C(C)C)C(C)C)OCC(F)F)c1c(/C=C/C(=C/C(=O)O)/C)cccc1,rxra
20,CHEMBL130230,Q05343,Ki,=,29.6,nM,c1(c(c(cc(c1)C(C)C)C(C)C)OCC(F)F)c1c(/C=C/C(=C/C(=O)O)/C)cccc1,rxra
21,CHEMBL130230,Q05343,IC50,=,79.9,nM,c1(c(c(cc(c1)C(C)C)C(C)C)OCC(F)F)c1c(/C=C/C(=C/C(=O)O)/C)cccc1,rxra
