,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL1090,P50247,Ki,=,30000.0,nM,OC[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)[C@@H](O)[C@@H]1O,sahh
1,CHEMBL109444,P23526,IC50,>,10.0,ug.mL-1,n1(c2c(nc1)c(ncn2)N)[C@@H]1C=C([C@H]([C@H]1O)O)CF,sahh
2,CHEMBL1094638,P23526,Inhibition,=,15.0,%,n1cnc2c(c1N)ncn2Cc1cc(c(c(c1)O)O)OCC1CCCCC1,sahh
3,CHEMBL1094638,P23526,Inhibition,=,17.0,%,n1cnc2c(c1N)ncn2Cc1cc(c(c(c1)O)O)OCC1CCCCC1,sahh
4,CHEMBL1094638,P23526,Inhibition,=,64.0,%,n1cnc2c(c1N)ncn2Cc1cc(c(c(c1)O)O)OCC1CCCCC1,sahh
5,CHEMBL1094638,P23526,Inhibition,=,74.0,%,n1cnc2c(c1N)ncn2Cc1cc(c(c(c1)O)O)OCC1CCCCC1,sahh
6,CHEMBL1094638,P23526,Inhibition,=,100.0,%,n1cnc2c(c1N)ncn2Cc1cc(c(c(c1)O)O)OCC1CCCCC1,sahh
7,CHEMBL1095280,P10760,IC50,=,30.0,nM,n1(cnc2c(N)ncnc12)C[C@@H](O)[C@@H](O)C(=O)O,sahh
8,CHEMBL1096284,P23526,Inhibition,=,6.0,%,n1cnc2c(c1N)ncn2Cc1cc(c(c(c1)O)O)OCC1CCCC1,sahh
9,CHEMBL1096284,P23526,Inhibition,=,31.0,%,n1cnc2c(c1N)ncn2Cc1cc(c(c(c1)O)O)OCC1CCCC1,sahh
10,CHEMBL1096284,P23526,Inhibition,=,62.0,%,n1cnc2c(c1N)ncn2Cc1cc(c(c(c1)O)O)OCC1CCCC1,sahh
11,CHEMBL1096284,P23526,Inhibition,=,89.0,%,n1cnc2c(c1N)ncn2Cc1cc(c(c(c1)O)O)OCC1CCCC1,sahh
12,CHEMBL1097557,P23526,Inhibition,=,7.0,%,n1cnc2c(c1N)ncn2Cc1cc(c(c(c1)O)O)OCC1CCC1,sahh
13,CHEMBL1097557,P23526,Inhibition,=,29.0,%,n1cnc2c(c1N)ncn2Cc1cc(c(c(c1)O)O)OCC1CCC1,sahh
14,CHEMBL1097557,P23526,Inhibition,=,72.0,%,n1cnc2c(c1N)ncn2Cc1cc(c(c(c1)O)O)OCC1CCC1,sahh
15,CHEMBL1097557,P23526,Inhibition,=,92.0,%,n1cnc2c(c1N)ncn2Cc1cc(c(c(c1)O)O)OCC1CCC1,sahh
16,CHEMBL1097560,P23526,Inhibition,=,10.0,%,n1cnc2c(c1N)ncn2Cc1cc(cc(c1O)O)O,sahh
17,CHEMBL1097560,P23526,Inhibition,=,31.0,%,n1cnc2c(c1N)ncn2Cc1cc(cc(c1O)O)O,sahh
18,CHEMBL1097560,P23526,Inhibition,=,67.0,%,n1cnc2c(c1N)ncn2Cc1cc(cc(c1O)O)O,sahh
19,CHEMBL1097560,P23526,Inhibition,=,85.0,%,n1cnc2c(c1N)ncn2Cc1cc(cc(c1O)O)O,sahh
20,CHEMBL1097560,P23526,Inhibition,=,89.0,%,n1cnc2c(c1N)ncn2Cc1cc(cc(c1O)O)O,sahh
21,CHEMBL1097635,P23526,Inhibition,=,27.0,%,n1cnc2c(c1N)ncn2Cc1cc(c(c(c1)O)O)OCc1ccccc1,sahh
22,CHEMBL1097635,P23526,Inhibition,=,26.0,%,n1cnc2c(c1N)ncn2Cc1cc(c(c(c1)O)O)OCc1ccccc1,sahh
23,CHEMBL1097635,P23526,Inhibition,=,53.0,%,n1cnc2c(c1N)ncn2Cc1cc(c(c(c1)O)O)OCc1ccccc1,sahh
24,CHEMBL1097635,P23526,Inhibition,=,70.0,%,n1cnc2c(c1N)ncn2Cc1cc(c(c(c1)O)O)OCc1ccccc1,sahh
25,CHEMBL1097635,P23526,Inhibition,=,93.0,%,n1cnc2c(c1N)ncn2Cc1cc(c(c(c1)O)O)OCc1ccccc1,sahh
26,CHEMBL1097636,P23526,Inhibition,=,12.0,%,n1cnc2c(c1N)ncn2Cc1cc(c(c(c1)O)O)OCCCCC,sahh
27,CHEMBL1097636,P23526,Inhibition,=,26.0,%,n1cnc2c(c1N)ncn2Cc1cc(c(c(c1)O)O)OCCCCC,sahh
28,CHEMBL1097636,P23526,Inhibition,=,47.0,%,n1cnc2c(c1N)ncn2Cc1cc(c(c(c1)O)O)OCCCCC,sahh
29,CHEMBL1097636,P23526,Inhibition,=,72.0,%,n1cnc2c(c1N)ncn2Cc1cc(c(c(c1)O)O)OCCCCC,sahh
30,CHEMBL1097885,P23526,IC50,>,250000.0,nM,C1(=O)C(=C(C(=O)C(=C1)OC)C[C@@]1([C@H](CC[C@@]2(C(=C)[C@@H](CC[C@@H]12)OC(=O)CCCCCNC(=O)OC(C)(C)C)C)C)C)Cl,sahh
31,CHEMBL1097886,P23526,IC50,<,20000.0,nM,C1(=O)C(=C(C(=O)C(=C1)OC)C[C@@]1([C@H](CC[C@@]2([C@H](CCC[C@@H]12)COC(=O)CCCCCNC(=O)OC(C)(C)C)C)C)C)O,sahh
32,CHEMBL1098303,P23526,Inhibition,=,20.0,%,n1cnc2c(c1N)ncn2Cc1cc(cc(c1O)O)OCC1CCCC1,sahh
33,CHEMBL1098303,P23526,Inhibition,=,32.0,%,n1cnc2c(c1N)ncn2Cc1cc(cc(c1O)O)OCC1CCCC1,sahh
34,CHEMBL1098303,P23526,Inhibition,=,74.0,%,n1cnc2c(c1N)ncn2Cc1cc(cc(c1O)O)OCC1CCCC1,sahh
35,CHEMBL1098303,P23526,Inhibition,=,97.0,%,n1cnc2c(c1N)ncn2Cc1cc(cc(c1O)O)OCC1CCCC1,sahh
36,CHEMBL1098303,P23526,Inhibition,=,104.0,%,n1cnc2c(c1N)ncn2Cc1cc(cc(c1O)O)OCC1CCCC1,sahh
37,CHEMBL1098623,P23526,Inhibition,=,13.0,%,n1cnc2c(c1N)ncn2Cc1cc(cc(c1O)O)OCCCCC,sahh
