,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL10,P00523,Activity,=,73.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,src
1,CHEMBL10,P12931,Residual Activity,=,65.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,src
2,CHEMBL10,P12931,Residual Activity,=,112.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,src
3,CHEMBL10,P12931,Kd,=,5300.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,src
4,CHEMBL10,P12931,Ki,>,1995.26,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,src
5,CHEMBL10,P12931,IC50,=,5000.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,src
6,CHEMBL10,P12931,Kd,=,5300.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,src
7,CHEMBL10,P12931,Inhibition,=,54.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,src
8,CHEMBL100076,P12931,IC50,=,4000.0,nM,c1(Nc2cc(c(cc2Cl)Cl)OC)c2c(ncc1C#N)cc(c1c(CN3CCOCC3)cccc1)cc2,src
9,CHEMBL100172,P12931,IC50,=,140.0,nM,c12c(Nc3c(C2)cc(c(c3)OC)OCCOC)ncnc1Nc1cc(c(cc1Cl)Cl)OC,src
10,CHEMBL100172,P12931,IC50,=,9.8,nM,c12c(Nc3c(C2)cc(c(c3)OC)OCCOC)ncnc1Nc1cc(c(cc1Cl)Cl)OC,src
11,CHEMBL100174,P12931,Selectivity,>,130.0,Unspecified,c1(sc(nc1)/N=N/c1c(cc(N(CCCC)C)cc1)C)[N+](=O)[O-],src
12,CHEMBL100551,P12931,IC50,=,28.0,nM,c12c(Nc3c(C2)cc(c(c3)OCCOC)OC)ncnc1Nc1cc(c(cc1Cl)Cl)OC,src
13,CHEMBL100551,P12931,IC50,=,2.3,nM,c12c(Nc3c(C2)cc(c(c3)OCCOC)OC)ncnc1Nc1cc(c(cc1Cl)Cl)OC,src
14,CHEMBL100651,P12931,IC50,=,4.3,nM,c1(c2c(ncc1C#N)cc(c(c2)OC)OC)Nc1cc(c(cc1Cl)Cl)OC,src
15,CHEMBL100651,P12931,IC50,=,30.0,nM,c1(c2c(ncc1C#N)cc(c(c2)OC)OC)Nc1cc(c(cc1Cl)Cl)OC,src
16,CHEMBL100825,P12931,IC50,=,3.0,nM,c1(Nc2cc(c(cc2Cl)Cl)OC)c2c(ncc1C#N)cc(c1ccc(CN3CCN(CC3)CC)cc1)cc2,src
17,CHEMBL101081,P12931,IC50,=,11.0,nM,c1(c2c(cc(c(c2)OC)c2ccc(cc2)CCN2CCOCC2)ncc1C#N)Nc1cc(c(cc1Cl)Cl)OC,src
18,CHEMBL101253,P12931,Inhibition,=,16.0,%,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,src
19,CHEMBL101253,P12931,Kd,>,10000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,src
20,CHEMBL101253,P12931,Ki,>,5011.87,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,src
21,CHEMBL101253,P12931,Kd,>,10000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,src
22,CHEMBL101253,P12931,IC50,>,10000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,src
23,CHEMBL101457,P12931,IC50,=,4000.0,nM,C1(=C(c2c(C1=O)cccc2)c1ccc(cc1)OC)C(=O)N,src
24,CHEMBL101464,P12931,Selectivity,=,840.0,Unspecified,c1(sc(cn1)c1ccccc1)Nc1nc(Br)ccc1,src
25,CHEMBL101544,P12931,Selectivity,=,678.0,Unspecified,c1(ncc(s1)C#N)Nc1ncccc1,src
26,CHEMBL101683,P12931,Residual Activity,=,88.0,%,Clc1ccc(cc1)NC(=O)c1c(cccc1)NCc1ccncc1,src
27,CHEMBL101683,P12931,Residual Activity,=,78.0,%,Clc1ccc(cc1)NC(=O)c1c(cccc1)NCc1ccncc1,src
28,CHEMBL101683,P12931,IC50,=,7000.0,nM,Clc1ccc(cc1)NC(=O)c1c(cccc1)NCc1ccncc1,src
29,CHEMBL101795,P12931,IC50,=,40000.0,nM,c12c(c(cn1c1ccc(C(=O)Nc3ccc(C(P(=O)(O)O)P(=O)(O)O)cc3)cc1)c1cc(OC)ccc1)c(ncn2)N,src
30,CHEMBL101804,P12931,Inhibition,=,-4.02,%,O=C(Nc1n[nH]c2nc(ccc12)c1ccco1)C1CC1,src
31,CHEMBL101804,P12931,Inhibition,=,4.81,%,O=C(Nc1n[nH]c2nc(ccc12)c1ccco1)C1CC1,src
32,CHEMBL101917,P12931,ID50,=,0.03,uM,c1(c2c(ncc1C#N)cc(c(c2)OC)OC)Nc1c(cc(cc1)Cl)Cl,src
33,CHEMBL101917,P12931,IC50,=,30.0,nM,c1(c2c(ncc1C#N)cc(c(c2)OC)OC)Nc1c(cc(cc1)Cl)Cl,src
34,CHEMBL101917,P12931,IC50,=,30.0,nM,c1(c2c(ncc1C#N)cc(c(c2)OC)OC)Nc1c(cc(cc1)Cl)Cl,src
35,CHEMBL101917,P12931,IC50,=,270.0,nM,c1(c2c(ncc1C#N)cc(c(c2)OC)OC)Nc1c(cc(cc1)Cl)Cl,src
36,CHEMBL101917,P12931,IC50,=,130.0,nM,c1(c2c(ncc1C#N)cc(c(c2)OC)OC)Nc1c(cc(cc1)Cl)Cl,src
37,CHEMBL101917,P12931,IC50,=,38.0,nM,c1(c2c(ncc1C#N)cc(c(c2)OC)OC)Nc1c(cc(cc1)Cl)Cl,src
38,CHEMBL101917,P12931,IC50,=,23.0,nM,c1(c2c(ncc1C#N)cc(c(c2)OC)OC)Nc1c(cc(cc1)Cl)Cl,src
39,CHEMBL101917,P12931,IC50,=,4.3,nM,c1(c2c(ncc1C#N)cc(c(c2)OC)OC)Nc1c(cc(cc1)Cl)Cl,src
40,CHEMBL101917,P12931,IC50,=,5200.0,nM,c1(c2c(ncc1C#N)cc(c(c2)OC)OC)Nc1c(cc(cc1)Cl)Cl,src
41,CHEMBL102000,P12931,IC50,=,190.0,nM,c12c(Nc3c(C2)cc(c(c3)OC)OC)ncnc1Nc1cc(c(cc1Cl)Cl)OC,src
42,CHEMBL102000,P12931,IC50,=,3.3,nM,c12c(Nc3c(C2)cc(c(c3)OC)OC)ncnc1Nc1cc(c(cc1Cl)Cl)OC,src
43,CHEMBL102165,P12931,IC50,=,14.0,nM,c1(Nc2cc(c(cc2Cl)Cl)OC)c2c(ncc1C#N)cc(c1ccc(cc1)CCN1CCOCC1)cc2,src
44,CHEMBL102183,P12931,IC50,=,700.0,nM,c12c(c(cn1c1ccc(cc1)CCOP(=O)(CP(=O)(O)O)O)c1cc(OC)ccc1)c(ncn2)N,src
45,CHEMBL102217,P12931,IC50,=,750.0,nM,n1(c2nc(ncc2cc(c1=O)c1c(Cl)cccc1Cl)Nc1ccc(CP(=O)(CP(=O)(O)O)O)cc1)C,src
46,CHEMBL102301,P12931,IC50,>,30000.0,nM,c12c(N3CCN(/C(=N\Cc4cc5c(OCO5)cc4)/S)CC3)ncnc1cc(c(c2)OC)OC,src
47,CHEMBL102346,P12931,Residual Activity,=,97.0,%,c12c(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)ncnc1cc(c(c2)OC)OC,src
48,CHEMBL102346,P12931,Residual Activity,=,95.0,%,c12c(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)ncnc1cc(c(c2)OC)OC,src
49,CHEMBL102346,P12931,IC50,>,30000.0,nM,c12c(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)ncnc1cc(c(c2)OC)OC,src
50,CHEMBL102550,P12931,IC50,=,5230.0,nM,c12c(c(nc(n2)NCCCP(=O)(CP(=O)(O)O)O)Nc2ccccc2)ncn1C1CCCC1,src
51,CHEMBL102595,P12931,IC50,=,14.0,nM,c1(Nc2cc(c(cc2Cl)Cl)OC)c2c(ncc1C#N)cc(c1cc(CN3CCN(CC3)C)ccc1)cc2,src
