,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL10,P36897,Residual Activity,=,77.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,tgfr1
1,CHEMBL10,P36897,Residual Activity,=,130.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,tgfr1
2,CHEMBL10,P36897,Kd,=,7100.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,tgfr1
3,CHEMBL10,P36897,Kd,=,7100.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,tgfr1
4,CHEMBL10,P36897,IC50,=,30000.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,tgfr1
5,CHEMBL10,P36897,IC50,=,6000.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,tgfr1
6,CHEMBL101253,P36897,Kd,>,10000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,tgfr1
7,CHEMBL101253,P36897,Kd,>,10000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,tgfr1
8,CHEMBL101683,P36897,Residual Activity,=,106.0,%,Clc1ccc(cc1)NC(=O)c1c(cccc1)NCc1ccncc1,tgfr1
9,CHEMBL101683,P36897,Residual Activity,=,92.0,%,Clc1ccc(cc1)NC(=O)c1c(cccc1)NCc1ccncc1,tgfr1
10,CHEMBL102346,P36897,Residual Activity,=,76.0,%,c12c(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)ncnc1cc(c(c2)OC)OC,tgfr1
11,CHEMBL102346,P36897,Residual Activity,=,80.0,%,c12c(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)ncnc1cc(c(c2)OC)OC,tgfr1
12,CHEMBL103667,P36897,Kd,>,10000.0,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,tgfr1
13,CHEMBL103667,P36897,Kd,>,10000.0,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,tgfr1
14,CHEMBL104264,P36897,Residual Activity,=,94.0,%,c1nccc2c(cccc12)S(=O)(=O)NCCNC/C=C/c1ccc(cc1)Br,tgfr1
15,CHEMBL104264,P36897,Residual Activity,=,104.0,%,c1nccc2c(cccc12)S(=O)(=O)NCCNC/C=C/c1ccc(cc1)Br,tgfr1
16,CHEMBL104279,P36897,Residual Activity,=,96.0,%,c1c(cc2c(c1)NC(=O)/C/2=C\c1cn(C)c2c1cccc2)S(=O)(=O)N,tgfr1
17,CHEMBL104279,P36897,Residual Activity,=,100.0,%,c1c(cc2c(c1)NC(=O)/C/2=C\c1cn(C)c2c1cccc2)S(=O)(=O)N,tgfr1
18,CHEMBL104468,P36897,Residual Activity,=,88.0,%,c1(oc2c(c(=O)c1)ccc1c2cccc1)N1CCOCC1,tgfr1
19,CHEMBL104468,P36897,Residual Activity,=,89.0,%,c1(oc2c(c(=O)c1)ccc1c2cccc1)N1CCOCC1,tgfr1
20,CHEMBL105442,P36897,Kd,>,10000.0,nM,Fc1c(Nc2ccc(cc2Cl)I)c(ccc1F)C(=O)NOCC1CC1,tgfr1
21,CHEMBL1076555,P36897,Residual Activity,=,100.0,%,c1(ccc(cc1)Nc1scc(n1)c1ccc(cc1)Cl)O,tgfr1
22,CHEMBL1076555,P36897,Residual Activity,=,123.0,%,c1(ccc(cc1)Nc1scc(n1)c1ccc(cc1)Cl)O,tgfr1
23,CHEMBL111364,P36897,Residual Activity,=,114.0,%,c1(nc(c([nH]1)c1ccnc(c1)NC(c1ccccc1)C)c1ccc(cc1)F)SC,tgfr1
24,CHEMBL111364,P36897,Residual Activity,=,114.0,%,c1(nc(c([nH]1)c1ccnc(c1)NC(c1ccccc1)C)c1ccc(cc1)F)SC,tgfr1
25,CHEMBL1163510,P36897,Inhibition,<,50.0,%,c1(cnc2c(c1)N(Cc1cc(ccc1C(F)(F)F)Cl)CCN2)c1ccc(cc1)C(=O)O,tgfr1
26,CHEMBL1163518,P36897,Inhibition,<,50.0,%,c1(cnc2c(c1)N(Cc1cc(ccc1C(F)(F)F)Cl)CCN2)c1ccc(cc1)C(=O)N1CCCCC1,tgfr1
27,CHEMBL1163559,P36897,Inhibition,<,50.0,%,c1(cnc2c(c1)N(Cc1cc(ccc1C(F)(F)F)Cl)CCN2)c1ccc(cc1)C(=O)N1CCC(CC1)N1CCCC1,tgfr1
28,CHEMBL1163565,P36897,Inhibition,<,50.0,%,c1(cnc2c(c1)N(Cc1cc(ccc1C(F)(F)F)Cl)CCN2)c1ccnc(c1)N1CCN(CC1)C(=O)C,tgfr1
29,CHEMBL1163566,P36897,Inhibition,<,50.0,%,c1(cnc2c(c1)N(Cc1cc(ccc1C(F)(F)F)Cl)CCN2)c1ccnc(c1)N1CCNCC1,tgfr1
30,CHEMBL1163567,P36897,Inhibition,<,50.0,%,c1(cnc2c(c1)N(Cc1cc(ccc1C(F)(F)F)Cl)CCN2)c1ccc(cc1)C(=O)N1CCC(CC1)OC,tgfr1
31,CHEMBL1163955,P36897,Inhibition,=,15.0,%,c1cc(cc(c1)C#N)Cn1nc(c(c1)c1ccc2c(c1)cccn2)c1nc(ccc1)C,tgfr1
32,CHEMBL1163955,P36897,IC50,=,231.0,nM,c1cc(cc(c1)C#N)Cn1nc(c(c1)c1ccc2c(c1)cccn2)c1nc(ccc1)C,tgfr1
33,CHEMBL1163955,P36897,Inhibition,=,35.0,%,c1cc(cc(c1)C#N)Cn1nc(c(c1)c1ccc2c(c1)cccn2)c1nc(ccc1)C,tgfr1
34,CHEMBL1163955,P36897,Inhibition,=,38.0,%,c1cc(cc(c1)C#N)Cn1nc(c(c1)c1ccc2c(c1)cccn2)c1nc(ccc1)C,tgfr1
35,CHEMBL1163956,P36897,Inhibition,=,114.0,%,C(#N)c1cc(ccc1)Cn1ncc(c1c1cccc(n1)C)c1cc2cccnc2cc1,tgfr1
36,CHEMBL1163956,P36897,IC50,>,10000.0,nM,C(#N)c1cc(ccc1)Cn1ncc(c1c1cccc(n1)C)c1cc2cccnc2cc1,tgfr1
37,CHEMBL1163956,P36897,Inhibition,=,86.0,%,C(#N)c1cc(ccc1)Cn1ncc(c1c1cccc(n1)C)c1cc2cccnc2cc1,tgfr1
38,CHEMBL1163956,P36897,Inhibition,=,95.0,%,C(#N)c1cc(ccc1)Cn1ncc(c1c1cccc(n1)C)c1cc2cccnc2cc1,tgfr1
39,CHEMBL1164022,P36897,Inhibition,=,9.0,%,c1cc(cc(c1)C(=O)N)Cn1nc(c(c1)c1ccc2c(c1)cccn2)c1nc(ccc1)C,tgfr1
40,CHEMBL1164022,P36897,IC50,=,131.0,nM,c1cc(cc(c1)C(=O)N)Cn1nc(c(c1)c1ccc2c(c1)cccn2)c1nc(ccc1)C,tgfr1
41,CHEMBL1164022,P36897,Inhibition,=,22.0,%,c1cc(cc(c1)C(=O)N)Cn1nc(c(c1)c1ccc2c(c1)cccn2)c1nc(ccc1)C,tgfr1
42,CHEMBL1164022,P36897,Inhibition,=,18.0,%,c1cc(cc(c1)C(=O)N)Cn1nc(c(c1)c1ccc2c(c1)cccn2)c1nc(ccc1)C,tgfr1
43,CHEMBL1164023,P36897,Inhibition,=,95.0,%,C(=O)(c1cc(ccc1)Cn1ncc(c1c1cccc(n1)C)c1nc2cccnc2cc1)N,tgfr1
44,CHEMBL1164023,P36897,IC50,>,10000.0,nM,C(=O)(c1cc(ccc1)Cn1ncc(c1c1cccc(n1)C)c1nc2cccnc2cc1)N,tgfr1
45,CHEMBL1164023,P36897,Inhibition,=,85.0,%,C(=O)(c1cc(ccc1)Cn1ncc(c1c1cccc(n1)C)c1nc2cccnc2cc1)N,tgfr1
46,CHEMBL1164023,P36897,Inhibition,=,105.0,%,C(=O)(c1cc(ccc1)Cn1ncc(c1c1cccc(n1)C)c1nc2cccnc2cc1)N,tgfr1
47,CHEMBL1164092,P36897,Inhibition,=,104.0,%,C(#N)c1cc(ccc1)Cc1[nH]c(c(n1)c1ccc2c(n1)cccn2)c1nc(ccc1)C,tgfr1
48,CHEMBL1164092,P36897,IC50,=,2250.0,nM,C(#N)c1cc(ccc1)Cc1[nH]c(c(n1)c1ccc2c(n1)cccn2)c1nc(ccc1)C,tgfr1
49,CHEMBL1164092,P36897,Inhibition,=,87.0,%,C(#N)c1cc(ccc1)Cc1[nH]c(c(n1)c1ccc2c(n1)cccn2)c1nc(ccc1)C,tgfr1
50,CHEMBL1164092,P36897,Inhibition,=,74.0,%,C(#N)c1cc(ccc1)Cc1[nH]c(c(n1)c1ccc2c(n1)cccn2)c1nc(ccc1)C,tgfr1
51,CHEMBL1164180,P36897,Inhibition,<,50.0,%,c1(c(cc(cc1)Cl)CN1c2cc(c3cnc(cc3)N3CCN(CC3)C)cnc2NCC1)C(F)(F)F,tgfr1
52,CHEMBL1164181,P36897,Inhibition,<,50.0,%,c1(c(cc(cc1)Cl)CN1c2cc(c3cnc(cc3)N3CCN(CC3)C)cnc2NCC1)Cl,tgfr1
53,CHEMBL1164265,P36897,Inhibition,<,50.0,%,c1(c(c(ccc1F)F)CN1c2cc(c3cnc(cc3)N3CCN(CC3)C)cnc2NCC1)Cl,tgfr1
54,CHEMBL1164843,P36897,Inhibition,=,20.0,%,c1cc(cc(c1)C(=O)N)Cn1nc(c(c1)c1ccc2c(n1)cccn2)c1nc(ccc1)C,tgfr1
55,CHEMBL1164843,P36897,IC50,=,255.0,nM,c1cc(cc(c1)C(=O)N)Cn1nc(c(c1)c1ccc2c(n1)cccn2)c1nc(ccc1)C,tgfr1
56,CHEMBL1164843,P36897,Inhibition,=,43.0,%,c1cc(cc(c1)C(=O)N)Cn1nc(c(c1)c1ccc2c(n1)cccn2)c1nc(ccc1)C,tgfr1
57,CHEMBL1164843,P36897,Inhibition,=,30.0,%,c1cc(cc(c1)C(=O)N)Cn1nc(c(c1)c1ccc2c(n1)cccn2)c1nc(ccc1)C,tgfr1
58,CHEMBL1164957,P36897,Inhibition,=,7.0,%,C(=O)(c1cc(ccc1)Cc1[nH]c(c(n1)c1ccc2c(c1)cccn2)c1nc(ccc1)C)N,tgfr1
59,CHEMBL1164957,P36897,IC50,=,34.0,nM,C(=O)(c1cc(ccc1)Cc1[nH]c(c(n1)c1ccc2c(c1)cccn2)c1nc(ccc1)C)N,tgfr1
60,CHEMBL1164957,P36897,Inhibition,=,66.0,%,C(=O)(c1cc(ccc1)Cc1[nH]c(c(n1)c1ccc2c(c1)cccn2)c1nc(ccc1)C)N,tgfr1
61,CHEMBL1164957,P36897,Inhibition,=,22.0,%,C(=O)(c1cc(ccc1)Cc1[nH]c(c(n1)c1ccc2c(c1)cccn2)c1nc(ccc1)C)N,tgfr1
62,CHEMBL1164957,P36897,Inhibition,=,22.0,%,C(=O)(c1cc(ccc1)Cc1[nH]c(c(n1)c1ccc2c(c1)cccn2)c1nc(ccc1)C)N,tgfr1
63,CHEMBL1164971,P36897,Inhibition,=,49.0,%,C(#N)c1cc(ccc1)Cn1nc(c(c1)c1cccc(n1)C)c1cc2cccnc2cc1,tgfr1
64,CHEMBL1164971,P36897,IC50,=,34.0,nM,C(#N)c1cc(ccc1)Cn1nc(c(c1)c1cccc(n1)C)c1cc2cccnc2cc1,tgfr1
65,CHEMBL1164971,P36897,Inhibition,=,63.0,%,C(#N)c1cc(ccc1)Cn1nc(c(c1)c1cccc(n1)C)c1cc2cccnc2cc1,tgfr1
66,CHEMBL1164971,P36897,Inhibition,=,74.0,%,C(#N)c1cc(ccc1)Cn1nc(c(c1)c1cccc(n1)C)c1cc2cccnc2cc1,tgfr1
67,CHEMBL1165041,P36897,Inhibition,=,74.0,%,C(=O)(c1cc(ccc1)Cc1[nH]c(c(n1)c1ccc2c(n1)cccn2)c1nc(ccc1)C)N,tgfr1
68,CHEMBL1165041,P36897,IC50,=,2600.0,nM,C(=O)(c1cc(ccc1)Cc1[nH]c(c(n1)c1ccc2c(n1)cccn2)c1nc(ccc1)C)N,tgfr1
69,CHEMBL1165041,P36897,Inhibition,=,74.0,%,C(=O)(c1cc(ccc1)Cc1[nH]c(c(n1)c1ccc2c(n1)cccn2)c1nc(ccc1)C)N,tgfr1
