,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL100013,P00734,IC50,>,10000.0,nM,N1(C(=O)c2cc3c(nccc3cc2)N)[C@H](C(=O)Nc2ccc(c3c(S(=O)(=O)N)cccc3)cc2)Cc2c(C1)cccc2,thrb
1,CHEMBL100049,P00734,Ki,=,2.5,ug nM-1,n1(c(=O)c(ncc1C)NCC(c1ccccc1)(F)F)CC(=O)NCc1cc2c(c(no2)N)cc1,thrb
2,CHEMBL100067,P00734,IC50,>,10000.0,nM,N1(C(=O)c2cc(C(=N)N)ccc2)[C@@H](C(=O)Nc2ccc(c3c(S(=O)(=O)N)cccc3)cc2)Cc2c(C1)ccc(c2)O,thrb
3,CHEMBL100109,P00734,Ki,=,0.24,nM,N1(C(=O)[C@H](NC(=O)C)Cc2ccccc2)[C@H](C(=O)N[C@H](B(O)O)CCCCN)CCC1,thrb
4,CHEMBL100109,P00735,Ki,=,200.0,nM,N1(C(=O)[C@H](NC(=O)C)Cc2ccccc2)[C@H](C(=O)N[C@H](B(O)O)CCCCN)CCC1,thrb
5,CHEMBL100181,P00734,Ki,=,300.87,nM,c1(c(=O)n(c(cc1)C)CC(=O)NCc1cc2c([nH]nc2)cc1)NS(=O)(=O)Cc1ccccc1,thrb
6,CHEMBL100181,P00734,Ki,=,8.7,ug nM-1,c1(c(=O)n(c(cc1)C)CC(=O)NCc1cc2c([nH]nc2)cc1)NS(=O)(=O)Cc1ccccc1,thrb
7,CHEMBL100187,P00734,Ki,=,16.0,nM,C(=O)(N(CC(=O)N[C@H](B(O)O)CCCCN)C)Cc1ccccc1,thrb
8,CHEMBL100187,P00735,Ki,=,500.0,nM,C(=O)(N(CC(=O)N[C@H](B(O)O)CCCCN)C)Cc1ccccc1,thrb
9,CHEMBL100235,P00734,Ki,=,444.0,ug nM-1,n1(c(=O)c(ncc1C)NCCc1ccccc1)CC(=O)NCc1cc2c(n[nH]c2cc1)C,thrb
10,CHEMBL100296,P00735,Ki,=,164000.0,nM,n1(c2c(cc1)cc([N+](=O)[O-])cc2)Cc1ccc(C(=N)N)cc1,thrb
11,CHEMBL100316,P00734,Inhibition,=,1.0,%,S(=O)(=O)(c1cc2c(cc1)cccc2)CC[C@H](C(=O)N[C@H](C=O)CC(C)C)CC(C)C,thrb
12,CHEMBL100320,P00734,IC50,=,3100.0,nM,c1c(ccc(c1)CNC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)c1nccs1)CCCNC(=N)N)C(C)C)CC(C)C)F,thrb
13,CHEMBL100333,P00734,IC50,>,10000.0,nM,S(=O)(=O)(c1c(c2ccc(NC(=O)[C@H](NC(=O)c3cc4c([nH]nc4cc3)N)c3ccccc3)cc2)cccc1)N,thrb
14,CHEMBL100443,P00734,Ki,=,25.9,ug nM-1,n1(c(=O)c(ncc1C)NCC1(CC1)c1ncccc1)CC(=O)NCc1cc2c(c(no2)N)cc1,thrb
15,CHEMBL100565,P00734,Ki,=,31.0,ug nM-1,n1(c(=O)c(ncc1C)NCC(c1ccccc1)c1ccccc1)CC(=O)NCc1cc2c(c(no2)N)cc1,thrb
16,CHEMBL100569,P00735,Ki,=,13100.0,nM,n1(ccc2c1cccc2)Cc1ccc(C(=N)N)cc1,thrb
17,CHEMBL100619,P00734,IC50,>,10000.0,nM,S(=O)(=O)(c1c(c2ccc(NC(=O)[C@H](NC(=O)c3cc(C(=N)N)ccc3)Cc3ccccc3)cc2)cccc1)N,thrb
18,CHEMBL100666,P00734,IC50,>,10000.0,nM,S(=O)(=O)(c1c(c2ccc(NC(=O)[C@@H](NC(=O)c3cc(C(=N)N)ccc3)c3ccccc3)cc2)cccc1)N,thrb
19,CHEMBL100672,P00734,IC50,>,50.0,nM,C1(=O)O[C@@H]2[C@@H]([C@H]1CC=C)CCC2,thrb
20,CHEMBL100712,P00734,Ki,=,15.0,nM,N12C(=O)[C@@H](NC(=O)CCCCCCCCCCNC(=O)C(=O)[C@H](NC(=O)[C@H]1CCC2)CCCNC(=N)N)Cc1ccccc1,thrb
21,CHEMBL100722,P00734,IC50,>,10000.0,nM,S(=O)(=O)(c1c(c2ccc(NC(=O)[C@@H](NC(=O)c3cc(C(=N)N)ccc3)Cc3ccccc3)cc2)cccc1)N,thrb
22,CHEMBL100732,P00734,IC50,=,560000.0,nM,S(=O)(=O)(N1CCN(C(=O)c2nc3c(s2)CN(CC3)C)CC1)c1cc2c(cc(cc2)Cl)cc1,thrb
23,CHEMBL100732,P00734,IC50,=,560.0,nM,S(=O)(=O)(N1CCN(C(=O)c2nc3c(s2)CN(CC3)C)CC1)c1cc2c(cc(cc2)Cl)cc1,thrb
24,CHEMBL100751,P00734,IC50,=,1000000.0,nM,S(=O)(=O)(N1CC(N(C(=O)c2nc3c(s2)CN(CC3)C)CC1)C(=O)N)c1cc2c(cc(cc2)Cl)cc1,thrb
25,CHEMBL100751,P00734,IC50,=,1000.0,nM,S(=O)(=O)(N1CC(N(C(=O)c2nc3c(s2)CN(CC3)C)CC1)C(=O)N)c1cc2c(cc(cc2)Cl)cc1,thrb
26,CHEMBL100837,P00734,Ki,>,3968.0,ug nM-1,n1(c(=O)c(ncc1C)NCCc1ccccc1)CC(=O)NCc1cc2nc([nH]c2cc1)C,thrb
27,CHEMBL100838,P00734,Ki,=,9.3,ug nM-1,n1(c(=O)c(ncc1C)NC[C@H](c1ccccc1)C)CC(=O)NCc1cc2nc[nH]c2cc1,thrb
28,CHEMBL100843,P00734,Ki,=,23.7,ug nM-1,n1(c(=O)c(ncc1CC)NCCc1ccccc1)CC(=O)NCc1cc2c([nH]cc2)cc1,thrb
29,CHEMBL100854,P00734,Ki,=,0.16,nM,c1(c(=O)n(c(cc1)C)CC(=O)NCc1c(n2ncnc2)ccc(c1)Cl)NS(=O)(=O)Cc1ccccc1,thrb
30,CHEMBL100989,P00734,IC50,=,10.0,nM,C1(=O)[C@H]([C@@H]2[C@@H](O1)CCC2)Sc1ccccc1,thrb
31,CHEMBL101027,P00735,Ki,=,11100.0,nM,n1(c2c(cc1)cc(C(=N)N)cc2)CCCCn1c2c(cc1)cc(C(=N)N)cc2,thrb
32,CHEMBL101030,P00734,IC50,=,73.0,nM,C1(=O)O[C@@H]2[C@@H]([C@@H]1Cc1ccccc1)CCC2,thrb
33,CHEMBL101040,P00734,IC50,=,880.0,nM,S(=O)(=O)(N1CC(N(C(=O)c2nc3c(s2)CN(CC3)C)CC1)C(=O)NCC(=O)N)c1cc2c(cc(cc2)Cl)cc1,thrb
34,CHEMBL101041,P00734,IC50,=,21.0,nM,C1(=O)O[C@@H]2[C@@H]([C@@H]1CC(=O)C=C(C)C)CCC2,thrb
35,CHEMBL101049,P00734,Ki,=,24.0,nM,N12C(=O)[C@@H](NC(=O)CCCCCCCNC(=O)C(=O)[C@H](NC(=O)[C@H]1CCC2)CCCNC(=N)N)Cc1ccccc1,thrb
36,CHEMBL101067,P00735,Ki,=,24800.0,nM,n1(c2c(cc1)cc(C(=N)N)cc2)Cc1ccc(C(=N)N)cc1,thrb
