,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL100067,P07477,IC50,>,10000.0,nM,N1(C(=O)c2cc(C(=N)N)ccc2)[C@@H](C(=O)Nc2ccc(c3c(S(=O)(=O)N)cccc3)cc2)Cc2c(C1)ccc(c2)O,try1
1,CHEMBL100296,P00760,Ki,=,3440.0,nM,n1(c2c(cc1)cc([N+](=O)[O-])cc2)Cc1ccc(C(=N)N)cc1,try1
2,CHEMBL100569,P00760,Ki,=,4590.0,nM,n1(ccc2c1cccc2)Cc1ccc(C(=N)N)cc1,try1
3,CHEMBL100619,P07477,IC50,>,10000.0,nM,S(=O)(=O)(c1c(c2ccc(NC(=O)[C@H](NC(=O)c3cc(C(=N)N)ccc3)Cc3ccccc3)cc2)cccc1)N,try1
4,CHEMBL10065,P00760,IC50,>,100000.0,nM,c1(oc(=O)c2c(n1)cc([N+](=O)[O-])cc2)Nc1c(I)cccc1,try1
5,CHEMBL100666,P07477,IC50,=,5170.0,nM,S(=O)(=O)(c1c(c2ccc(NC(=O)[C@@H](NC(=O)c3cc(C(=N)N)ccc3)c3ccccc3)cc2)cccc1)N,try1
6,CHEMBL100672,P07477,IC50,=,41.0,nM,C1(=O)O[C@@H]2[C@@H]([C@H]1CC=C)CCC2,try1
7,CHEMBL100712,P00760,Ki,=,25.0,nM,N12C(=O)[C@@H](NC(=O)CCCCCCCCCCNC(=O)C(=O)[C@H](NC(=O)[C@H]1CCC2)CCCNC(=N)N)Cc1ccccc1,try1
8,CHEMBL100722,P07477,IC50,>,10000.0,nM,S(=O)(=O)(c1c(c2ccc(NC(=O)[C@@H](NC(=O)c3cc(C(=N)N)ccc3)Cc3ccccc3)cc2)cccc1)N,try1
9,CHEMBL100989,P07477,IC50,=,0.02,nM,C1(=O)[C@H]([C@@H]2[C@@H](O1)CCC2)Sc1ccccc1,try1
10,CHEMBL101027,P00760,Ki,=,3200.0,nM,n1(c2c(cc1)cc(C(=N)N)cc2)CCCCn1c2c(cc1)cc(C(=N)N)cc2,try1
11,CHEMBL101030,P07477,IC50,=,0.6,nM,C1(=O)O[C@@H]2[C@@H]([C@@H]1Cc1ccccc1)CCC2,try1
12,CHEMBL101041,P07477,IC50,=,0.5,nM,C1(=O)O[C@@H]2[C@@H]([C@@H]1CC(=O)C=C(C)C)CCC2,try1
13,CHEMBL101049,P00760,Ki,=,10.0,nM,N12C(=O)[C@@H](NC(=O)CCCCCCCNC(=O)C(=O)[C@H](NC(=O)[C@H]1CCC2)CCCNC(=N)N)Cc1ccccc1,try1
14,CHEMBL101067,P00760,Ki,=,3180.0,nM,n1(c2c(cc1)cc(C(=N)N)cc2)Cc1ccc(C(=N)N)cc1,try1
15,CHEMBL101261,P00760,Ki,=,5980.0,nM,n1c([nH]c2c1cc(C(=N)N)cc2)c1ccc(cc1)OCCOc1ccc(C(=N)N)cc1,try1
16,CHEMBL101343,P00760,Ki,=,15400.0,nM,n1(c2c(cc1)cc(C(=N)N)cc2)Cc1ccccc1,try1
17,CHEMBL101437,P07477,IC50,>,10000.0,nM,S(=O)(=O)(c1c(c2ccc(NC(=O)[C@H]3N(C(=O)c4cc(C(=N)N)ccc4)CCC3)cc2)cccc1)N,try1
18,CHEMBL101559,P00760,Ki,=,5310.0,nM,n1(c2c(cc1)cc(C(=N)N)cc2)Cc1c(cc([N+](=O)[O-])cc1)N,try1
19,CHEMBL101563,P07477,Ki,=,2000.0,nM,n1(c(=O)c(ncc1C)NCCc1ccccc1)CC(=O)NCc1cc2nc[nH]c2cc1,try1
20,CHEMBL101654,P07477,IC50,>,10000.0,nM,S(=O)(=O)(c1c(c2ccc(NC(=O)[C@H](NC(=O)c3cc(C(=N)N)ccc3)C(C)C)cc2)cccc1)N,try1
21,CHEMBL101672,P00760,Ki,=,1440.0,nM,n1c([nH]c2c1cc(C(=N)N)cc2)c1ccc(cc1)OCCCCCOc1ccc(C(=N)N)cc1,try1
22,CHEMBL101726,P00760,Ki,=,8290.0,nM,n1(c2c(cc1)cc(C(=N)N)cc2)Cc1cc(C(=N)N)ccc1,try1
23,CHEMBL101734,P07477,IC50,>,7930.0,nM,S(=O)(=O)(c1c(c2ccc(NC(=O)[C@@H](NC(=O)c3cc(C(=N)N)ccc3)C3CCCCC3)cc2)cccc1)N,try1
24,CHEMBL101855,P00760,Ki,=,38.0,nM,c1(nc2c([nH]1)cccc2)C(=O)[C@@H](NC(=O)[C@H]1N(C(=O)[C@@H](Cc2ccccc2)NC)CCC1)CCCN=C(N)N,try1
25,CHEMBL101878,P00760,Ki,=,85300.0,nM,n1(c2c(cc1)cc(C(=N)N)cc2)C,try1
26,CHEMBL102002,P00760,Ki,=,4670.0,nM,c1(nc2c([nH]1)ccc(C(=N)N)c2)Oc1ccc(c2nc3c([nH]2)ccc(C(=N)N)c3)cc1,try1
27,CHEMBL102009,P00760,Ki,>,100000.0,nM,c1(c[nH]c2c1ccc(C(=N)N)c2)C(=O)c1ccccc1,try1
28,CHEMBL102081,P07477,IC50,=,2.0,nM,C1(=O)O[C@@H]2[C@@H]([C@H]1Cc1ccccc1)CCC2,try1
29,CHEMBL102115,P07477,IC50,=,26.0,nM,C1(=O)O[C@@H]2[C@@H]([C@@H]1CC=C)CCC2,try1
30,CHEMBL102121,P00760,Ki,=,4.4,nM,c1(nc2c(s1)CCCC2)C(=O)[C@@H](NC(=O)[C@H]1N(C(=O)[C@@H](Cc2ccccc2)NC)CCC1)CCCN=C(N)N,try1
31,CHEMBL102134,P07477,IC50,=,3300.0,nM,C1(=O)O[C@@H]2[C@@H]([C@H]1Cc1cc(C(=N)N)ccc1)CCC2.C(=O)(O)C,try1
32,CHEMBL102141,P00760,Ki,=,5310.0,nM,n1(c2c(cc1)cc(C(=N)N)cc2)Cc1c(cc(C(=N)N)cc1)Cl,try1
33,CHEMBL102148,P00760,Ki,=,2960.0,nM,n1c([nH]c2c1cc(C(=N)N)cc2)c1ccc(cc1)OCCCOc1ccc(C(=N)N)cc1,try1
34,CHEMBL102216,P07477,IC50,=,19.0,nM,N1(C(=O)[C@H](NC(=O)OC(C)(C)C)c2ccc(cc2)F)[C@H](C(=O)N[C@H](C=O)CCCN=C(N)N)CCC1,try1
35,CHEMBL102345,P07477,Ki,=,170.0,nM,C1(=O)N(c2cc(C(=N)N)ccc2)CCCCN1C1CCN(Cc2sccc2)CC1.C(C(=O)O)(F)(F)F,try1
36,CHEMBL10248,P00760,IC50,>,100000.0,nM,c1(oc(=O)c2c(n1)cc(cc2)C)Nc1c(I)cccc1,try1
37,CHEMBL102502,P07477,Ki,=,60.0,nM,S(=O)(=O)(N1CCC(N2C(=O)N(c3cc(C(=N)N)ccc3)CCCC2)CC1)c1ccccc1.C(C(=O)O)(F)(F)F,try1
38,CHEMBL102552,P00760,IC50,=,23.0,nM,N1(C(=O)[C@H]2NCc3c(C2)cccc3)[C@H](C(=O)N[C@H](C=O)CCCNC(=N)N)CCC1,try1
39,CHEMBL102919,P00760,Ki,=,8.2,nM,C1(=NC(=O)C2C(=N1)C=CC=C2)C(=O)[C@@H](NC(=O)[C@H]1N(C(=O)[C@@H](Cc2ccccc2)NC)CCC1)CCCN=C(N)N,try1
40,CHEMBL103043,P07477,Ki,=,1700.0,nM,c1cc2c(c(c1)Nc1ncccn1)cc(cc2)C(=N)N,try1
41,CHEMBL103102,P00760,Ki,=,360.0,nM,C(=N)(N1CCCCC1)N,try1
42,CHEMBL10312,P00760,IC50,>,100000.0,nM,c1(oc(=O)c2c(n1)cc(C(F)(F)F)cc2)Nc1c(I)cccc1,try1
43,CHEMBL10312,P07477,IC50,>,100000.0,nM,c1(oc(=O)c2c(n1)cc(C(F)(F)F)cc2)Nc1c(I)cccc1,try1
44,CHEMBL10346,P07477,Ki,=,0.27,nM,c12c(=O)n(c(cc2CC(C(=O)N1)(CC(C)C)CC(C)C)C)CC(=O)NCc1c(nc(N)cc1)C,try1
