,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL104064,Q15661,IC50,=,74.0,nM,N1(C(=O)C(NC(=O)c2ccc(cc2)c2ccccc2)CCCC1)CC(=O)Nc1c(ccc(c1)CN)C,tryb1
1,CHEMBL104064,Q15661,IC50,=,74.0,nM,N1(C(=O)C(NC(=O)c2ccc(cc2)c2ccccc2)CCCC1)CC(=O)Nc1c(ccc(c1)CN)C,tryb1
2,CHEMBL104220,Q15661,IC50,=,1300.0,nM,N1(C(=O)C(NC(=O)c2ccc(c3ccc(cc3)C)cc2)CCCC1)CC(=O)Nc1cc(CN)ccc1,tryb1
3,CHEMBL104309,Q15661,IC50,=,12000.0,nM,N1(C(=O)C(NC(=O)c2ccc(cc2)c2ccccc2)CCCC1)CC(=O)NCCCCCN,tryb1
4,CHEMBL104354,Q15661,IC50,>,33000.0,nM,N1(C(=O)C(NC(=O)c2ccc(cc2)c2ccccc2)CCCC1)CC(=O)Nc1cc2c(cc1)CCCC2N,tryb1
5,CHEMBL104434,Q15661,IC50,>,33000.0,nM,N1(C(=O)C(NC(=O)c2ccc(cc2)c2ccccc2)CCCC1)CC(=O)Nc1c(CN)cccc1,tryb1
6,CHEMBL104601,Q15661,IC50,=,5200.0,nM,N1(C(=O)C(NC(=O)Cc2ccc(c3ccccc3)cc2)CCCC1)CC(=O)Nc1cc(CN)ccc1,tryb1
7,CHEMBL106146,Q15661,IC50,=,12000.0,nM,N1(C(=O)C(NC(=O)c2ccc(cc2)c2ccccc2)CCCC1)CC(=O)NC1CCC(CC1)CN,tryb1
8,CHEMBL106183,Q15661,IC50,>,33000.0,nM,N1(C(=O)C(NC(=O)c2ccc(cc2)c2ccccc2)CCCC1)CC(=O)Nc1cc(CN(CC)CC)ccc1,tryb1
9,CHEMBL106903,Q15661,IC50,=,4600.0,nM,N1(C(=O)C(NC(=O)COc2cc3c(cc2)cccc3)CCCC1)CC(=O)Nc1cc(CN)ccc1,tryb1
10,CHEMBL107095,Q15661,IC50,>,33000.0,nM,N1(C(=O)C(NC(=O)c2ccc(cc2)c2ccccc2)CCCC1)CC(=O)Nc1cc2c(cc1)CCNC2,tryb1
11,CHEMBL107226,Q15661,IC50,>,33000.0,nM,N1(C(=O)C(NC(=O)c2ccc(cc2)c2ccccc2)CCCC1)CC(=O)NCCCCCCN,tryb1
12,CHEMBL107233,Q15661,IC50,>,33000.0,nM,N1(C(=O)C(NC(=O)c2ccc(cc2)c2ccccc2)CCCC1)CC(=O)NCc1ccc(N)cc1,tryb1
13,CHEMBL107427,Q15661,IC50,=,3600.0,nM,N1(C(=O)C(NC(=O)c2ccc(cc2)c2ccccc2)CCCC1)CC(=O)Nc1ccc(cc1)CN,tryb1
14,CHEMBL107476,Q15661,IC50,>,33000.0,nM,N1(C(=O)C(NC(=O)c2ccc(cc2)c2ccccc2)CCCC1)CC(=O)NCCCCN,tryb1
15,CHEMBL107493,Q15661,IC50,=,3.0,nM,N1(C(=O)[C@@H]([C@H]1C(=O)N1CCCCC1)CCCN=C(N)N)C(=O)N1CCN(C(=O)OC(C)(C)C)CC1,tryb1
16,CHEMBL107690,Q15661,IC50,>,33000.0,nM,N1(C(=O)C(NC(=O)c2ccc(cc2)c2ccccc2)CCCC1)CC(=O)Nc1cc(CNC)ccc1,tryb1
17,CHEMBL107791,Q15661,IC50,=,15000.0,nM,N1(C(=O)C(NC(=O)c2cc3c(nc2)cccc3)CCCC1)CC(=O)Nc1cc(CN)ccc1,tryb1
18,CHEMBL107805,Q15661,IC50,>,33000.0,nM,N1(C(=O)C(NC(=O)c2ccc(cc2)c2ccccc2)CCCC1)CC(=O)NCC1CCNCC1,tryb1
19,CHEMBL109254,Q15661,IC50,=,9.0,nM,N1(C(=O)[C@@H]([C@H]1C(=O)O)CCCN=C(N)N)C(=O)N1CCN(C(=O)OC)CC1,tryb1
20,CHEMBL109504,Q15661,IC50,=,1.9,nM,N1(C(=O)[C@@H]([C@H]1C(=O)O)CC1CN(C(=N)N)CCC1)C(=O)N1CCN(C(=O)CCCCCC2CCCCC2)CC1,tryb1
21,CHEMBL109602,Q15661,IC50,=,13.0,nM,N1(C(=O)[C@@H]([C@H]1C(=O)O)CCCNC(=N)N)C(=O)N1CCN(S(=O)(=O)c2ccccc2)CC1,tryb1
22,CHEMBL109660,Q15661,Ki,=,80000.0,nM,N1(C(=O)COc2ccc(OCC(=O)N3CCN(C(=O)CCCCNC(=N)N)CC3)cc2)CCN(C(=O)CCCCNC(=N)N)CC1,tryb1
23,CHEMBL109688,Q15661,Ki,=,67.0,nM,c1(C(=O)N2CCN(C(=O)COc3ccc(OCC(=O)N4CCNCC4)cc3)CC2)oc2c(c1)cc(C(=N)N)cc2,tryb1
24,CHEMBL109733,Q15661,IC50,=,12.0,nM,N1(C(=O)[C@@H]([C@H]1C(=O)O)CC1CN(C(=N)N)C1)C(=O)N1CCN(C(=O)OC(C(C)C)C(C)C)CC1,tryb1
25,CHEMBL109882,Q15661,IC50,=,11.0,nM,N1(C(=O)[C@@H]([C@H]1C(=O)O)CCCN=C(N)N)C(=O)N1CCN(C(=O)CC(C)(C)C)CC1,tryb1
26,CHEMBL109888,Q15661,IC50,=,1.0,nM,N1(S(=O)(=O)c2ccc(cc2)c2ccccc2)[C@@H]([C@H](C1=O)CCCNC(=N)N)C(=O)O,tryb1
27,CHEMBL109903,Q15661,Ki,=,3000.0,nM,c1(C(=O)N2CCN(C(=O)COc3ccccc3)CC2)oc2c(c1)cc(C(=N)N)cc2,tryb1
28,CHEMBL109947,Q15661,IC50,=,5.0,nM,N1(C(=O)[C@@H]([C@H]1C(=O)O)CCCN=C(N)N)C(=O)N1CCN(C(=O)N(CC)CC)CC1,tryb1
29,CHEMBL110061,Q15661,IC50,=,0.7,nM,N1(C(=O)[C@@H]([C@H]1C(=O)NC)CCCN=C(N)N)C(=O)N1CCN(C(=O)OC(C)(C)C)CC1,tryb1
30,CHEMBL110856,Q15661,Ki,=,60.0,nM,c1(C(=O)N2CCN(C(=O)COc3ccc(OCC(=O)N4CCCCC4)cc3)CC2)oc2c(c1)cc(C(=N)N)cc2,tryb1
31,CHEMBL111141,Q15661,IC50,=,18.0,nM,N1(C(=O)[C@@H]([C@H]1C(=O)O)CCCNC(=N)N)C(=O)NC1CCCCC1,tryb1
32,CHEMBL111173,Q15661,IC50,<,1.7,nM,N1(C(=O)[C@@H]([C@H]1C(=O)O)CC1CN(C(=N)N)CCC1)C(=O)N1CCN(C(=O)NCCCCc2ccccc2)CC1,tryb1
33,CHEMBL111250,Q15661,IC50,=,1.0,nM,N1(C(=O)[C@@H]([C@H]1C(=O)O)CCCNC(=N)N)C(=O)c1ccc(cc1)c1ccccc1,tryb1
