,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL101425,P04818,IC50,=,144.54,nM,[nH]1c(nc2c(c1=O)cc(cc2)CN(c1ccc(c(c1)[N+](=O)[O-])C(=O)N[C@@H](CCC(=O)O)C(=O)O)CC)C,tysy
1,CHEMBL101425,P07607,IC50,=,145.0,nM,[nH]1c(nc2c(c1=O)cc(cc2)CN(c1ccc(c(c1)[N+](=O)[O-])C(=O)N[C@@H](CCC(=O)O)C(=O)O)CC)C,tysy
2,CHEMBL102143,P07607,Ki,=,0.2,nM,c12c(nc(nc1cc1c(C(N(c3ccc(C(=O)N[C@H](C(=O)O)CCC(=O)NC(c4[nH]nnn4)CCC(=O)O)cc3)CC#C)CC1)c2)C)O,tysy
3,CHEMBL102275,P04818,IC50,=,309.03,nM,[nH]1c(nc2c(c1=O)cc(cc2)CN(c1ccc(c(c1)N)C(=O)N[C@@H](CCC(=O)O)C(=O)O)CC)C,tysy
4,CHEMBL102275,P07607,IC50,=,310.0,nM,[nH]1c(nc2c(c1=O)cc(cc2)CN(c1ccc(c(c1)N)C(=O)N[C@@H](CCC(=O)O)C(=O)O)CC)C,tysy
5,CHEMBL102317,P04818,IC50,=,616.6,nM,[nH]1c(nc2c(c1=O)cc(cc2)CN(c1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O)CC#C)C(C)C,tysy
6,CHEMBL102317,P07607,IC50,=,620.0,nM,[nH]1c(nc2c(c1=O)cc(cc2)CN(c1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O)CC#C)C(C)C,tysy
7,CHEMBL102469,P04818,IC50,=,338.84,nM,[nH]1c(nc2c(c1=O)cc(cc2)CN(c1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O)CCF)CF,tysy
8,CHEMBL102469,P07607,IC50,=,340.0,nM,[nH]1c(nc2c(c1=O)cc(cc2)CN(c1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O)CCF)CF,tysy
9,CHEMBL102506,P07607,IC50,=,580.0,nM,n1c(nc2c(c1O)cc(CN(c1ccc(C(=O)N[C@H](C(=O)O)CCC(=O)O)cc1)CC#C)cc2)C(F)F,tysy
10,CHEMBL102938,P04818,IC50,=,478.63,nM,[nH]1c(nc2c(c1=O)cc(cc2)CN(c1ccc(c(c1)C(F)(F)F)C(=O)N[C@@H](CCC(=O)O)C(=O)O)CC#C)C,tysy
11,CHEMBL102938,P07607,IC50,=,480.0,nM,[nH]1c(nc2c(c1=O)cc(cc2)CN(c1ccc(c(c1)C(F)(F)F)C(=O)N[C@@H](CCC(=O)O)C(=O)O)CC#C)C,tysy
12,CHEMBL102954,P07607,Ki,=,1200.0,nM,c1(S(=O)(=O)CCC[C@H](NC(=O)c2ccc(N([C@H]3c4cc5c(nc(nc5cc4CC3)C)O)CC#C)cc2)C(=O)O)nc[nH]n1,tysy
13,CHEMBL103029,P04818,IC50,=,371.54,nM,[nH]1c(nc2c(c1=O)cc(cc2)CN(c1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O)CC)CF,tysy
14,CHEMBL103029,P07607,IC50,=,370.0,nM,[nH]1c(nc2c(c1=O)cc(cc2)CN(c1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O)CC)CF,tysy
15,CHEMBL103059,P04818,IC50,=,169.82,nM,[nH]1cnc2c(c1=O)cc(cc2)CN(c1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O)CC#C,tysy
16,CHEMBL103059,P07607,Ki,=,27.0,nM,[nH]1cnc2c(c1=O)cc(cc2)CN(c1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O)CC#C,tysy
17,CHEMBL103059,P07607,Ki,=,63.68,nM,[nH]1cnc2c(c1=O)cc(cc2)CN(c1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O)CC#C,tysy
18,CHEMBL103059,P07607,IC50,=,160.0,nM,[nH]1cnc2c(c1=O)cc(cc2)CN(c1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O)CC#C,tysy
19,CHEMBL103059,P07607,IC50,=,170.0,nM,[nH]1cnc2c(c1=O)cc(cc2)CN(c1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O)CC#C,tysy
20,CHEMBL103105,P07607,Ki,=,0.71,nM,c1(S(=O)(=O)CCC[C@H](NC(=O)c2ccc(N([C@@H]3c4cc5c(nc(nc5cc4CC3)C)O)CC#C)cc2)C(=O)O)nc[nH]n1,tysy
21,CHEMBL104025,P04818,IC50,=,501.19,nM,[nH]1c(nc2c(c1=O)cc(cc2)CN(c1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O)CCO)C,tysy
22,CHEMBL104025,P07607,IC50,=,500.0,nM,[nH]1c(nc2c(c1=O)cc(cc2)CN(c1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O)CCO)C,tysy
23,CHEMBL104025,P07607,IC50,=,500.0,nM,[nH]1c(nc2c(c1=O)cc(cc2)CN(c1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O)CCO)C,tysy
