,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL100296,P00749,Ki,>,200000.0,nM,n1(c2c(cc1)cc([N+](=O)[O-])cc2)Cc1ccc(C(=N)N)cc1,urok
1,CHEMBL100569,P00749,Ki,=,25600.0,nM,n1(ccc2c1cccc2)Cc1ccc(C(=N)N)cc1,urok
2,CHEMBL101027,P00749,Ki,=,9960.0,nM,n1(c2c(cc1)cc(C(=N)N)cc2)CCCCn1c2c(cc1)cc(C(=N)N)cc2,urok
3,CHEMBL101067,P00749,Ki,=,26500.0,nM,n1(c2c(cc1)cc(C(=N)N)cc2)Cc1ccc(C(=N)N)cc1,urok
4,CHEMBL101261,P00749,Ki,=,12000.0,nM,n1c([nH]c2c1cc(C(=N)N)cc2)c1ccc(cc1)OCCOc1ccc(C(=N)N)cc1,urok
5,CHEMBL101343,P00749,Ki,=,191000.0,nM,n1(c2c(cc1)cc(C(=N)N)cc2)Cc1ccccc1,urok
6,CHEMBL101559,P00749,Ki,=,40000.0,nM,n1(c2c(cc1)cc(C(=N)N)cc2)Cc1c(cc([N+](=O)[O-])cc1)N,urok
7,CHEMBL101672,P00749,Ki,=,8000.0,nM,n1c([nH]c2c1cc(C(=N)N)cc2)c1ccc(cc1)OCCCCCOc1ccc(C(=N)N)cc1,urok
8,CHEMBL101726,P00749,Ki,=,36000.0,nM,n1(c2c(cc1)cc(C(=N)N)cc2)Cc1cc(C(=N)N)ccc1,urok
9,CHEMBL101878,P00749,Ki,=,196000.0,nM,n1(c2c(cc1)cc(C(=N)N)cc2)C,urok
10,CHEMBL102009,P00749,Ki,=,267000.0,nM,c1(c[nH]c2c1ccc(C(=N)N)c2)C(=O)c1ccccc1,urok
11,CHEMBL102141,P00749,Ki,=,19000.0,nM,n1(c2c(cc1)cc(C(=N)N)cc2)Cc1c(cc(C(=N)N)cc1)Cl,urok
12,CHEMBL102148,P00749,Ki,=,17800.0,nM,n1c([nH]c2c1cc(C(=N)N)cc2)c1ccc(cc1)OCCCOc1ccc(C(=N)N)cc1,urok
13,CHEMBL102631,P00749,Ki,=,4600.0,nM,c1(c2c3cc(C(=N)N)ccc3ccc2OC)cn(nc1)C,urok
14,CHEMBL103043,P00749,Ki,=,31.62,nM,c1cc2c(c(c1)Nc1ncccn1)cc(cc2)C(=N)N,urok
15,CHEMBL103043,P00749,Ki,=,35.0,nM,c1cc2c(c(c1)Nc1ncccn1)cc(cc2)C(=N)N,urok
16,CHEMBL103043,P00749,Ki,=,30.0,nM,c1cc2c(c(c1)Nc1ncccn1)cc(cc2)C(=N)N,urok
17,CHEMBL103649,P00749,Ki,=,4470.0,nM,n1c([nH]c2c1cc(C(=N)N)cc2)c1ccc(cc1)OCCCCOc1ccc(C(=N)N)cc1,urok
18,CHEMBL104064,P00749,IC50,>,450.0,nM,N1(C(=O)C(NC(=O)c2ccc(cc2)c2ccccc2)CCCC1)CC(=O)Nc1c(ccc(c1)CN)C,urok
19,CHEMBL104166,P00749,Ki,=,0.631,nM,NCc1ccc(NC(=O)c2cc(Nc3ncccn3)c3cc(ccc3c2)C(=N)N)cc1,urok
20,CHEMBL104166,P00749,Ki,=,0.62,nM,NCc1ccc(NC(=O)c2cc(Nc3ncccn3)c3cc(ccc3c2)C(=N)N)cc1,urok
21,CHEMBL104211,P00749,Ki,=,40.0,nM,c1(c2c3cc(C(=N)N)ccc3cc(C(=O)Nc3ccccc3)c2)cc(oc1)SCC,urok
22,CHEMBL104241,P00749,Ki,=,38000.0,nM,S(=O)(=O)(NC(C(=O)N1CCCCC1)Cc1cc(C(=N)N)ccc1)c1cc2c(cc1)cccc2,urok
23,CHEMBL104241,P00749,Ki,=,38000.0,nM,S(=O)(=O)(NC(C(=O)N1CCCCC1)Cc1cc(C(=N)N)ccc1)c1cc2c(cc1)cccc2,urok
24,CHEMBL104505,P00749,Ki,=,200.0,nM,c1(c2cc(C(=N)N)ccc2cc(C(=O)Nc2ccccc2)c1)Nc1ncccn1,urok
25,CHEMBL104505,P00749,Ki,=,2.0,nM,c1(c2cc(C(=N)N)ccc2cc(C(=O)Nc2ccccc2)c1)Nc1ncccn1,urok
26,CHEMBL104904,P00749,Ki,=,82000.0,nM,c12c(c3cocc3)c(ccc2ccc(c1)C(=N)N)OC,urok
27,CHEMBL104937,P00749,Ki,=,1900.0,nM,N=C(N)c1ccc2cc(ccc2c1)C(=O)Nc1ccccc1,urok
28,CHEMBL104937,P00749,IC50,=,13000.0,nM,N=C(N)c1ccc2cc(ccc2c1)C(=O)Nc1ccccc1,urok
29,CHEMBL104937,P00749,Ki,=,631.0,nM,N=C(N)c1ccc2cc(ccc2c1)C(=O)Nc1ccccc1,urok
30,CHEMBL104937,P00749,Ki,=,630.96,nM,N=C(N)c1ccc2cc(ccc2c1)C(=O)Nc1ccccc1,urok
31,CHEMBL104937,P00749,Ki,=,631.0,nM,N=C(N)c1ccc2cc(ccc2c1)C(=O)Nc1ccccc1,urok
32,CHEMBL104937,P00749,Ki,=,631.0,nM,N=C(N)c1ccc2cc(ccc2c1)C(=O)Nc1ccccc1,urok
33,CHEMBL104937,P00749,Ki,=,630.0,nM,N=C(N)c1ccc2cc(ccc2c1)C(=O)Nc1ccccc1,urok
34,CHEMBL104970,P00749,Ki,=,41000.0,nM,S(=O)(=O)(NC(C(=O)N1CCN(CC1)c1ccccc1)Cc1cc(C(=N)N)ccc1)c1cc2c(cc1)cccc2,urok
35,CHEMBL105171,P00749,Ki,=,6309.57,nM,C(=N)(c1cc2c(cc1)cccc2)N,urok
36,CHEMBL105171,P00749,Ki,=,5910.0,nM,C(=N)(c1cc2c(cc1)cccc2)N,urok
37,CHEMBL105171,P00749,Ki,=,5900.0,nM,C(=N)(c1cc2c(cc1)cccc2)N,urok
38,CHEMBL105395,P00749,Ki,=,100.0,nM,c12c(cc(C(=O)Nc3ccccc3)cc2ccc(c1)C(=N)N)C1COCC1,urok
39,CHEMBL105395,P00749,Ki,=,106.0,nM,c12c(cc(C(=O)Nc3ccccc3)cc2ccc(c1)C(=N)N)C1COCC1,urok
40,CHEMBL105875,P00749,Ki,=,33000.0,nM,S(=O)(=O)(c1c(cc(cc1C(C)C)C(C)C)C(C)C)NC(C(=O)N1C(C(=O)OC)CCCC1)Cc1cc(C(=N)N)ccc1,urok
41,CHEMBL105935,P00749,Ki,=,52000.0,nM,S(=O)(=O)(c1c(cc(cc1C(C)C)C(C)C)C(C)C)NC(C(=O)N1CCN(CC1)C)Cc1cc(C(=N)N)ccc1,urok
42,CHEMBL106035,P00749,Ki,=,12000.0,nM,S(=O)(=O)(c1c(cc(cc1C(C)C)C(C)C)C(C)C)NC(C(=O)N1CCNCC1)Cc1cc(C(=N)N)ccc1,urok
43,CHEMBL106071,P00749,Ki,=,103.0,nM,c1(c2nc(cs2)c2ccccc2)cc(sc1C)C(=N)N,urok
44,CHEMBL106079,P00749,Ki,=,2000.0,nM,S(=O)(=O)(c1c(cc(cc1C(C)C)C(C)C)C(C)C)NC(C(=O)N1CCC(CC1)C)Cc1cc(C(=N)N)ccc1,urok
45,CHEMBL106079,P00749,Ki,=,2000.0,nM,S(=O)(=O)(c1c(cc(cc1C(C)C)C(C)C)C(C)C)NC(C(=O)N1CCC(CC1)C)Cc1cc(C(=N)N)ccc1,urok
46,CHEMBL106395,P00749,Ki,=,1300.0,nM,S(=O)(=O)(c1c(cc(cc1C(C)C)C(C)C)C(C)C)NC(C(=O)N1C(C(=O)O)CCCC1)Cc1cc(C(=N)N)ccc1,urok
47,CHEMBL106412,P00749,Ki,=,5400.0,nM,S(=O)(=O)(c1c(cc(cc1C(C)C)C(C)C)C(C)C)NC(C(=O)N1CCOCC1)Cc1cc(C(=N)N)ccc1,urok
48,CHEMBL106869,P00749,Ki,=,73000.0,nM,S(=O)(=O)(NC(C(=O)N1CCCC1)Cc1cc(C(=N)N)ccc1)c1cc2c(cc1)cccc2,urok
49,CHEMBL107140,P00749,Ki,=,19000.0,nM,S(=O)(=O)(c1c(cc(cc1C(C)C)C(C)C)C(C)C)NC(C(=O)N1CCCC1)Cc1cc(C(=N)N)ccc1,urok
50,CHEMBL107203,P00749,Ki,=,4400.0,nM,S(=O)(=O)(c1c(cc(cc1C(C)C)C(C)C)C(C)C)NC(C(=O)N1CCCCCC1)Cc1cc(C(=N)N)ccc1,urok
51,CHEMBL107210,P00749,Ki,=,58000.0,nM,S(=O)(=O)(NC(C(=O)N1CCOCC1)Cc1cc(C(=N)N)ccc1)c1cc2c(cc1)cccc2,urok
52,CHEMBL107256,P00749,Ki,=,19000.0,nM,S(=O)(=O)(NC(C(=O)N1CCCCCCC1)Cc1cc(C(=N)N)ccc1)c1cc2c(cc1)cccc2,urok
53,CHEMBL107282,P00749,Ki,=,140000.0,nM,S(=O)(=O)(N[C@@H](C(=O)N1CCN(CC1)CCO)Cc1cc(C(=N)N)ccc1)c1cc2c(cc1)cccc2,urok
54,CHEMBL107392,P00749,Ki,=,28000.0,nM,S(=O)(=O)(N[C@@H](C(=O)N1CCN(S(=O)(=O)C)CC1)Cc1cc(C(=N)N)ccc1)c1cc2c(cc1)cccc2,urok
55,CHEMBL107592,P00749,Ki,=,28000.0,nM,S(=O)(=O)(NC(C(=O)N1CCCCCC1)Cc1cc(C(=N)N)ccc1)c1cc2c(cc1)cccc2,urok
56,CHEMBL107627,P00749,Ki,=,28000.0,nM,S(=O)(=O)(N[C@@H](C(=O)N1CCN(C(=O)N(C)C)CC1)Cc1cc(C(=N)N)ccc1)c1cc2c(cc1)cccc2,urok
57,CHEMBL107743,P00749,Ki,=,58000.0,nM,S(=O)(=O)(c1c(c2c(c(c1C)C)OC(CC2)(C)C)C)N[C@@H](C(=O)N1CCN(S(=O)(=O)C)CC1)Cc1cc(C(=N)N)ccc1,urok
58,CHEMBL107871,P00749,Ki,=,2340.0,nM,N(c1c2c(cc(cc2)Br)ccn1)C(=N)N,urok
59,CHEMBL107872,P00749,Ki,=,4800.0,nM,N(c1c2cc(OCc3ccccc3)ccc2ccn1)C(=N)N,urok
60,CHEMBL107911,P00749,Ki,=,110000.0,nM,S(=O)(=O)(N[C@@H](C(=O)N1CCN(CC1)C)Cc1cc(C(=N)N)ccc1)c1cc2c(cc1)cccc2,urok
61,CHEMBL107955,P00749,Ki,=,410.0,nM,S(=O)(=O)(c1c(cc(cc1C(C)C)C(C)C)C(C)C)N[C@H](C(=O)N1CCN(C(=O)OCC)CC1)Cc1cc(C(=N)N)ccc1,urok
62,CHEMBL107955,P00749,Ki,=,410.0,nM,S(=O)(=O)(c1c(cc(cc1C(C)C)C(C)C)C(C)C)N[C@H](C(=O)N1CCN(C(=O)OCC)CC1)Cc1cc(C(=N)N)ccc1,urok
63,CHEMBL107955,P00749,IC50,=,410.0,nM,S(=O)(=O)(c1c(cc(cc1C(C)C)C(C)C)C(C)C)N[C@H](C(=O)N1CCN(C(=O)OCC)CC1)Cc1cc(C(=N)N)ccc1,urok
64,CHEMBL107955,P00749,Ki,=,410.0,nM,S(=O)(=O)(c1c(cc(cc1C(C)C)C(C)C)C(C)C)N[C@H](C(=O)N1CCN(C(=O)OCC)CC1)Cc1cc(C(=N)N)ccc1,urok
65,CHEMBL107955,P00749,Ki,=,410.0,nM,S(=O)(=O)(c1c(cc(cc1C(C)C)C(C)C)C(C)C)N[C@H](C(=O)N1CCN(C(=O)OCC)CC1)Cc1cc(C(=N)N)ccc1,urok
66,CHEMBL108058,P00749,Ki,=,2500.0,nM,S(=O)(=O)(c1c(cc(cc1C(C)C)C(C)C)C(C)C)NC(C(=O)N1CC(C(=O)OC)CCC1)Cc1cc(C(=N)N)ccc1,urok
67,CHEMBL108098,P00749,Ki,=,82.0,nM,C(=O)(Nc1cc(OCC)ccc1)c1cc2c(cc(C(=N)N)cc2)cc1,urok
68,CHEMBL1083499,P00749,Ki,>,26000.0,nM,n1c(c(=O)n(c(c1)C)CC(=O)NCCONC(=N)N)NCC(c1ccccc1)(F)F,urok
69,CHEMBL108354,P00749,Ki,=,4800.0,nM,S(=O)(=O)(c1c(cc(cc1C(C)C)C(C)C)C(C)C)NC(C(=O)N1CCC(C(=O)NC)CC1)Cc1cc(C(=N)N)ccc1,urok
70,CHEMBL108447,P00749,Ki,=,6.31,nM,C(=O)(Nc1cc2c(cc1)CNCC2CC)c1cc2c(cc(C(=N)N)cc2)cc1,urok
71,CHEMBL108447,P00749,Ki,=,6.3,nM,C(=O)(Nc1cc2c(cc1)CNCC2CC)c1cc2c(cc(C(=N)N)cc2)cc1,urok
72,CHEMBL108468,P00749,Ki,=,960.0,nM,S(=O)(=O)(c1c(cc(cc1C(C)C)C(C)C)C(C)C)NC(C(=O)N1CCN(C(=O)OCC)CC1)Cc1cc(C(=N)N)ccc1,urok
73,CHEMBL1084908,P00749,Ki,>,26000.0,nM,n1c(c(=O)n(c(c1)C#N)CC(=O)NCCONC(=N)N)NCC(c1ccccc1)(F)F,urok
74,CHEMBL1088332,P00749,Ki,>,26000.0,nM,n1c(c(=O)n(c(c1)Cl)CC(=O)NCCONC(=N)N)NCC(c1ccccc1)(F)F,urok
75,CHEMBL109215,P00749,Ki,=,310.0,nM,N(c1c2c(ccc(c2)c2ccccc2)c(cn1)Cl)C(=N)N,urok
76,CHEMBL109274,P00749,Ki,=,130.0,nM,N(=C(N)N)c1c2c(ccc(c2)c2ccc(cc2)C)c(cn1)Cl,urok
77,CHEMBL109287,P00749,Ki,=,1900.0,nM,C(=O)(Nc1cc2c(cc(C#N)cc2)cc1)c1ccccc1,urok
78,CHEMBL109367,P00749,Ki,=,50.12,nM,N=C(N)c1cc2ccc(cc2cc1)C(=O)Nc1cc2c(cc1)CCN=C2C(C)C,urok
79,CHEMBL109367,P00749,Ki,=,48.0,nM,N=C(N)c1cc2ccc(cc2cc1)C(=O)Nc1cc2c(cc1)CCN=C2C(C)C,urok
80,CHEMBL109535,P00749,Ki,=,123.0,nM,C(=O)(Nc1cc2C(NCCc2cc1)CC(C)C)c1cc2c(cc(C(=N)N)cc2)cc1,urok
81,CHEMBL109632,P00749,Ki,=,9300.0,nM,N(C(=N)N)c1ncc2c(c1)cccc2,urok
82,CHEMBL109751,P00749,Ki,=,209000.0,nM,N(C(=N)N)c1nc2c(cc1)cccc2,urok
83,CHEMBL109849,P00749,Ki,=,200.0,nM,N(=C(N)N)c1c2c(ccc(c2)c2ccc(cc2)OC)c(cn1)Cl,urok
84,CHEMBL110026,P00749,Ki,=,167.0,nM,C(=O)(Nc1cc(CC2CCCC2)ccc1)c1cc2c(cc(C(=N)N)cc2)cc1,urok
85,CHEMBL110027,P00749,Ki,=,517.0,nM,C(=O)(Nc1cc(Oc2ccccc2)ccc1)c1cc2c(cc(C(=N)N)cc2)cc1,urok
86,CHEMBL110307,P00749,Ki,=,660.0,nM,N(=C(N)N)c1c2cc(ccc2ccn1)OC,urok
87,CHEMBL110358,P00749,Ki,=,4930.0,nM,N(c1c2c(c(Br)ccc2)ccn1)C(=N)N,urok
88,CHEMBL110628,P00749,Ki,=,12000.0,nM,S(=O)(=O)(c1c(cc(cc1C(C)C)C(C)C)C(C)C)NC(C(=O)N1CC(C(=O)NC)CCC1)Cc1cc(C(=N)N)ccc1,urok
89,CHEMBL111036,P00749,Ki,>,100000.0,nM,N(c1c2c(c(c3ccccc3)ccc2)ccn1)C(=N)N,urok
90,CHEMBL111042,P00749,Ki,=,233.0,nM,C(=O)(Nc1cc(OC)ccc1)c1cc2c(cc(C(=N)N)cc2)cc1,urok
91,CHEMBL111110,P00749,Ki,=,15500.0,nM,C(=O)(N(c1ccccc1)C)c1cc2c(cc(C(=N)N)cc2)cc1,urok
