,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL10,P35968,Residual Activity,=,60.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,vgfr2
1,CHEMBL10,P35968,Residual Activity,=,107.0,%,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,vgfr2
2,CHEMBL10,P35968,Ki,>,2511.89,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,vgfr2
3,CHEMBL10,P35968,Kd,>,10000.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,vgfr2
4,CHEMBL10,P35968,Kd,>,10000.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,vgfr2
5,CHEMBL100174,P35968,IC50,=,151.0,nM,c1(sc(nc1)/N=N/c1c(cc(N(CCCC)C)cc1)C)[N+](=O)[O-],vgfr2
6,CHEMBL100775,P35968,IC50,=,1274.0,nM,c1(ncc(s1)C)Nc1ncccc1,vgfr2
7,CHEMBL100955,P35918,IC50,=,1000000.0,nM,C\1(=C\c2cc(cs2)Br)/C(=O)Nc2c1cccc2,vgfr2
8,CHEMBL101022,P35918,IC50,=,3388.44,nM,C\1(=C\c2sc(cc2)CC)/C(=O)Nc2c1cccc2,vgfr2
9,CHEMBL101221,P35968,IC50,=,16.0,nM,c1(nc(c(o1)NC(=O)C)c1ccccc1)c1cc2c(cc1O)cccc2,vgfr2
10,CHEMBL101253,P35968,IC50,=,43.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,vgfr2
11,CHEMBL101253,P35968,Inhibition,=,58.0,%,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,vgfr2
12,CHEMBL101253,P35968,IC50,=,43.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,vgfr2
13,CHEMBL101253,P35968,IC50,=,180.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,vgfr2
14,CHEMBL101253,P35968,IC50,=,20.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,vgfr2
15,CHEMBL101253,P35968,IC50,=,10.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,vgfr2
16,CHEMBL101253,P35968,IC50,=,43.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,vgfr2
17,CHEMBL101253,P35968,IC50,=,21.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,vgfr2
18,CHEMBL101253,P35968,Ratio,=,34.1,Unspecified,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,vgfr2
19,CHEMBL101253,P35968,IC50,=,21.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,vgfr2
20,CHEMBL101253,P35968,IC50,=,6308.1,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,vgfr2
21,CHEMBL101253,P35968,IC50,=,21.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,vgfr2
22,CHEMBL101253,P35968,Ki,=,12.59,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,vgfr2
23,CHEMBL101253,P35968,IC50,=,54.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,vgfr2
24,CHEMBL101253,P35968,IC50,=,54.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,vgfr2
