,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL10,P30291,Kd,>,10000.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,wee1
1,CHEMBL10,P30291,Kd,>,10000.0,nM,[nH]1c(c(nc1c1ccc([S+]([O-])C)cc1)c1ccc(cc1)F)c1ccncc1,wee1
2,CHEMBL101253,P30291,Kd,>,10000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,wee1
3,CHEMBL101253,P30291,Kd,>,10000.0,nM,Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,wee1
4,CHEMBL103667,P30291,Kd,>,10000.0,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,wee1
5,CHEMBL103667,P30291,Kd,>,10000.0,nM,C(=O)(Nc1c2c(c(cc1)OCCN1CCOCC1)cccc2)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,wee1
6,CHEMBL105442,P30291,Kd,>,10000.0,nM,Fc1c(Nc2ccc(cc2Cl)I)c(ccc1F)C(=O)NOCC1CC1,wee1
7,CHEMBL1077739,P30291,Inhibition,=,8.0,%,c1(ccc2n(c1)c(cn2)C(=O)Nc1ccccc1Cl)C1CCNCC1.C(=O)(C(=O)O)O,wee1
8,CHEMBL1083785,P30291,Ki,=,199.53,nM,c1cnc(nc1c1sc(nc1C)NC)Nc1ccc(cc1)N1CCN(CC1)C(=O)C,wee1
9,CHEMBL113070,P30291,IC50,=,32.0,nM,n1(c2nc(ncc2cc(c1=O)c1c(Cl)cccc1Cl)Nc1ccc(cc1)CCCC(=O)O)C,wee1
10,CHEMBL1163565,P30291,Inhibition,<,50.0,%,c1(cnc2c(c1)N(Cc1cc(ccc1C(F)(F)F)Cl)CCN2)c1ccnc(c1)N1CCN(CC1)C(=O)C,wee1
11,CHEMBL1163566,P30291,Inhibition,<,50.0,%,c1(cnc2c(c1)N(Cc1cc(ccc1C(F)(F)F)Cl)CCN2)c1ccnc(c1)N1CCNCC1,wee1
12,CHEMBL1164180,P30291,Inhibition,<,50.0,%,c1(c(cc(cc1)Cl)CN1c2cc(c3cnc(cc3)N3CCN(CC3)C)cnc2NCC1)C(F)(F)F,wee1
13,CHEMBL1164181,P30291,Inhibition,<,50.0,%,c1(c(cc(cc1)Cl)CN1c2cc(c3cnc(cc3)N3CCN(CC3)C)cnc2NCC1)Cl,wee1
14,CHEMBL1164265,P30291,Ki,>,2511.89,nM,c1(c(c(ccc1F)F)CN1c2cc(c3cnc(cc3)N3CCN(CC3)C)cnc2NCC1)Cl,wee1
15,CHEMBL1164265,P30291,Inhibition,<,50.0,%,c1(c(c(ccc1F)F)CN1c2cc(c3cnc(cc3)N3CCN(CC3)C)cnc2NCC1)Cl,wee1
16,CHEMBL1165499,P30291,Inhibition,<,50.0,%,c1(ccc(cc1CN1c2cc(c3cnc(cc3)N3CCN(CC3)C)cnc2NCC1)F)F,wee1
17,CHEMBL1170139,P30291,Inhibition,=,100.0,%,c1(c(cc(cc1)C(=O)Nc1ccc(c(c1)C(F)(F)F)CN1CCN(CC1)CC)C#Cc1cc2c(nc1)[nH]cc2)C,wee1
18,CHEMBL1171523,P30291,Inhibition,=,100.0,%,c1(c(cc(cc1)C(=O)Nc1ccc(c(c1)C(F)(F)F)CN1CCN(CC1)CC)C#Cc1cccnc1)C,wee1
19,CHEMBL1173655,P30291,Kd,>,10000.0,nM,c1c(c(cc2c1ncnc2Nc1ccc(c(c1)Cl)F)NC(=O)/C=C/CN(C)C)O[C@@H]1COCC1,wee1
20,CHEMBL119385,P30291,Kd,>,10000.0,nM,Fc1ccc(Sc2ccc3c(c4c(Cl)cccc4Cl)c(=O)ncn3n2)c(F)c1,wee1
21,CHEMBL119385,P30291,Kd,>,10000.0,nM,Fc1ccc(Sc2ccc3c(c4c(Cl)cccc4Cl)c(=O)ncn3n2)c(F)c1,wee1
22,CHEMBL1230020,P30291,Kd,>,10000.0,nM,O=S(=O)(CCC)Nc1c(F)c(c(cc1)F)C(=O)c1c[nH]c2c1cc(cn2)Cl,wee1
23,CHEMBL1230122,P30291,Ki,>,3162.28,nM,n1c(nc2c(c1)cc(c(=O)n2C)Oc1ccc(cc1F)F)NC1CCOCC1,wee1
24,CHEMBL1230609,P30291,Kd,>,10000.0,nM,c1(c(cc2c(c1)c(ccn2)Oc1ccc(cc1F)NC(=O)C1(C(=O)Nc2ccc(cc2)F)CC1)OCCCN1CCOCC1)OC,wee1
25,CHEMBL1236107,P30291,Kd,>,10000.0,nM,c1cc(c2cnn(C)c2)nn2c1nnc2Sc1cc2c(cc1)nccc2,wee1
26,CHEMBL1240703,P30291,Kd,=,4100.0,nM,[C@@]12(n3c4c5n([C@H](O1)C[C@H]([C@H]2OC)N(C(=O)c1ccccc1)C)c1c(c5c2c(c4c4c3cccc4)[C@@H](NC2=O)O)cccc1)C,wee1
27,CHEMBL1241674,P30291,Kd,>,10000.0,nM,n1cnc2c(c1N)c(nn2C(C)C)c1[nH]c2c(c1)cc(cc2)O,wee1
28,CHEMBL1242995,P30291,Ki,=,79.43,nM,c1cnc(nc1c1sc(nc1C)NCC)Nc1ccc(cc1)N1CCNCC1,wee1
29,CHEMBL124660,P30291,Kd,>,10000.0,nM,c1(c(cc2c(c1)c(ncn2)N1CCN(CC1)C(=O)Nc1ccc(cc1)OC(C)C)OCCCN1CCCCC1)OC,wee1
30,CHEMBL124660,P30291,Kd,>,10000.0,nM,c1(c(cc2c(c1)c(ncn2)N1CCN(CC1)C(=O)Nc1ccc(cc1)OC(C)C)OCCCN1CCCCC1)OC,wee1
31,CHEMBL124660,P30291,Kd,>,10000.0,nM,c1(c(cc2c(c1)c(ncn2)N1CCN(CC1)C(=O)Nc1ccc(cc1)OC(C)C)OCCCN1CCCCC1)OC,wee1
32,CHEMBL1287853,P30291,Kd,=,390.0,nM,c1(cnc(nc1Nc1cc(ccc1)S(=O)(=O)NC(C)(C)C)Nc1ccc(cc1)OCCN1CCCC1)C,wee1
33,CHEMBL1288582,P30291,IC50,=,5720.0,nM,c1ccc2c(n1)c(n[nH]2)c1[nH]c2c(c1)ccc(c2)OC,wee1
34,CHEMBL1289926,P30291,Kd,>,10000.0,nM,c1cccnc1/C=C/c1n[nH]c2c1ccc(c2)Sc1c(cccc1)C(=O)NC,wee1
35,CHEMBL1290072,P30291,Ki,>,1000000.0,nM,c1cnc2c(c1NCc1ccc(cc1)OC)c1c(o2)cccc1,wee1
36,CHEMBL1309580,P30291,CC50,>,49750.0,nM,S=c1n(n2c(n1)c(ccc2)C)C(=O)c1occc1,wee1
37,CHEMBL1309580,P30291,EC50,>,49750.0,nM,S=c1n(n2c(n1)c(ccc2)C)C(=O)c1occc1,wee1
38,CHEMBL1336,P30291,Kd,>,10000.0,nM,c1c(ccc(c1)Oc1ccnc(c1)C(=O)NC)NC(=O)Nc1ccc(c(c1)C(F)(F)F)Cl,wee1
39,CHEMBL1336,P30291,Kd,>,10000.0,nM,c1c(ccc(c1)Oc1ccnc(c1)C(=O)NC)NC(=O)Nc1ccc(c(c1)C(F)(F)F)Cl,wee1
40,CHEMBL1336,P30291,Kd,>,10000.0,nM,c1c(ccc(c1)Oc1ccnc(c1)C(=O)NC)NC(=O)Nc1ccc(c(c1)C(F)(F)F)Cl,wee1
41,CHEMBL1344225,P30291,CC50,=,14480.0,nM,Cl/C(=C(\Cl)/[S+]([O-])Cc1ccc(cc1)C)/C(=O)Nc1cnc(OC)cc1,wee1
42,CHEMBL1344225,P30291,EC50,>,49750.0,nM,Cl/C(=C(\Cl)/[S+]([O-])Cc1ccc(cc1)C)/C(=O)Nc1cnc(OC)cc1,wee1
43,CHEMBL1346084,P30291,CC50,>,49750.0,nM,Fc1ccc(C(=O)c2ccc(OCC(=O)NCc3ccc(F)cc3)cc2)cc1,wee1
44,CHEMBL1346084,P30291,EC50,>,49750.0,nM,Fc1ccc(C(=O)c2ccc(OCC(=O)NCc3ccc(F)cc3)cc2)cc1,wee1
45,CHEMBL1351532,P30291,CC50,>,49750.0,nM,S1c2c(N=C(c3c1cccc3)CCC)cc(cc2)C(=O)NCc1occc1,wee1
46,CHEMBL1351532,P30291,EC50,>,49750.0,nM,S1c2c(N=C(c3c1cccc3)CCC)cc(cc2)C(=O)NCc1occc1,wee1
47,CHEMBL1366272,P30291,CC50,>,49750.0,nM,Clc1cnc(NC(=O)/C=C/c2ccccc2)cc1,wee1
48,CHEMBL1366272,P30291,EC50,>,49750.0,nM,Clc1cnc(NC(=O)/C=C/c2ccccc2)cc1,wee1
49,CHEMBL1384026,P30291,CC50,>,49750.0,nM,n1c2c([nH]c1NCc1ccccc1)ccc(c2)C,wee1
50,CHEMBL1384026,P30291,EC50,>,49750.0,nM,n1c2c([nH]c1NCc1ccccc1)ccc(c2)C,wee1
51,CHEMBL1420829,P30291,CC50,>,49750.0,nM,O(c1c2c(n(c(=O)c1)C)cccc2)CCCC(=O)Nc1nccc(c1)C,wee1
52,CHEMBL1420829,P30291,EC50,=,7866.0,nM,O(c1c2c(n(c(=O)c1)C)cccc2)CCCC(=O)Nc1nccc(c1)C,wee1
53,CHEMBL1421,P30291,Kd,=,7000.0,nM,c1c(C(=O)Nc2c(cccc2Cl)C)sc(Nc2cc(nc(C)n2)N2CCN(CCO)CC2)n1,wee1
54,CHEMBL1421,P30291,Kd,=,7000.0,nM,c1c(C(=O)Nc2c(cccc2Cl)C)sc(Nc2cc(nc(C)n2)N2CCN(CCO)CC2)n1,wee1
55,CHEMBL1453212,P30291,CC50,=,7166.0,nM,S1/C(=C(/C(F)(F)F)\C#N)/OC(=C1C(=O)OCC)c1ccccc1,wee1
56,CHEMBL1453212,P30291,EC50,>,1842.0,nM,S1/C(=C(/C(F)(F)F)\C#N)/OC(=C1C(=O)OCC)c1ccccc1,wee1
57,CHEMBL1454183,P30291,CC50,>,49750.0,nM,S(=O)(=O)(c1ccc(Oc2ccc(S(=O)(=O)C=C)cc2)cc1)C=C,wee1
58,CHEMBL1454183,P30291,EC50,>,49750.0,nM,S(=O)(=O)(c1ccc(Oc2ccc(S(=O)(=O)C=C)cc2)cc1)C=C,wee1
59,CHEMBL1455279,P30291,CC50,>,49750.0,nM,Brc1cc2c(N=NC(=O)c3c(n4cccc4)cccc3)c(O)[nH]c2cc1,wee1
60,CHEMBL1455279,P30291,EC50,>,49750.0,nM,Brc1cc2c(N=NC(=O)c3c(n4cccc4)cccc3)c(O)[nH]c2cc1,wee1
61,CHEMBL1456696,P30291,CC50,>,49750.0,nM,Clc1cc(c(N=C(S)Nc2ncccc2)cc1)C,wee1
62,CHEMBL1456696,P30291,EC50,>,49750.0,nM,Clc1cc(c(N=C(S)Nc2ncccc2)cc1)C,wee1
63,CHEMBL1458306,P30291,CC50,>,49750.0,nM,s1c(CC(=O)N(C(c2n(ccc2)C)C(=O)NC2CCCCC2)c2cc(OCC)ccc2)ccc1,wee1
64,CHEMBL1458306,P30291,EC50,>,49750.0,nM,s1c(CC(=O)N(C(c2n(ccc2)C)C(=O)NC2CCCCC2)c2cc(OCC)ccc2)ccc1,wee1
