,chembl_id,uniprot_id,bioactivity_type,operator,value,units,smiles,dude_id
0,CHEMBL1089012,P98170,Ki,=,190000.0,nM,N([C@H](C(=O)N[C@H](C(=O)N1[C@@H](CCC1)c1scc(n1)c1ccccc1)C1CCCCC1)C)C,xiap
1,CHEMBL1089023,P98170,Ki,=,19000.0,nM,N([C@H](C(=O)N[C@H](C(=O)N1[C@@H](CCC1)c1scc(n1)c1ccc(c2c1cccc2)F)C1CCCCC1)C)C,xiap
2,CHEMBL1089024,P98170,Ki,=,140000.0,nM,N([C@H](C(=O)N[C@H](C(=O)N1[C@@H](CCC1)c1scc(n1)c1ccc(c2c1cccc2)F)C1CCOCC1)C)C,xiap
3,CHEMBL1089398,P98170,Ki,=,75000.0,nM,N([C@H](C(=O)N[C@H](C(=O)N1[C@@H](CCC1)c1scc(n1)c1ccnc2c1cccc2)C1CCCCC1)C)C,xiap
4,CHEMBL1089693,P98170,Ki,=,50000.0,nM,N([C@H](C(=O)N[C@H](C(=O)N1[C@@H](CCC1)c1sc2c(n1)c(ccc2)c1cccnc1)C1CCCCC1)C)C,xiap
5,CHEMBL1089694,P98170,Ki,=,60000.0,nM,N([C@H](C(=O)N[C@H](C(=O)N1[C@@H](CCC1)c1sc2c(n1)c(ccc2)c1ccncc1)C1CCCCC1)C)C,xiap
6,CHEMBL1089695,P98170,Ki,=,160000.0,nM,N([C@H](C(=O)N[C@H](C(=O)N1[C@@H](CCC1)c1sc2c(n1)c(ccc2)c1ccccc1Cl)C1CCCCC1)C)C,xiap
7,CHEMBL1090431,P98170,Ki,=,49000.0,nM,N([C@H](C(=O)N[C@H](C(=O)N1[C@@H](CCC1)c1sc2c(n1)c(ccc2)c1cccc(c1)F)C1CCCCC1)C)C,xiap
8,CHEMBL1090770,P98170,Ki,=,31000.0,nM,N([C@H](C(=O)N[C@H](C(=O)N1[C@@H](CCC1)c1sc(c(n1)c1cccc2c1cccc2)C#C)C1CCOCC1)C)C,xiap
9,CHEMBL1090866,P98170,Ki,=,47000.0,nM,N([C@H](C(=O)N[C@H](C(=O)N1[C@@H](CCC1)c1scc(n1)c1csc2c1cccc2)C(C)(C)C)C)C,xiap
10,CHEMBL1090867,P98170,Ki,=,24000.0,nM,N([C@H](C(=O)N[C@H](C(=O)N1[C@@H](CCC1)c1sc(c(n1)c1cccc2c1cccc2)F)C1CCOCC1)C)C,xiap
11,CHEMBL1091044,P98170,Ki,=,68000.0,nM,O=C([C@H](C1CCCCC1)NC(=O)[C@H](C)NC)N1[C@@H](CCC1)c1scc(n1)c1cccc2ccccc12,xiap
12,CHEMBL1091045,P98170,Ki,=,35000.0,nM,N([C@H](C(=O)N[C@H](C(=O)N1[C@@H](CCC1)c1scc(n1)c1cccc2c1cccc2)C1CCOCC1)C)C,xiap
13,CHEMBL1091215,P98170,Ki,=,35000.0,nM,N([C@H](C(=O)N[C@H](C(=O)N1[C@@H](CCC1)c1sc(c(n1)c1cccc2c1cccc2)Cl)C1CCCCC1)C)C,xiap
14,CHEMBL1091216,P98170,Ki,=,32000.0,nM,N([C@H](C(=O)N[C@H](C(=O)N1[C@@H](CCC1)c1sc(c(n1)c1cccc2c1cccc2)C#N)C1CCOCC1)C)C,xiap
